	Systematic.name	cluster	cluster.size
K00971	K00971	1	226
K15633	K15633	1	226
K00029	K00029	1	226
K00059	K00059	1	226
K00099	K00099	1	226
K00239	K00239	1	226
K00240	K00240	1	226
K00262	K00262	1	226
K00278	K00278	1	226
K00290	K00290	1	226
K00330	K00330	1	226
K00331	K00331	1	226
K00337	K00337	1	226
K00338	K00338	1	226
K00341	K00341	1	226
K00346	K00346	1	226
K00347	K00347	1	226
K00351	K00351	1	226
K00432	K00432	1	226
K00606	K00606	1	226
K00610	K00610	1	226
K00645	K00645	1	226
K00648	K00648	1	226
K00656	K00656	1	226
K00677	K00677	1	226
K00683	K00683	1	226
K00688	K00688	1	226
K00767	K00767	1	226
K00912	K00912	1	226
K00946	K00946	1	226
K00962	K00962	1	226
K00979	K00979	1	226
K00991	K00991	1	226
K01081	K01081	1	226
K01139	K01139	1	226
K01270	K01270	1	226
K01338	K01338	1	226
K01585	K01585	1	226
K01613	K01613	1	226
K01627	K01627	1	226
K01808	K01808	1	226
K01886	K01886	1	226
K01918	K01918	1	226
K01950	K01950	1	226
K01960	K01960	1	226
K01966	K01966	1	226
K02014	K02014	1	226
K02066	K02066	1	226
K02160	K02160	1	226
K02426	K02426	1	226
K02527	K02527	1	226
K02535	K02535	1	226
K02536	K02536	1	226
K03517	K03517	1	226
K03526	K03526	1	226
K03561	K03561	1	226
K03564	K03564	1	226
K03737	K03737	1	226
K03756	K03756	1	226
K03772	K03772	1	226
K03773	K03773	1	226
K03775	K03775	1	226
K03839	K03839	1	226
K04079	K04079	1	226
K06861	K06861	1	226
K06920	K06920	1	226
K06969	K06969	1	226
K07107	K07107	1	226
K07114	K07114	1	226
K07273	K07273	1	226
K07277	K07277	1	226
K07568	K07568	1	226
K09458	K09458	1	226
K09760	K09760	1	226
K12264	K12264	1	226
K13787	K13787	1	226
K15519	K15519	1	226
K16092	K16092	1	226
K16329	K16329	1	226
K16692	K16692	1	226
K11751	K11751	1	226
K00891	K00891	1	226
K01119	K01119	1	226
K01619	K01619	1	226
K02190	K02190	1	226
K04762	K04762	1	226
K06168	K06168	1	226
K07085	K07085	1	226
K00615	K00615	1	226
K00705	K00705	1	226
K00878	K00878	1	226
K00989	K00989	1	226
K01159	K01159	1	226
K01923	K01923	1	226
K03147	K03147	1	226
K03711	K03711	1	226
K03799	K03799	1	226
K04069	K04069	1	226
K06997	K06997	1	226
K09761	K09761	1	226
K18707	K18707	1	226
K00266	K00266	1	226
K00639	K00639	1	226
K00748	K00748	1	226
K01129	K01129	1	226
K01736	K01736	1	226
K01770	K01770	1	226
K01880	K01880	1	226
K01897	K01897	1	226
K02065	K02065	1	226
K03524	K03524	1	226
K03665	K03665	1	226
K03787	K03787	1	226
K03924	K03924	1	226
K05515	K05515	1	226
K09457	K09457	1	226
K09812	K09812	1	226
K14441	K14441	1	226
K03270	K03270	1	226
K00764	K00764	1	226
K00919	K00919	1	226
K00937	K00937	1	226
K01588	K01588	1	226
K03525	K03525	1	226
K06287	K06287	1	226
K15738	K15738	1	226
K01735	K01735	1	226
K03088	K03088	1	226
K08300	K08300	1	226
K08681	K08681	1	226
K09808	K09808	1	226
K00797	K00797	1	226
K02517	K02517	1	226
K03091	K03091	1	226
K03149	K03149	1	226
K03522	K03522	1	226
K03616	K03616	1	226
K03638	K03638	1	226
K16089	K16089	1	226
K02077	K02077	1	226
K02499	K02499	1	226
K09949	K09949	1	226
K00831	K00831	1	226
K01176	K01176	1	226
K01755	K01755	1	226
K06200	K06200	1	226
K00788	K00788	1	226
K02012	K02012	1	226
K03499	K03499	1	226
K06962	K06962	1	226
K00350	K00350	1	226
K01006	K01006	1	226
K01744	K01744	1	226
K03327	K03327	1	226
K06871	K06871	1	226
K15778	K15778	1	226
K00349	K00349	1	226
K00343	K00343	1	226
K00342	K00342	1	226
K00826	K00826	1	226
K01933	K01933	1	226
