	Systematic.name	cluster	cluster.size	coord
K00971	K00971	1	226	0.0363773300437493
K15633	K15633	1	226	0.0377697427896088
K00029	K00029	1	226	0.041041455919366
K00059	K00059	1	226	0.0374562836979753
K00099	K00099	1	226	0.034836515332303
K00239	K00239	1	226	0.0375408733667942
K00240	K00240	1	226	0.0333879870408407
K00262	K00262	1	226	0.0408684786454912
K00278	K00278	1	226	0.0433593280786316
K00290	K00290	1	226	0.0399716880299715
K00330	K00330	1	226	0.0343374613797645
K00331	K00331	1	226	0.0381602135516026
K00337	K00337	1	226	0.0404925376978841
K00338	K00338	1	226	0.0355324988271351
K00341	K00341	1	226	0.0357503997090179
K00346	K00346	1	226	0.0441041043710458
K00347	K00347	1	226	0.0377848585009351
K00351	K00351	1	226	0.0357490379341122
K00432	K00432	1	226	0.040355855895541
K00606	K00606	1	226	0.0383895114759415
K00610	K00610	1	226	0.033027522379595
K00645	K00645	1	226	0.0367611033143641
K00648	K00648	1	226	0.0352941168286731
K00656	K00656	1	226	0.039699681884318
K00677	K00677	1	226	0.0373829102274316
K00683	K00683	1	226	0.0389185992826266
K00688	K00688	1	226	0.0361298348561877
K00767	K00767	1	226	0.0408400693362112
K00912	K00912	1	226	0.0320309192649502
K00946	K00946	1	226	0.0368294841924521
K00962	K00962	1	226	0.0374394159578638
K00979	K00979	1	226	0.0348828354980234
K00991	K00991	1	226	0.0348421189454653
K01081	K01081	1	226	0.0398649254148594
K01139	K01139	1	226	0.0388027453314242
K01270	K01270	1	226	0.0413140893490802
K01338	K01338	1	226	0.0364711034542036
K01585	K01585	1	226	0.0389475981956852
K01613	K01613	1	226	0.0354185142839838
K01627	K01627	1	226	0.0387980621200049
K01808	K01808	1	226	0.0349655197424467
K01886	K01886	1	226	0.0375747272885267
K01918	K01918	1	226	0.0371169294649915
K01950	K01950	1	226	0.0340632539540381
K01960	K01960	1	226	0.0361607978990952
K01966	K01966	1	226	0.037659233130215
K02014	K02014	1	226	0.0418072616149945
K02066	K02066	1	226	0.0345216558440985
K02160	K02160	1	226	0.0367553363664947
K02426	K02426	1	226	0.035700997057894
K02527	K02527	1	226	0.0375981924918347
K02535	K02535	1	226	0.0346313058929996
K02536	K02536	1	226	0.0364803232869124
K03517	K03517	1	226	0.0409000614362449
K03526	K03526	1	226	0.0337819852394677
K03561	K03561	1	226	0.0366471229766982
K03564	K03564	1	226	0.0352944455485863
K03737	K03737	1	226	0.0360317481106442
K03756	K03756	1	226	0.0352683411430896
K03772	K03772	1	226	0.0426327763701806
K03773	K03773	1	226	0.039098719585406
K03775	K03775	1	226	0.0384982680008141
K03839	K03839	1	226	0.0427297871241407
K04079	K04079	1	226	0.0408779128644515
K06861	K06861	1	226	0.0328069744223898
K06920	K06920	1	226	0.0377911278092896
K06969	K06969	1	226	0.0356242561419213
K07107	K07107	1	226	0.039332667151253
K07114	K07114	1	226	0.0371990452818529
K07273	K07273	1	226	0.0332454566333865
K07277	K07277	1	226	0.0416062944678583
K07568	K07568	1	226	0.0351768829221748
K09458	K09458	1	226	0.0390037646114216
K09760	K09760	1	226	0.03962029059585
K12264	K12264	1	226	0.0346061434389537
K13787	K13787	1	226	0.0364760519145572
K15519	K15519	1	226	0.0378840987807027
K16092	K16092	1	226	0.0336888325293403
K16329	K16329	1	226	0.0422210628272024
K16692	K16692	1	226	0.0399480957160835
K11751	K11751	1	226	0.0403160142138833
K00891	K00891	1	226	0.0346696796572904
K01119	K01119	1	226	0.0348860820540114
K01619	K01619	1	226	0.034398043026747
K02190	K02190	1	226	0.0368231078723714
K04762	K04762	1	226	0.0332019172883822
K06168	K06168	1	226	0.0325440464103478
K07085	K07085	1	226	0.0320444914402552
K00615	K00615	1	226	0.0323895675978481
K00705	K00705	1	226	0.0386957998939962
K00878	K00878	1	226	0.0323527017126961
K00989	K00989	1	226	0.0331369316977081
K01159	K01159	1	226	0.0288795760242701
K01923	K01923	1	226	0.0350255038326108
K03147	K03147	1	226	0.0358841108338448
K03711	K03711	1	226	0.0320002309085839
K03799	K03799	1	226	0.0342760559852395
K04069	K04069	1	226	0.0381880828097931
K06997	K06997	1	226	0.0359739204331029
K09761	K09761	1	226	0.027478556956472
K18707	K18707	1	226	0.0342292634611272
K00266	K00266	1	226	0.029711798112619
K00639	K00639	1	226	0.0319074820876374
K00748	K00748	1	226	0.0306833815853854
K01129	K01129	1	226	0.0343064421618698
K01736	K01736	1	226	0.0323408715007997
K01770	K01770	1	226	0.0320839859124047
K01880	K01880	1	226	0.0334468718523171
K01897	K01897	1	226	0.0344956215737985
K02065	K02065	1	226	0.030959212505225
K03524	K03524	1	226	0.0307102163306242
K03665	K03665	1	226	0.0341970573140174
K03787	K03787	1	226	0.0330409748225266
K03924	K03924	1	226	0.0340103005933237
K05515	K05515	1	226	0.0330400038164583
K09457	K09457	1	226	0.0292467725607895
K09812	K09812	1	226	0.0323033704769544
K14441	K14441	1	226	0.0332787882313326
K03270	K03270	1	226	0.0314848319464014
K00764	K00764	1	226	0.0291205438002149
K00919	K00919	1	226	0.0281156355919735
K00937	K00937	1	226	0.0275235819305439
K01588	K01588	1	226	0.0287474496064954
K03525	K03525	1	226	0.0284345644873203
K06287	K06287	1	226	0.0243064593527327
K15738	K15738	1	226	0.0284994822715528
K01735	K01735	1	226	0.0316637829771085
K03088	K03088	1	226	0.0318102671302635
K08300	K08300	1	226	0.0358547183004709
K08681	K08681	1	226	0.0337498047291344
K09808	K09808	1	226	0.0348479067748714
K00797	K00797	1	226	0.0374795056291156
K02517	K02517	1	226	0.0371014046697077
K03091	K03091	1	226	0.0380162091180739
K03149	K03149	1	226	0.0385340726173841
K03522	K03522	1	226	0.0377762376769063
K03616	K03616	1	226	0.0331415080184283
K03638	K03638	1	226	0.0386852139833565
K16089	K16089	1	226	0.0383294477920586
K02077	K02077	1	226	0.0365710610432338
K02499	K02499	1	226	0.0339061475292123
K09949	K09949	1	226	0.0312318263803994
K00831	K00831	1	226	0.0369809114465525
K01176	K01176	1	226	0.0394009052877975
K01755	K01755	1	226	0.035757722610241
K06200	K06200	1	226	0.0425452288544087
K00788	K00788	1	226	0.03160572310678
K02012	K02012	1	226	0.0282871926671323
K03499	K03499	1	226	0.0302101953837451
K06962	K06962	1	226	0.0286394891799213
K00350	K00350	1	226	0.0323102337189861
K01006	K01006	1	226	0.030660197467764
K01744	K01744	1	226	0.0291158437234397
K03327	K03327	1	226	0.0284993905637316
K06871	K06871	1	226	0.0318519305697354
K15778	K15778	1	226	0.0297826511890947
K00349	K00349	1	226	0.0350059323985605
K00343	K00343	1	226	0.0357580369402831
K00342	K00342	1	226	0.0316737388357161
K00826	K00826	1	226	0.0302693769713491
K01933	K01933	1	226	0.0323006801324952
K01952	K01952	1	226	0.0260625761068515
K06941	K06941	1	226	0.0280362153678197
K00773	K00773	1	226	0.0327228336095402
K01507	K01507	1	226	0.0381692395287383
K02495	K02495	1	226	0.0301682228596373
K02823	K02823	1	226	0.0296190371271388
K02897	K02897	1	226	0.0332310506135918
K03386	K03386	1	226	0.0323533301647296
K03628	K03628	1	226	0.0287862913488446
K03719	K03719	1	226	0.037990485421085
K06215	K06215	1	226	0.0336941445577663
K07478	K07478	1	226	0.0315365018095249
K09811	K09811	1	226	0.0284958909967288
K00700	K00700	1	226	0.0339893340856479
K00886	K00886	1	226	0.0376498214953928
K04092	K04092	1	226	0.0313321014996715
K01278	K01278	1	226	0.0288286079805262
K00833	K00833	1	226	0.0396064191215647
K01935	K01935	1	226	0.0346061499730951
K02122	K02122	1	226	0.0362886279095961
K03271	K03271	1	226	0.0338667236499657
K03784	K03784	1	226	0.0364737776445875
K09777	K09777	1	226	0.0372040771197617
K01579	K01579	1	226	0.0380604598817072
K03310	K03310	1	226	0.0337673292558282
K08309	K08309	1	226	0.0324339270794569
K00800	K00800	1	226	0.0320904070034071
K01940	K01940	1	226	0.0331449355848678
K03387	K03387	1	226	0.0341344145239982
K01494	K01494	1	226	0.0292447237405211
K01012	K01012	1	226	0.028583604117577
K03547	K03547	1	226	0.0307399852053441
K08722	K08722	1	226	0.0313639151940343
K01737	K01737	1	226	0.0374669654426605
K02438	K02438	1	226	0.033522692222738
K05364	K05364	1	226	0.0371530464098672
K03402	K03402	1	226	0.0287450126881859
K07053	K07053	1	226	0.0282629301896863
K03856	K03856	1	226	0.0294402223747927
K03523	K03523	1	226	0.0335206535526681
K02124	K02124	1	226	0.0372680914429819
K03642	K03642	1	226	0.0384533323827319
K03429	K03429	1	226	0.0373874287030624
K02841	K02841	1	226	0.0360887593022716
K08301	K08301	1	226	0.0346869422663089
K13772	K13772	1	226	0.0380838322855291
K00012	K00012	1	226	0.0319522068898759
K00024	K00024	1	226	0.0420129780762952
K00077	K00077	1	226	0.031039276860226
K00100	K00100	1	226	0.0344837537363478
K00128	K00128	1	226	0.0320402279506057
K00147	K00147	1	226	0.0265166722619487
K00248	K00248	1	226	0.0392805767260041
K00254	K00254	1	226	0.0330355754465907
K00257	K00257	1	226	0.0327638026491636
K00286	K00286	1	226	0.025151912154916
K00333	K00333	1	226	0.0388883970700471
K00348	K00348	1	226	0.035617363371477
K00602	K00602	1	226	0.0308221379960208
K00616	K00616	1	226	0.032855500534483
K00832	K00832	1	226	0.0330951304182621
K01091	K01091	1	226	0.0245498527969361
K01448	K01448	1	226	0.0280730776690478
K06209	K06209	1	226	0.0252977460183053
K06381	K06381	1	226	0.0341125572581862
K01916	K01916	2	117	-0.0185172038789862
K03215	K03215	2	117	-0.0176902314071591
K03667	K03667	2	117	-0.0149256160625334
K07029	K07029	2	117	-0.0203421239352885
K08483	K08483	2	117	-0.0210159613254425
K01779	K01779	2	117	-0.0220963442612065
K01641	K01641	2	117	-0.0259026079309613
K03630	K03630	2	117	-0.020688406808028
K00942	K00942	2	117	-0.0128643483163064
K02867	K02867	2	117	-0.0113624864914701
K03602	K03602	2	117	-0.0323776443880709
K07444	K07444	2	117	-0.028269416296299
K08591	K08591	2	117	-0.0283718416879128
K00938	K00938	2	117	-0.0238467339320689
K01281	K01281	2	117	-0.029370750251354
K01636	K01636	2	117	-0.0258629738221874
K02086	K02086	2	117	-0.0295914783850499
K02238	K02238	2	117	-0.0247476029057948
K03048	K03048	2	117	-0.0234041670421606
K03740	K03740	2	117	-0.031048645549917
K05546	K05546	2	117	-0.0255578223809882
K06023	K06023	2	117	-0.0244484039404497
K06885	K06885	2	117	-0.0226189201460351
K07023	K07023	2	117	-0.0288125070505624
K09685	K09685	2	117	-0.0263360498827274
K11144	K11144	2	117	-0.0283267652336688
K11145	K11145	2	117	-0.0231523770006257
K13678	K13678	2	117	-0.0279655534843379
K15986	K15986	2	117	-0.0260405151400901
K18692	K18692	2	117	-0.0248161722923292
K19005	K19005	2	117	-0.0224699160162821
K00945	K00945	2	117	-0.0176943063526499
K01972	K01972	2	117	-0.0140955561244895
K02851	K02851	2	117	-0.0130738597296722
K04042	K04042	2	117	-0.0119585860522521
K11189	K11189	2	117	-0.0173008226421714
K16509	K16509	2	117	-0.0190094510257121
K00806	K00806	2	117	-0.0128900148861536
K01953	K01953	2	117	-0.0181369081252712
K07177	K07177	2	117	-0.0149102745327243
K11737	K11737	2	117	-0.0171399458140157
K03551	K03551	2	117	-0.011416328647602
K06217	K06217	2	117	-0.0163887883171473
K11749	K11749	2	117	-0.0159162193907918
K00857	K00857	2	117	-0.0162033647787308
K00873	K00873	2	117	-0.0139329545174659
K01834	K01834	2	117	-0.0153956010459506
K03570	K03570	2	117	-0.0167512559440728
K07024	K07024	2	117	-0.0157397329007925
K11072	K11072	2	117	-0.0140680683128734
K12555	K12555	2	117	-0.021274514150806
K02109	K02109	2	117	-0.0107238561000507
K03629	K03629	2	117	-0.01260825478087
K02237	K02237	2	117	-0.0239954281143095
K03700	K03700	2	117	-0.0225147771819645
K03763	K03763	2	117	-0.0234507934451162
K01881	K01881	2	117	-0.0127971871266488
K07456	K07456	2	117	-0.0130151311272656
K11069	K11069	2	117	-0.017004692789263
K03601	K03601	2	117	-0.0192412709684065
K03631	K03631	2	117	-0.0173198388109224
K07042	K07042	2	117	-0.0182256148533145
K12574	K12574	2	117	-0.0173190598329863
K01893	K01893	2	117	-0.0128791689863452
K02837	K02837	2	117	-0.0123423494349783
K03798	K03798	2	117	-0.0106804760524439
K04487	K04487	2	117	-0.0154691343188989
K07258	K07258	2	117	-0.0148304406913487
K02031	K02031	2	117	-0.0119420682144937
K07404	K07404	2	117	-0.0214391871950933
K02343	K02343	2	117	-0.0133360166934595
K02906	K02906	2	117	-0.0115946760048012
K02528	K02528	2	117	-0.0102363186749554
K07533	K07533	2	117	-0.0214642898844311
K11070	K11070	2	117	-0.0170639178404993
