gene	geneProduct
V1046751	gram-positive signal peptide%2C YSIRK family
V1836803	Beta-N-acetylhexosaminidase precursor
V1000642	Enolase
V1000122	Elongation factor Tu
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1000546	Maltose/maltodextrin-binding protein precursor
V1464571	Elongation factor Tu-B
V1836823	hypothetical protein
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1000836	50S ribosomal protein L31 type B
V1310212	Beta-N-acetylhexosaminidase precursor
V1000004	DNA-directed RNA polymerase subunit alpha
V1431607	50S ribosomal protein L21
V1000545	Maltose transport system permease protein MalF
V1852109	gram-positive signal peptide%2C YSIRK family
V1034630	DNA protection during starvation protein
V1000549	Maltose phosphorylase
V1000943	50S ribosomal protein L11
V1576665	hypothetical protein
V1912442	6-phosphofructokinase
V1582961	hypothetical protein
V1000080	hypothetical protein
V1362340	Putative Ig domain protein
V1852039	RNAP delta factor
V1000305	Enolase
V1000116	Pyruvate kinase
V1000548	Beta-phosphoglucomutase
V1006735	gram-positive signal peptide%2C YSIRK family
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1886336	Phosphocarrier protein HPr
V1582964	Septum-associated FtsK-like translocase of DNA
V1016072	DNA replication initiation protein gpA
V1000075	Ribonuclease P protein component
V1000841	F-type ATPase subunit delta
V1000079	DNA gyrase subunit A
V1001368	EIIAB-Man
V1000487	Fructose-bisphosphate aldolase
V1000527	Vegetative protein 19
V1339929	L-lactate dehydrogenase
V1000638	Central glycolytic genes regulator
V1836804	Lysine--tRNA ligase
V1000640	Phosphoglycerate kinase
V1000944	50S ribosomal protein L1
V1577370	Sporulation initiation inhibitor protein soj
V1000627	Ribonuclease Y
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1000630	preprotein translocase subunit SecA
V1016074	capsid protein
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1000129	Tyrosine phosphorylated protein A
V1576750	fimbrial isopeptide formation D2 domain protein
V1036606	F-type ATPase subunit b
V1000570	Rod shape-determining protein MreB
V1852113	fimbrial isopeptide formation D2 domain protein
V1576593	gram-positive signal peptide%2C YSIRK family
V1887021	Trigger factor
V1439186	50S ribosomal protein L19
V1503164	Serine-rich repeat protein GspB
V1851967	Heat-inducible transcription repressor HrcA
V1000003	hypothetical protein
V1203355	Chaperone protein DnaJ
V1000018	hypothetical protein
V1306539	50S ribosomal protein L13
V1582967	hypothetical protein
V1006020	50S ribosomal protein L2
V1073967	50S ribosomal protein L10
V1000081	Bifunctional oligoribonuclease and PAP phosphatase NrnA
V1167440	6-phospho-alpha-glucosidase 1
V1392169	hypothetical protein
V1016073	minor spike protein
V1580955	Heat shock protein 70
V1000317	Transcript cleavage factor GreA
V1553523	Foldase protein PrsA precursor
V1000596	Stress protein H5
V1577848	Glycerophosphoryl diester phosphodiesterase
V1000845	Glucose-6-phosphate isomerase
V1000840	F-ATPase gamma subunit
V1144133	hypothetical protein
V1000001	30S ribosomal protein S9
V1607555	Beta-N-acetylhexosaminidase precursor
V1852142	gram-positive signal peptide%2C YSIRK family
V1574099	PTS system mannose-specific EIIC component
V1195882	Fructose-bisphosphate aldolase
V1364877	F-ATPase epsilon subunit
V1851982	putative ABC transporter ATP-binding protein YheS
V1290863	gram-positive signal peptide%2C YSIRK family
V1576664	ATP-dependent Clp protease ATP-binding subunit ClpL
V1299127	Penicillin-binding protein B
V1000518	Glv operon regulatory protein
V1000017	50S ribosomal protein L16
V1000547	Trehalose import ATP-binding protein SugC
V1000184	Bacteriophage peptidoglycan hydrolase
V1381099	F-ATPase gamma subunit
V1420563	DNA gyrase subunit B
V1000021	50S ribosomal protein L3
V1000828	ATP-dependent zinc metalloprotease FtsH
V1390055	hypothetical protein
V1493841	Beta-N-acetylhexosaminidase precursor
V1158426	PTS system mannose-specific EIIC component
V1392006	50S ribosomal protein L19
V1577649	hypothetical protein
V1000023	Ribose-phosphate pyrophosphokinase
V1615860	repeat
V1295109	Thiol-activated cytolysin
V1000641	Triosephosphate isomerase
V1000842	F-ATPase subunit 6
V1552772	Pyruvate kinase
V1577987	Competence-specific nuclease
V1582956	Phd_YefM
V1000134	HSP-70 cofactor
V1491714	30S ribosomal protein S1
V1000551	Intracellular maltogenic amylase
V1203300	dihydroxyacetone kinase
V1064534	DNA-directed RNA polymerase subunit beta
V1000050	Cysteine-rich secretory protein family protein
V1000526	Helicase IV
V1295196	Cell division protein FtsA
V1000533	CTP synthase
V1607589	Signal transduction histidine-protein kinase ArlS
V1000171	Oligopeptide-binding protein AppA precursor
V1006727	30S ribosomal protein S1
V1042355	EIIAB-Man
V1000045	hypothetical protein
V1391945	product=Deoxyuridine 5'-triphosphate nucleotidohydrolase
V1578456	hypothetical protein
V1000143	Elongation factor Ts
V1162881	Phosphoglucomutase
V1059001	Phosphoenolpyruvate-protein phosphotransferase
V1064607	Pullulanase
V1001468	Leucine--tRNA ligase
V1034832	Ribonuclease J 2
V1582965	hypothetical protein
V1191213	type 2 lantibiotic biosynthesis protein LanM
V1852083	50S ribosomal protein L5
V1000892	Phosphoglucosamine mutase
V1104333	Proline iminopeptidase
V1607584	hypothetical protein
V1000326	Threonine--tRNA ligase
V1000093	Putative penicillin-binding protein PbpX
V1000008	Adenylate kinase
V1000574	Septation ring formation regulator EzrA
V1582970	hypothetical protein
V1381763	Glucosamine kinase GspK
V1522030	Beta-N-acetylhexosaminidase precursor
V1000009	50S ribosomal protein L15
V1033891	hypothetical protein
V1852084	50S ribosomal protein L23
V1000519	PTS system maltose-specific EIICB component
V1553528	Beta-N-acetylhexosaminidase precursor
V1582954	Holliday junction resolvase
V1481366	30S ribosomal protein S1
V1612261	Pollen proteins Ole e I like protein
V1006736	Beta-N-acetylhexosaminidase precursor
V1000057	Ribose-phosphate pyrophosphokinase
V1000601	Alanine--tRNA ligase
V1000301	Bifunctional (p)ppGpp synthase/hydrolase RelA
V1000499	Glutamyl-tRNA(Gln) amidotransferase subunit A
V1000046	Putative universal stress protein
V1541158	major spike protein
V1851983	ATP-dependent DNA helicase PcrA
V1503141	LPXTG cell wall anchor domain protein
V1060343	F-type ATPase subunit delta
V1852133	Translation initiation factor IF-3
V1000643	Ribonuclease R
V1552777	Translation initiation factor IF-2
V1576588	hypothetical protein
V1000300	Aspartate--tRNA ligase
V1000563	Guanylate kinase
V1000082	Replicative DNA helicase
V1582968	hypothetical protein
V1852094	Adenylosuccinate lyase
V1381895	Trehalose import ATP-binding protein SugC
V1046767	DNA polymerase I
V1851988	hypothetical protein
V1000882	Acetate kinase
V1000007	Translation initiation factor IF-1
V1836833	C protein alpha-antigen precursor
V1000077	DNA polymerase III subunit beta
V1594784	Diacylglycerol kinase
V1836820	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
V1000502	Inosine-5'-monophosphate dehydrogenase
V1852114	DNA polymerase IV
V1000625	Helix-turn-helix domain protein
V1000304	Pullulanase
V1000044	Asparagine synthetase [glutamine-hydrolyzing] 1
V1481442	Pullulanase
V1000575	Integrase
V1143377	EIIABC-Fru
V1000144	Vegetative protein 209
V1852111	Lipoteichoic acid synthase 1
V1000168	Isoleucine--tRNA ligase
V1018798	Tetracycline resistance protein TetM from transposon TnFO1
V1298012	Type I restriction enzyme EcoR124II R protein
V1469282	Glutathione transport system permease protein GsiC
V1213480	Recombinase A
V1268240	Pullulanase
V1339711	Foldase protein PrsA precursor
V1836800	Protein involved in sex pheromone biosynthesis
V1000307	Glutamine synthetase
V1852140	Methionine--tRNA ligase
V1001475	putative ABC transporter ATP-binding protein YxlF
V1582966	hypothetical protein
V1851978	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1483972	C protein alpha-antigen precursor
V1580709	30S ribosomal protein S21
V1594229	6-phosphogluconate dehydrogenase%2C decarboxylating
V1164544	DNA polymerase III subunit gamma/tau
V1000501	Exo-glucosaminidase LytG precursor
V1000603	Putative Holliday junction resolvase
V1851995	Ribosomal RNA small subunit methyltransferase H
V1356068	Ribonuclease J 1
V1594750	Hypoxanthine-guanine phosphoribosyltransferase
V1580898	hypothetical protein
V1885928	hypothetical protein
V1000106	Formate--tetrahydrofolate ligase 1
V1000013	30S ribosomal protein S8
V1000139	DNA polymerase III PolC-type
V1006021	hypothetical protein
V1000011	50S ribosomal protein L18
V1000318	Phenylalanine--tRNA ligase beta subunit
V1582957	hypothetical protein
V1836805	Copper-exporting P-type ATPase B
V1000835	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
V1064214	external scaffolding protein
V1582972	putative ATP-binding protein involved in virulence
V1381580	H(+)/Cl(-) exchange transporter ClcA
V1075411	Vegetative protein 19
V1000047	Tyrosine-protein phosphatase precursor
V1000069	Sensor histidine kinase YycG
V1000124	30S ribosomal protein S20
V1000151	30S ribosomal protein S16
V1006628	Methionine aminopeptidase 1
V1076036	Non-specific ribonucleoside hydrolase RihC
V1000834	DEAD-box ATP-dependent RNA helicase CshA
V1000564	Cell division protein FtsZ
V1390171	C protein alpha-antigen precursor
V1481434	G3P acyltransferase
V1836815	Galactose/methyl galactoside import ATP-binding protein MglA
V1000121	ATP-dependent Clp protease ATP-binding subunit ClpX
V1000604	hypothetical protein
V1465413	Stage III sporulation protein E
V1042869	polynucleotide kinase
V1553617	hypothetical protein
V1000172	Stage 0 sporulation protein KC
V1000885	Ribonuclease J 1
V1136911	Serine--tRNA ligase
V1836829	putative ABC transporter ATP-binding protein YheS
V1837761	Aldehyde-alcohol dehydrogenase
V1342077	hypothetical protein
V1498992	Glucosamine-6-phosphate deaminase
V1392216	Stress protein H5
V1171078	Uracil phosphoribosyltransferase
V1000538	Nucleoid occlusion protein
V1074742	30S ribosomal protein S12
V1035132	hypothetical protein
V1000558	Putative protein phosphatase 2C-type
V1033375	Trigger factor
V1458289	L%2CD-transpeptidase catalytic domain
V1400168	Cell division protein DivIVA
V1144329	Proline iminopeptidase
V1000137	hypothetical protein
V1000476	Modulator of FtsH protease HflK
V1431657	30S ribosomal protein S2
V1204223	repeat
V1000500	DNA ligase
