gene	geneCountCategory
V1177462	HGC
V1574482	HGC
V1728013	HGC
V1392011	HGC
V1037443	HGC
V1337358	LGC
V1044739	HGC
V1239708	HGC
V1295229	HGC
V1436641	HGC
V1239646	HGC
V1037187	HGC
V1267333	HGC
V1834903	HGC
V1421861	HGC
V1076325	HGC
V1383824	LGC
V1723300	HGC
V1366835	HGC
V1441738	HGC
V1085154	HGC
V1484064	LGC
V1436794	HGC
V1302192	LGC
V1384044	LGC
V1196712	HGC
V1464847	HGC
V1006125	HGC
V1154539	HGC
V1171816	HGC
V1006141	HGC
V1185257	HGC
V1267672	HGC
V1237384	HGC
V1586050	HGC
V1266152	HGC
V1090967	HGC
V1322633	HGC
V1705067	HGC
V1291853	HGC
V1234581	HGC
V1705037	HGC
V1031976	HGC
V1354174	HGC
V1574627	HGC
V1430318	HGC
V1547673	HGC
V1121567	HGC
V1151984	HGC
V1724620	HGC
V1705123	HGC
V1383877	LGC
V1338713	LGC
V1371652	HGC
V1553878	HGC
V1368901	HGC
V1032287	HGC
V1239589	HGC
V1419972	LGC
V1883575	HGC
V1099394	HGC
V1524304	HGC
V1237481	HGC
V1239564	HGC
V1365660	LGC
V1370956	HGC
V1139904	HGC
V1143164	HGC
V1107127	HGC
V1220168	HGC
V1383867	LGC
V1617969	HGC
V1834818	HGC
V1151553	HGC
V1347762	HGC
V1410415	HGC
V1199157	LGC
V1166828	HGC
V1239647	HGC
V1007951	HGC
V1077816	HGC
V1617034	HGC
V1388913	HGC
V1167633	HGC
V1013250	HGC
V1016999	HGC
V1819326	HGC
V1352387	HGC
V1398731	HGC
V1010320	HGC
V1554160	HGC
V1385101	LGC
V1195651	HGC
V1705092	HGC
V1139685	HGC
V1263277	LGC
V1140341	HGC
V1420620	LGC
V1369909	HGC
V1554270	HGC
V1383974	LGC
V1267044	HGC
V1368739	HGC
V1265594	HGC
V1301690	LGC
V1006057	HGC
V1141150	HGC
V1302190	LGC
V1383919	LGC
V1393333	HGC
V1394807	HGC
V1415335	HGC
V1088148	HGC
V1368599	HGC
V1483485	HGC
V1345614	HGC
V1395415	HGC
V1155973	HGC
V1200583	HGC
V1723240	HGC
V1178384	HGC
V1186540	HGC
V1339799	HGC
V1886719	LGC
V1139691	HGC
V1238100	HGC
V1110058	HGC
V1421486	HGC
V1883290	LGC
V1737054	HGC
V1445801	LGC
V1883611	HGC
V1398523	HGC
V1200892	HGC
V1290408	LGC
V1315998	HGC
V1553753	HGC
V1118420	HGC
V1385727	HGC
V1302071	LGC
V1367285	HGC
V1039802	HGC
V1553636	HGC
V1041294	HGC
V1367838	HGC
V1400878	HGC
V1301588	LGC
V1458517	HGC
V1036198	HGC
V1575506	HGC
V1885649	LGC
V1141223	HGC
V1445767	LGC
V1139748	HGC
V1267291	HGC
V1194990	HGC
V1819314	HGC
V1266247	HGC
V1239571	HGC
V1496507	HGC
V1046624	HGC
V1267290	HGC
V1237531	HGC
V1445274	LGC
V1387294	HGC
V1040907	HGC
V1301559	LGC
V1503144	LGC
V1392446	HGC
V1445482	LGC
V1011483	HGC
V1440639	HGC
V1549971	HGC
V1881261	HGC
V1723814	HGC
V1395001	HGC
V1488075	HGC
V1154525	HGC
V1403511	HGC
V1554143	HGC
V1301614	LGC
V1017823	HGC
V1384043	LGC
V1013640	HGC
V1302371	LGC
V1704900	HGC
V1705127	LGC
V1093074	HGC
V1444158	HGC
V1317705	HGC
V1376603	HGC
V1484204	LGC
V1400258	HGC
V1486076	HGC
V1887168	LGC
V1409950	HGC
V1619477	HGC
V1554368	HGC
V1290200	LGC
V1167378	HGC
V1383865	LGC
V1173689	HGC
V1724150	HGC
V1496696	HGC
V1022782	HGC
V1265596	HGC
V1619237	HGC
V1152124	HGC
V1445191	HGC
V1446708	LGC
V1364166	HGC
V1016291	HGC
V1534798	HGC
V1383992	LGC
V1175702	HGC
V1111146	HGC
V1912439	HGC
V1265617	HGC
V1498789	HGC
V1491685	HGC
V1019516	HGC
V1466250	HGC
V1463861	HGC
V1295265	HGC
V1023795	HGC
V1445904	LGC
V1166870	HGC
V1329936	HGC
V1140976	HGC
V1298981	LGC
V1383948	LGC
V1303285	LGC
V1737050	HGC
V1296458	HGC
V1191497	HGC
V1436832	HGC
V1363539	HGC
V1445776	LGC
V1550555	HGC
V1239567	HGC
V1104694	HGC
V1237381	HGC
V1574099	LGC
V1155393	HGC
V1139410	HGC
V1139821	HGC
V1313175	HGC
V1367803	HGC
V1433965	HGC
V1554035	HGC
V1446216	LGC
V1441328	HGC
V1514797	HGC
V1549583	HGC
V1238013	HGC
V1446649	LGC
V1042252	HGC
V1553774	HGC
V1819309	HGC
V1437445	HGC
V1075934	HGC
V1410710	HGC
V1201914	HGC
V1590827	HGC
V1012379	HGC
V1385869	HGC
V1037335	HGC
V1400879	HGC
V1152314	HGC
V1109151	HGC
V1483194	HGC
V1037377	HGC
V1239710	HGC
V1337283	LGC
V1144133	LGC
V1180770	HGC
V1430573	HGC
V1100757	HGC
V1153964	HGC
V1385880	HGC
V1195882	HGC
V1465164	HGC
V1268756	HGC
V1266217	HGC
V1139605	HGC
V1151363	HGC
V1453123	HGC
V1440338	HGC
V1723362	HGC
V1445114	HGC
V1221274	HGC
V1290180	LGC
V1736985	HGC
V1485407	HGC
V1045256	HGC
V1139686	HGC
V1442734	HGC
V1200944	HGC
V1524496	HGC
V1446413	LGC
V1484105	LGC
V1371483	HGC
V1363242	HGC
V1196726	HGC
V1574327	HGC
V1012234	HGC
V1100087	HGC
V1200501	HGC
V1328565	HGC
V1484141	LGC
V1374012	HGC
V1574876	HGC
V1724279	HGC
V1445275	LGC
V1563160	HGC
V1606927	LGC
V1032000	HGC
V1076731	HGC
V1140670	HGC
V1555159	HGC
V1012818	HGC
V1484261	LGC
V1441535	HGC
V1588826	HGC
