PC	Acidaminococcus_intestini	Acinetobacter_baumannii	Actinobaculum_massiliae	Actinobaculum_schaalii	Actinomyces_europaeus	Actinomyces_graevenitzii	Actinomyces_neuii	Actinomyces_sp.	Actinomyces_turicensis	Actinomyces_urogenitalis	Aerococcus_urinae	Aerococcus_viridans	Anaerococcus_hydrogenalis	Anaerococcus_lactolyticus	Anaerococcus_prevotii	Anaerococcus_tetradius	Anaerococcus_vaginalis	Arcanobacterium_sp.	Atopobium_parvulum	Atopobium_vaginae	BVAB1	Bacteroides_ovatus	Bacteroides_sp.	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_vulgatus	Bifidobacterium_animalis	Bifidobacterium_bifidum	Bifidobacterium_breve	Bifidobacterium_dentium	Bifidobacterium_longum	Brevibacterium_mcbrellneri	Campylobacter_fetus	Candidatus_Pelagibacter	Chlamydia_trachomatis	Chryseobacterium_gleum	Clostridiales_Family	Clostridium_difficile	Clostridium_sp.	Corynebacterium_amycolatum	Corynebacterium_aurimucosum	Corynebacterium_ciconiae	Corynebacterium_diphtheriae	Corynebacterium_glucuronolyticum	Corynebacterium_lipophiloflavum	Corynebacterium_pseudogenitalium	Corynebacterium_striatum	Dialister_invisus	Dialister_micraerophilus	Dialister_microaerophilus	Dorea_formicigenerans	Eggerthella_lenta	Eggerthella_sp.	Enterococcus_faecalis	Enterococcus_faecium	Eremococcus_coleocola	Escherichia_coli	Eubacterium_saburreum	Eubacterium_siraeum	Eubacterium_sp.	Facklamia_hominis	Faecalibacterium_prausnitzii	Filifactor_alocis	Finegoldia_magna	Fusobacterium_gonidiaformans	Fusobacterium_nucleatum	Fusobacterium_sp.	Fusobacterium_ulcerans	Gardnerella_vaginalis	Gemella_haemolysans	Granulicatella_adiacens	Granulicatella_elegans	Haemophilus_parainfluenzae	Johnsonella_ignava	Jonquetella_anthropi	Klebsiella_oxytoca	Lactobacillus_acidophilus	Lactobacillus_amylolyticus	Lactobacillus_amylovorus	Lactobacillus_antri	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_helveticus	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_johnsonii	Lactobacillus_kefiranofaciens	Lactobacillus_oris	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactobacillus_ultunensis	Lactobacillus_vaginalis	Lactococcus_lactis	Leptotrichia_buccalis	Leptotrichia_shahii	Leptotrichia_sp.	Leptotrichia_wadei	Mageeibacillus_indolicus	Megasphaera_cerevisiae	Megasphaera_elsdenii	Megasphaera_genomosp.	Megasphaera_micronuciformis	Megasphaera_sp.	Mesorhizobium_sp.	Mobiluncus_curtisii	Mobiluncus_mulieris	Mycoplasma_gallinarum	Mycoplasma_hominis	Mycoplasma_primatum	Neisseria_gonorrhoeae	Odoribacter_laneus	Odoribacter_splanchnicus	Oribacterium_sp.	Parabacteroides_sp.	Paracoccus_denitrificans	Parvimonas_micra	Parvimonas_sp.	Pasteurella_bettyae	Pasteurella_multocida	Peptoniphilus_asaccharolyticus	Peptoniphilus_duerdenii	Peptoniphilus_harei	Peptoniphilus_indolicus	Peptoniphilus_lacrimalis	Peptoniphilus_sp.	Peptostreptococcus_anaerobius	Peptostreptococcus_sp.	Peptostreptococcus_stomatis	Porphyromonas_asaccharolytica	Porphyromonas_somerae	Porphyromonas_uenonis	Prevotella_amnii	Prevotella_bergensis	Prevotella_bivia	Prevotella_bryantii	Prevotella_buccae	Prevotella_buccalis	Prevotella_corporis	Prevotella_dentalis	Prevotella_denticola	Prevotella_disiens	Prevotella_histicola	Prevotella_intermedia	Prevotella_maculosa	Prevotella_marshii	Prevotella_melaninogenica	Prevotella_micans	Prevotella_multiformis	Prevotella_multisaccharivorax	Prevotella_nigrescens	Prevotella_oralis	Prevotella_oris	Prevotella_oulorum	Prevotella_pallens	Prevotella_salivae	Prevotella_sp.	Prevotella_stercorea	Prevotella_tannerae	Prevotella_timonensis	Prevotella_veroralis	Propionibacterium_sp.	Propionimicrobium_lymphophilum	Proteus_mirabilis	Rothia_mucilaginosa	Ruminococcus_lactaris	Salmonella_enterica	Sneathia_amnii	Sneathia_sanguinegens	Solobacterium_moorei	Staphylococcus_aureus	Staphylococcus_caprae	Staphylococcus_epidermidis	Staphylococcus_haemolyticus	Staphylococcus_lugdunensis	Staphylococcus_simulans	Streptococcus_agalactiae	Streptococcus_anginosus	Streptococcus_bovis	Streptococcus_constellatus	Streptococcus_dysgalactiae	Streptococcus_ictaluri	Streptococcus_infantarius	Streptococcus_macacae	Streptococcus_massiliensis	Streptococcus_mitis	Streptococcus_parasanguinis	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_pseudoporcinus	Streptococcus_pyogenes	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp.	Streptococcus_urinalis	Streptococcus_vestibularis	Sutterella_wadsworthensis	Tannerella_forsythensis	Treponema_phagedenis	Ureaplasma_parvum	Ureaplasma_urealyticum	Veillonella_atypica	Veillonella_parvula	Veillonella_ratti	Veillonella_sp.
ERR2014354	543	0	29	0	0	70	0	29	11	0	3	0	56	961	40	26023	0	0	331	275298	6347	0	0	0	74	0	2	0	0	0	19	0	0	2	10	0	211	0	72	0	0	0	0	4	0	0	0	9	1285	5527	7	0	0	4	17	0	2	0	0	0	9	32	2	475	5203	22	0	0	1949776	3	0	0	0	0	0	0	0	0	0	0	0	581	0	0	39	12	67508	77	815	2	0	0	0	5	2	0	0	5	2	0	21412	32	0	219549	447	26559	0	97	41514	0	33605	0	0	0	11	6	14	2	2	550	0	0	148	174	13317	3	2826	100	423	487	0	171	0	50	25116	1708	145472	0	11	17665	305	0	956	1448	4	2	0	10	100599	0	0	0	0	0	619	51	90	22	1866	0	87	1047432	78	0	0	0	0	4511	0	891127	443266	0	0	0	0	0	0	0	45	677	0	87	2	0	0	0	0	0	0	2	0	23	0	0	0	0	2	0	0	3	9	29	38	0	0	0	13
ERR2014355	0	0	0	0	0	0	0	0	0	0	0	0	21	2	21	31	0	0	0	401	346	0	0	0	0	0	0	0	0	0	0	0	0	4	22	0	40	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	21	27	2	0	0	0	0	0	0	3	15	0	0	0	3	925	0	0	0	0	0	0	0	2	0	0	0	0	607	0	0	46	21	335235	253	0	11	0	0	0	0	0	0	0	0	0	0	6	0	0	29	0	5	0	3	18	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	33	0	7	0	6	6	0	0	0	2	48	0	13	0	0	0	0	0	0	14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	107	0	0	0	0	0	0	0	73	26	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	107	170	0	0	0	0
ERR2014356	0	0	0	0	0	0	0	0	0	0	0	0	25	0	29	120	0	0	0	1626	1764	0	0	0	0	0	0	0	0	0	0	0	0	0	69	2	179	0	0	0	0	0	0	0	0	0	2	0	47	0	0	0	0	36	32	12	0	0	0	0	3	0	7	35	0	0	0	0	3290	2	0	0	0	0	0	0	21	0	0	0	0	2619	11	0	258	61	2192098	1731	26	4	3	0	0	0	7	0	0	0	0	0	42	0	0	80	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	16	9	22	28	0	0	0	0	62	0	7	0	0	0	0	0	0	31	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	100	0	2	0	0	0	0	0	80	30	0	0	0	0	0	0	0	54	24	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	1122	2477	0	0	0	0
ERR2014357	0	0	0	0	0	0	0	0	0	0	0	0	42	3	151	536	0	2	0	1941	1510	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	798	3	0	0	0	0	0	0	0	0	0	0	266	9	0	0	0	85	43	34	0	0	0	0	15	0	10	55	0	0	0	3	4500	0	0	0	0	0	0	0	164	0	0	0	5	3703	3	0	158	42	1753864	110573	7	7	0	0	0	0	4	0	0	0	0	0	46	0	0	87	0	2	0	2	85	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	10	3	42	11	0	0	0	0	97	0	27	0	0	2	2	0	0	179	0	0	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	94	0	0	0	0	0	4	0	95	56	0	0	0	0	0	0	0	27	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0	161	268	0	0	0	0
ERR2014358	14	0	0	0	0	114	0	22	0	0	0	0	125	343	161	126319	6	6	3	205036	10060	0	29	0	7	0	2	0	0	12	17	0	0	0	0	0	173	0	1463	0	0	0	0	0	0	0	0	5	872	2843	14	0	0	62	61	10	2	0	2	0	12	147	7	2169	898	2	0	0	1679338	5	0	0	0	0	50	0	0	0	0	0	0	455	0	0	29	9	33345	42	776	0	0	0	0	9	2	0	0	0	0	5	56818	17	0	156775	444	62624	0	1636	9	0	31789	0	0	21	30	0	98	2	93	656	0	0	279	326	27439	0	2711	127	533	2613	0	76	0	94	26775	386	645240	0	5164	53086	512	0	343	2909	0	11	363	25	1389	168	0	0	0	4	1025	352	324	28	3097	0	45	1291446	3	0	22	0	0	50865	0	387260	397050	0	0	0	0	0	0	0	228	679	0	38	0	0	0	0	0	0	0	4	0	170	0	0	0	0	2	0	0	26	0	0	0	0	0	0	3
ERR2014359	27	2	0	0	0	832	0	6	0	0	13	0	405	148	82	558	5	2	0	555304	12662	0	0	0	3	0	15	0	0	4	4	0	0	0	0	0	265	0	4	0	0	0	0	0	0	7	0	5	280	572	15	0	0	464	306	7	17	0	0	0	15	4	35	559	38	0	0	0	6171813	2	0	0	0	0	27	0	6	0	0	0	0	1438	0	0	49	0	150388	126	738	0	0	0	0	0	4	0	0	0	0	0	15807	0	0	11855	1275	2052	0	10	13	0	318	0	0	0	0	0	38	0	0	134	0	0	48	30	1349	0	438	2	168	1280	0	30	0	2	3056	48	129454	0	115	1729	26	0	291	545	0	41	0	0	71	0	0	0	112	0	25	0	18	32	366	0	0	47758	0	5	0	0	0	14674	0	20200	115185	0	0	0	42	21	0	2	769	475	0	4	0	0	0	0	0	0	0	6	0	0	2	0	0	0	18	0	0	0	0	3125	5104	0	0	0	2
ERR2014360	49	0	0	0	0	381	0	5	0	0	0	0	54	1575	45	303	24	3	0	272548	11490	0	0	0	0	0	3	0	0	12	2	0	0	0	0	0	530	0	7	0	0	0	0	2	0	2	2	4	71	192	14	0	0	1502	142	2	4	0	0	0	16	34	20	674	0	4	0	0	4472145	2	0	0	0	0	68	0	11	0	0	0	0	1842	3	0	188	0	797226	704	101	0	0	0	0	0	5	0	0	0	0	0	2234	0	0	24448	370	8078	0	5	30	0	44	4	0	0	0	0	7	0	0	48	0	0	28	152	654	0	190	2	356	845	5	6	0	0	964	11	21225	0	130	422	22	0	47	136	0	6	0	0	16	0	0	0	20	0	5	0	3	5	49	0	0	10892	0	2	4	0	0	233	0	252	7141	0	0	0	4	28	0	7	572	77	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	601	980	0	0	0	2
ERR2014361	0	0	0	2	2	702	0	18	72	0	2	0	193	1469	81	10623	0	5095	0	749119	9064	2	124	23	0	0	0	0	3	5	2	0	0	4	0	0	2819	2	4	0	0	0	0	0	2	0	0	58	1221	2183	11	0	0	19	16	63	2	0	0	763	35	6	5	2652	2803	1409	83	0	942162	6	0	0	0	0	4	0	0	0	0	0	0	585	0	0	69	0	134210	203	1101	0	0	0	0	5	0	0	0	4	0	16	319649	0	0	19149	4656	1771	0	38061	422	0	6210	0	3	38	42	81	0	0	27	2231	0	0	1616	5045	1352	114	70471	685	4596	4439	11	1103	47	18995	450952	1070	4860	0	55	44603	1926	0	658	47212	319	258	0	0	1000	167	0	0	96	26	234	4	1473	512	28763	0	381	88402	0	0	13	0	0	249065	0	2606968	101780	0	0	0	0	0	0	0	122	120	0	101	181	0	0	0	2	0	0	8	0	193	0	0	0	0	2	0	4	3	23	0	2	0	13	3	25
ERR2014362	0	2	0	0	0	12	0	0	0	0	0	9	182	13	60	152	0	3	0	7964	1810	0	0	0	0	0	0	3	14	0	10	0	0	4	0	0	173	18	0	0	0	0	0	0	0	2	2	0	87	48	11	0	0	217	106	10	73	0	0	0	42	0	28	1308	12	0	0	2	114105	217	0	11	6	0	0	0	5	0	0	70	16	1088	6	126	1749	83	1186825	1027	425	0	7634	2	24530	0	3644	13	3	0	2	8	166	0	66	198	4	0	0	4	78	0	5	0	0	0	0	0	0	0	0	0	0	0	13	25	257	0	22	3	1532	39	0	0	0	0	188	0	207	0	0	0	2	0	4	83	0	0	0	0	47	0	0	0	0	0	0	0	0	2	2	0	0	4	0	4	0	0	0	15	14	386	100	0	0	0	8	0	0	2	226	65	16	32	10	15	3	0	0	73	151	3	0	36	0	869	26	11	2	440	0	0	0	0	1279	1025	170	18	0
ERR2014363	3	0	41	0	0	333	0	42	14	0	14	0	274	1421	74	9139	0	2381	88	460986	777068	3	0	0	2	0	3	0	0	0	77	0	0	0	0	0	1674	2	0	0	0	0	0	0	0	0	0	213	2679	6211	4	0	0	63	57	2	2	0	0	0	38	0	73	3732	2279	20	2	0	1640059	0	0	0	0	0	35	0	0	0	0	0	0	146	0	0	90	0	62979	106	1353	0	0	0	0	13	7	0	0	0	0	0	167910	0	0	30086	6183	5109	0	250	143007	0	6234	0	0	8	0	63	0	0	60	2834	0	0	317	1983	62628	7	162711	124	1974	1049	6	877	0	32311	20205	251	9971	0	69	15339	12610	129	558	1514	2	34	0	0	376	34	51	0	73	766	316	91	192	0	9240	0	65	300917	0	0	7	0	0	121614	0	370801	64286	0	0	0	0	0	0	0	474	268	0	4	7	0	0	0	0	0	0	38	0	52	0	21	0	0	5	0	0	8	2	252	374	0	0	6	17
