PC	Acidaminococcus_intestini	Acinetobacter_baumannii	Actinobaculum_massiliae	Actinobaculum_schaalii	Actinomyces_europaeus	Actinomyces_graevenitzii	Actinomyces_neuii	Actinomyces_sp.	Actinomyces_turicensis	Actinomyces_urogenitalis	Aerococcus_urinae	Aerococcus_viridans	Anaerococcus_hydrogenalis	Anaerococcus_lactolyticus	Anaerococcus_prevotii	Anaerococcus_tetradius	Anaerococcus_vaginalis	Arcanobacterium_sp.	Atopobium_parvulum	Atopobium_vaginae	BVAB1	Bacteroides_ovatus	Bacteroides_sp.	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_vulgatus	Bifidobacterium_animalis	Bifidobacterium_bifidum	Bifidobacterium_breve	Bifidobacterium_dentium	Bifidobacterium_longum	Brevibacterium_mcbrellneri	Campylobacter_fetus	Candidatus_Pelagibacter	Chlamydia_trachomatis	Chryseobacterium_gleum	Clostridiales_Family	Clostridium_difficile	Clostridium_sp.	Corynebacterium_amycolatum	Corynebacterium_aurimucosum	Corynebacterium_ciconiae	Corynebacterium_diphtheriae	Corynebacterium_glucuronolyticum	Corynebacterium_lipophiloflavum	Corynebacterium_pseudogenitalium	Corynebacterium_striatum	Dialister_invisus	Dialister_micraerophilus	Dialister_microaerophilus	Dorea_formicigenerans	Eggerthella_lenta	Eggerthella_sp.	Enterococcus_faecalis	Enterococcus_faecium	Eremococcus_coleocola	Escherichia_coli	Eubacterium_saburreum	Eubacterium_siraeum	Eubacterium_sp.	Facklamia_hominis	Faecalibacterium_prausnitzii	Filifactor_alocis	Finegoldia_magna	Fusobacterium_gonidiaformans	Fusobacterium_nucleatum	Fusobacterium_sp.	Fusobacterium_ulcerans	Gardnerella_vaginalis	Gemella_haemolysans	Granulicatella_adiacens	Granulicatella_elegans	Haemophilus_parainfluenzae	Johnsonella_ignava	Jonquetella_anthropi	Klebsiella_oxytoca	Lactobacillus_acidophilus	Lactobacillus_amylolyticus	Lactobacillus_amylovorus	Lactobacillus_antri	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_helveticus	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_johnsonii	Lactobacillus_kefiranofaciens	Lactobacillus_oris	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactobacillus_ultunensis	Lactobacillus_vaginalis	Lactococcus_lactis	Leptotrichia_buccalis	Leptotrichia_shahii	Leptotrichia_sp.	Leptotrichia_wadei	Mageeibacillus_indolicus	Megasphaera_cerevisiae	Megasphaera_elsdenii	Megasphaera_genomosp.	Megasphaera_micronuciformis	Megasphaera_sp.	Mesorhizobium_sp.	Mobiluncus_curtisii	Mobiluncus_mulieris	Mycoplasma_gallinarum	Mycoplasma_hominis	Mycoplasma_primatum	Neisseria_gonorrhoeae	Odoribacter_laneus	Odoribacter_splanchnicus	Oribacterium_sp.	Parabacteroides_sp.	Paracoccus_denitrificans	Parvimonas_micra	Parvimonas_sp.	Pasteurella_bettyae	Pasteurella_multocida	Peptoniphilus_asaccharolyticus	Peptoniphilus_duerdenii	Peptoniphilus_harei	Peptoniphilus_indolicus	Peptoniphilus_lacrimalis	Peptoniphilus_sp.	Peptostreptococcus_anaerobius	Peptostreptococcus_sp.	Peptostreptococcus_stomatis	Porphyromonas_asaccharolytica	Porphyromonas_somerae	Porphyromonas_uenonis	Prevotella_amnii	Prevotella_bergensis	Prevotella_bivia	Prevotella_bryantii	Prevotella_buccae	Prevotella_buccalis	Prevotella_corporis	Prevotella_dentalis	Prevotella_denticola	Prevotella_disiens	Prevotella_histicola	Prevotella_intermedia	Prevotella_maculosa	Prevotella_marshii	Prevotella_melaninogenica	Prevotella_micans	Prevotella_multiformis	Prevotella_multisaccharivorax	Prevotella_nigrescens	Prevotella_oralis	Prevotella_oris	Prevotella_oulorum	Prevotella_pallens	Prevotella_salivae	Prevotella_sp.	Prevotella_stercorea	Prevotella_tannerae	Prevotella_timonensis	Prevotella_veroralis	Propionibacterium_sp.	Propionimicrobium_lymphophilum	Proteus_mirabilis	Rothia_mucilaginosa	Ruminococcus_lactaris	Salmonella_enterica	Sneathia_amnii	Sneathia_sanguinegens	Solobacterium_moorei	Staphylococcus_aureus	Staphylococcus_caprae	Staphylococcus_epidermidis	Staphylococcus_haemolyticus	Staphylococcus_lugdunensis	Staphylococcus_simulans	Streptococcus_agalactiae	Streptococcus_anginosus	Streptococcus_bovis	Streptococcus_constellatus	Streptococcus_dysgalactiae	Streptococcus_ictaluri	Streptococcus_infantarius	Streptococcus_macacae	Streptococcus_massiliensis	Streptococcus_mitis	Streptococcus_parasanguinis	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_pseudoporcinus	Streptococcus_pyogenes	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp.	Streptococcus_urinalis	Streptococcus_vestibularis	Sutterella_wadsworthensis	Tannerella_forsythensis	Treponema_phagedenis	Ureaplasma_parvum	Ureaplasma_urealyticum	Veillonella_atypica	Veillonella_parvula	Veillonella_ratti	Veillonella_sp.
ERR2014354	2	0	4	0	0	5	0	1	2	0	1	0	9	18	7	1263	0	0	3	4756	175	0	0	0	2	0	1	0	0	0	1	0	0	1	5	0	22	0	2	0	0	0	0	1	0	0	0	3	66	181	1	0	0	2	2	0	1	0	0	0	2	1	1	37	11	5	0	0	13688	1	0	0	0	0	0	0	0	0	0	0	0	108	0	0	3	1	2015	8	14	1	0	0	0	1	1	0	0	2	1	0	1227	3	0	728	56	207	0	18	2147	0	693	0	0	0	2	1	1	1	1	11	0	0	10	18	716	1	74	3	37	12	0	2	0	4	290	41	1851	0	2	207	27	0	40	91	1	1	0	2	1342	0	0	0	0	0	22	3	8	3	69	0	2	3020	2	0	0	0	0	191	0	1053	1080	0	0	0	0	0	0	0	3	13	0	1	1	0	0	0	0	0	0	1	0	9	0	0	0	0	1	0	0	1	1	12	15	0	0	0	3
ERR2014355	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	5	0	0	0	11	54	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	4	1	0	0	0	0	0	0	1	4	0	0	0	1	130	0	0	0	0	0	0	0	1	0	0	0	0	106	0	0	3	2	2378	12	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	2	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	0	3	0	3	2	0	0	0	1	18	0	5	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	46	0	0	0	0	0	0	0	28	7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	29	48	0	0	0	0
ERR2014356	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	0	0	0	13	61	0	0	0	0	0	0	0	0	0	0	0	0	0	21	1	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	4	2	0	0	0	0	1	0	2	3	0	0	0	0	195	1	0	0	0	0	0	0	2	0	0	0	0	100	1	0	8	3	2639	14	5	1	1	0	0	0	3	0	0	0	0	0	6	0	0	13	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	1	10	2	0	0	0	0	22	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	36	0	1	0	0	0	0	0	28	11	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	148	129	0	0	0	0
ERR2014357	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	0	1	0	16	93	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	4	1	0	0	0	0	2	0	2	3	0	0	0	1	635	0	0	0	0	0	0	0	3	0	0	0	2	156	1	0	9	3	2677	1889	2	3	0	0	0	0	1	0	0	0	0	0	7	0	0	11	0	1	0	1	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	17	2	0	0	0	0	39	0	11	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	37	0	0	0	0	0	2	0	33	20	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	48	55	0	0	0	0
ERR2014358	2	0	0	0	0	6	0	2	0	0	0	0	10	24	13	1760	1	2	1	5035	108	0	1	0	1	0	1	0	0	2	2	0	0	0	0	0	16	0	4	0	0	0	0	0	0	0	0	1	57	161	3	0	0	4	1	2	1	0	1	0	4	1	2	62	10	1	0	0	13950	1	0	0	0	0	3	0	0	0	0	0	0	105	0	0	3	1	1584	6	12	0	0	0	0	1	1	0	0	0	0	1	209	2	0	688	53	206	0	301	4	0	677	0	0	1	1	0	1	1	5	14	0	0	16	24	887	0	79	9	27	35	0	3	0	31	306	10	1896	0	1	1644	27	0	25	62	0	2	2	2	20	1	0	0	0	2	38	3	4	2	61	0	2	3101	1	0	1	0	0	233	0	1028	1066	0	0	0	0	0	0	0	5	11	0	2	0	0	0	0	0	0	0	1	0	10	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
ERR2014359	1	1	0	0	0	6	0	1	0	0	3	0	4	19	4	47	1	1	0	4087	46	0	0	0	1	0	4	0	0	1	1	0	0	0	0	0	22	0	1	0	0	0	0	0	0	3	0	2	41	92	3	0	0	2	2	1	8	0	0	0	3	1	2	52	6	0	0	0	13593	1	0	0	0	0	2	0	1	0	0	0	0	18	0	0	3	0	2245	11	9	0	0	0	0	0	1	0	0	0	0	0	188	0	0	441	71	117	0	3	4	0	58	0	0	0	0	0	1	0	0	10	0	0	1	9	251	0	48	1	35	3	0	1	0	1	138	7	1808	0	8	59	7	0	19	31	0	6	0	0	5	0	0	0	1	0	6	0	3	4	17	0	0	1859	0	2	0	0	0	217	0	855	1028	0	0	0	17	10	0	1	1	6	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	194	146	0	0	0	1
ERR2014360	3	0	0	0	0	6	0	1	0	0	0	0	5	236	6	40	1	1	0	3885	37	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	46	0	2	0	0	0	0	1	0	1	1	2	14	40	1	0	0	4	5	1	2	0	0	0	8	1	3	166	0	1	0	0	12902	1	0	0	0	0	2	0	1	0	0	0	0	20	1	0	4	0	2711	13	9	0	0	0	0	0	2	0	0	0	0	0	50	0	0	517	50	178	0	2	3	0	3	1	0	0	0	0	1	0	0	7	0	0	2	50	139	0	35	1	98	7	2	2	0	0	61	5	1392	0	9	25	9	0	10	25	0	3	0	0	3	0	0	0	1	0	1	0	1	2	11	0	0	1122	0	1	2	0	0	43	0	70	657	0	0	0	2	11	0	3	1	11	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	107	106	0	0	0	1
ERR2014361	0	0	0	1	1	10	0	2	15	0	1	0	10	208	21	614	0	645	0	6271	77	1	1	2	0	0	0	0	1	1	1	0	0	1	0	0	425	1	1	0	0	0	0	0	1	0	0	8	67	176	1	0	0	3	4	4	1	0	0	7	6	1	1	73	24	182	9	0	12357	1	0	0	0	0	1	0	0	0	0	0	0	16	0	0	4	0	2580	10	12	0	0	0	0	1	0	0	0	1	0	2	2015	0	0	594	86	174	0	1745	35	0	278	0	1	1	3	3	0	0	4	13	0	0	36	600	163	5	1271	13	626	727	4	125	4	1259	2222	51	248	0	5	1804	105	0	54	1913	6	11	0	0	25	6	0	0	2	9	20	1	35	18	1389	0	10	2564	0	0	5	0	0	240	0	1068	1035	0	0	0	0	0	0	0	7	10	0	2	3	0	0	0	1	0	0	2	0	17	0	0	0	0	1	0	2	1	3	0	1	0	2	1	3
ERR2014362	0	1	0	0	0	3	0	0	0	0	0	1	9	3	10	7	0	1	0	1163	23	0	0	0	0	0	0	1	6	0	4	0	0	1	0	0	8	1	0	0	0	0	0	0	0	1	1	0	9	9	1	0	0	9	7	1	28	0	0	0	11	0	3	317	4	0	0	1	6282	50	0	5	3	0	0	0	1	0	0	4	3	21	1	15	282	7	2957	21	18	0	1005	1	1500	0	471	3	1	0	1	4	19	0	14	16	2	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	3	3	52	0	7	1	343	8	0	0	0	0	68	0	68	0	0	0	1	0	2	11	0	0	0	0	16	0	0	0	0	0	0	0	0	1	1	0	0	2	0	2	0	0	0	4	6	103	27	0	0	0	4	0	0	1	9	25	5	1	2	2	1	0	0	18	53	1	0	2	0	199	2	4	1	87	0	0	0	0	227	310	61	2	0
ERR2014363	1	0	4	0	0	8	0	2	1	0	3	0	12	123	10	195	0	400	1	5119	1238	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	176	1	0	0	0	0	0	0	0	0	0	5	60	191	1	0	0	6	4	1	1	0	0	0	15	0	3	238	16	7	1	0	14358	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	7	0	1779	7	14	0	0	0	0	1	1	0	0	0	0	0	1817	0	0	689	82	168	0	21	2611	0	15	0	0	1	0	2	0	0	3	13	0	0	12	249	1150	3	1457	7	162	26	2	118	0	1392	225	28	714	0	7	1094	1177	2	36	97	1	3	0	0	19	1	3	0	1	7	30	3	11	0	727	0	3	3260	0	0	2	0	0	238	0	1041	1022	0	0	0	0	0	0	0	9	12	0	1	1	0	0	0	0	0	0	5	0	10	0	2	0	0	2	0	0	2	1	60	71	0	0	2	2
