PC	Acidaminococcus_intestini	Acinetobacter_baumannii	Actinobaculum_massiliae	Actinobaculum_schaalii	Actinomyces_europaeus	Actinomyces_graevenitzii	Actinomyces_neuii	Actinomyces_sp.	Actinomyces_turicensis	Actinomyces_urogenitalis	Aerococcus_urinae	Aerococcus_viridans	Anaerococcus_hydrogenalis	Anaerococcus_lactolyticus	Anaerococcus_prevotii	Anaerococcus_tetradius	Anaerococcus_vaginalis	Arcanobacterium_sp.	Atopobium_parvulum	Atopobium_vaginae	BVAB1	Bacteroides_ovatus	Bacteroides_sp.	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_vulgatus	Bifidobacterium_animalis	Bifidobacterium_bifidum	Bifidobacterium_breve	Bifidobacterium_dentium	Bifidobacterium_longum	Brevibacterium_mcbrellneri	Campylobacter_fetus	Candidatus_Pelagibacter	Chlamydia_trachomatis	Chryseobacterium_gleum	Clostridiales_Family	Clostridium_difficile	Clostridium_sp.	Corynebacterium_amycolatum	Corynebacterium_aurimucosum	Corynebacterium_ciconiae	Corynebacterium_diphtheriae	Corynebacterium_glucuronolyticum	Corynebacterium_lipophiloflavum	Corynebacterium_pseudogenitalium	Corynebacterium_striatum	Dialister_invisus	Dialister_micraerophilus	Dialister_microaerophilus	Dorea_formicigenerans	Eggerthella_lenta	Eggerthella_sp.	Enterococcus_faecalis	Enterococcus_faecium	Eremococcus_coleocola	Escherichia_coli	Eubacterium_saburreum	Eubacterium_siraeum	Eubacterium_sp.	Facklamia_hominis	Faecalibacterium_prausnitzii	Filifactor_alocis	Finegoldia_magna	Fusobacterium_gonidiaformans	Fusobacterium_nucleatum	Fusobacterium_sp.	Fusobacterium_ulcerans	Gardnerella_vaginalis	Gemella_haemolysans	Granulicatella_adiacens	Granulicatella_elegans	Haemophilus_parainfluenzae	Johnsonella_ignava	Jonquetella_anthropi	Klebsiella_oxytoca	Lactobacillus_acidophilus	Lactobacillus_amylolyticus	Lactobacillus_amylovorus	Lactobacillus_antri	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_helveticus	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_johnsonii	Lactobacillus_kefiranofaciens	Lactobacillus_oris	Lactobacillus_ruminis	Lactobacillus_salivarius	Lactobacillus_ultunensis	Lactobacillus_vaginalis	Lactococcus_lactis	Leptotrichia_buccalis	Leptotrichia_shahii	Leptotrichia_sp.	Leptotrichia_wadei	Mageeibacillus_indolicus	Megasphaera_cerevisiae	Megasphaera_elsdenii	Megasphaera_genomosp.	Megasphaera_micronuciformis	Megasphaera_sp.	Mesorhizobium_sp.	Mobiluncus_curtisii	Mobiluncus_mulieris	Mycoplasma_gallinarum	Mycoplasma_hominis	Mycoplasma_primatum	Neisseria_gonorrhoeae	Odoribacter_laneus	Odoribacter_splanchnicus	Oribacterium_sp.	Parabacteroides_sp.	Paracoccus_denitrificans	Parvimonas_micra	Parvimonas_sp.	Pasteurella_bettyae	Pasteurella_multocida	Peptoniphilus_asaccharolyticus	Peptoniphilus_duerdenii	Peptoniphilus_harei	Peptoniphilus_indolicus	Peptoniphilus_lacrimalis	Peptoniphilus_sp.	Peptostreptococcus_anaerobius	Peptostreptococcus_sp.	Peptostreptococcus_stomatis	Porphyromonas_asaccharolytica	Porphyromonas_somerae	Porphyromonas_uenonis	Prevotella_amnii	Prevotella_bergensis	Prevotella_bivia	Prevotella_bryantii	Prevotella_buccae	Prevotella_buccalis	Prevotella_corporis	Prevotella_dentalis	Prevotella_denticola	Prevotella_disiens	Prevotella_histicola	Prevotella_intermedia	Prevotella_maculosa	Prevotella_marshii	Prevotella_melaninogenica	Prevotella_micans	Prevotella_multiformis	Prevotella_multisaccharivorax	Prevotella_nigrescens	Prevotella_oralis	Prevotella_oris	Prevotella_oulorum	Prevotella_pallens	Prevotella_salivae	Prevotella_sp.	Prevotella_stercorea	Prevotella_tannerae	Prevotella_timonensis	Prevotella_veroralis	Propionibacterium_sp.	Propionimicrobium_lymphophilum	Proteus_mirabilis	Rothia_mucilaginosa	Ruminococcus_lactaris	Salmonella_enterica	Sneathia_amnii	Sneathia_sanguinegens	Solobacterium_moorei	Staphylococcus_aureus	Staphylococcus_caprae	Staphylococcus_epidermidis	Staphylococcus_haemolyticus	Staphylococcus_lugdunensis	Staphylococcus_simulans	Streptococcus_agalactiae	Streptococcus_anginosus	Streptococcus_bovis	Streptococcus_constellatus	Streptococcus_dysgalactiae	Streptococcus_ictaluri	Streptococcus_infantarius	Streptococcus_macacae	Streptococcus_massiliensis	Streptococcus_mitis	Streptococcus_parasanguinis	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_pseudoporcinus	Streptococcus_pyogenes	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp.	Streptococcus_urinalis	Streptococcus_vestibularis	Sutterella_wadsworthensis	Tannerella_forsythensis	Treponema_phagedenis	Ureaplasma_parvum	Ureaplasma_urealyticum	Veillonella_atypica	Veillonella_parvula	Veillonella_ratti	Veillonella_sp.
ERR2014354	0.0100809	0	0.00053839	0	0	0.00129956	0	0.00053839	0.000204217	0	5.56955e-05	0	0.00103965	0.0178411	0.000742607	0.483121	0	0	0.00614507	5.11095	0.117833	0	0	0	0.00137382	0	3.71303e-05	0	0	0	0.000352738	0	0	3.71303e-05	0.000185652	0	0.00391725	0	0.00133669	0	0	0	0	7.42607e-05	0	0	0	0.000167087	0.0238562	0.10261	0.000129956	0	0	7.42607e-05	0.000315608	0	3.71303e-05	0	0	0	0.000167087	0.000594086	3.71303e-05	0.00881846	0.0965946	0.000408434	0	0	36.1979	5.56955e-05	0	0	0	0	0	0	0	0	0	0	0	0.0107864	0	0	0.000724042	0.000222782	1.2533	0.00142952	0.0151306	3.71303e-05	0	0	0	9.28259e-05	3.71303e-05	0	0	9.28259e-05	3.71303e-05	0	0.397517	0.000594086	0	4.07596	0.00829863	0.493072	0	0.00180082	0.770715	0	0.623883	0	0	0	0.000204217	0.000111391	0.000259912	3.71303e-05	3.71303e-05	0.0102108	0	0	0.00274765	0.00323034	0.247232	5.56955e-05	0.0524652	0.00185652	0.00785307	0.00904124	0	0.00317464	0	0.000928259	0.466283	0.0317093	2.70071	0	0.000204217	0.327954	0.00566238	0	0.0177483	0.0268824	7.42607e-05	3.71303e-05	0	0.000185652	1.86764	0	0	0	0	0	0.0114918	0.000946824	0.00167087	0.000408434	0.0346426	0	0.00161517	19.4458	0.00144808	0	0	0	0	0.0837475	0	16.5439	8.22931	0	0	0	0	0	0	0	0.000835433	0.0125686	0	0.00161517	3.71303e-05	0	0	0	0	0	0	3.71303e-05	0	0.000426999	0	0	0	0	3.71303e-05	0	0	5.56955e-05	0.000167087	0.00053839	0.000705477	0	0	0	0.000241347
ERR2014355	0	0	0	0	0	0	0	0	0	0	0	0	0.0061988	0.000590362	0.0061988	0.00915062	0	0	0	0.118368	0.102133	0	0	0	0	0	0	0	0	0	0	0	0	0.00118072	0.00649399	0	0.0118072	0	0	0	0	0	0	0	0	0	0	0	0.00383736	0	0	0	0	0.0061988	0.00796989	0.000590362	0	0	0	0	0	0	0.000885544	0.00442772	0	0	0	0.000885544	0.273043	0	0	0	0	0	0	0	0.000590362	0	0	0	0	0.179175	0	0	0.0135783	0.0061988	98.9551	0.0746808	0	0.00324699	0	0	0	0	0	0	0	0	0	0	0.00177109	0	0	0.00856025	0	0.00147591	0	0.000885544	0.00531326	0	0	0	0	0	0	0	0	0	0	0.000590362	0	0	0	0.00118072	0.00974098	0	0.00206627	0	0.00177109	0.00177109	0	0	0	0.000590362	0.0141687	0	0.00383736	0	0	0	0	0	0	0.00413254	0	0	0	0	0.000590362	0	0	0	0	0	0	0	0	0	0.00147591	0	0	0.0315844	0	0	0	0	0	0	0	0.0215482	0.00767471	0	0	0	0	0	0	0	0.00236145	0.000590362	0	0	0	0	0	0	0	0	0	0	0	0.00147591	0	0	0	0	0.000590362	0	0	0	0	0.0315844	0.0501808	0	0	0	0
ERR2014356	0	0	0	0	0	0	0	0	0	0	0	0	0.00113197	0	0.00131309	0.00543348	0	0	0	0.0736236	0.0798721	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00312425	9.0558e-05	0.00810494	0	0	0	0	0	0	0	0	0	9.0558e-05	0	0.00212811	0	0	0	0	0.00163004	0.00144893	0.000543348	0	0	0	0	0.000135837	0	0.000316953	0.00158476	0	0	0	0	0.148968	9.0558e-05	0	0	0	0	0	0	0.000950859	0	0	0	0	0.118586	0.000498069	0	0.011682	0.00276202	99.256	0.0783779	0.00117725	0.000181116	0.000135837	0	0	0	0.000316953	0	0	0	0	0	0.00190172	0	0	0.00362232	0	0	0	0	0.00470901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00470901	0	0.000724464	0.000407511	0.000996138	0.00126781	0	0	0	0	0.0028073	0	0.000316953	0	0	0	0	0	0	0.00140365	0	0	0	0	9.0558e-05	0	0	0	0	0	0	0	0	0	0.000362232	0	0	0.0045279	0	9.0558e-05	0	0	0	0	0	0.00362232	0.00135837	0	0	0	0	0	0	0	0.00244507	0.0010867	0	0	0	0	0	0	0	0	0	0	0	0.000226395	0	0	0	0	9.0558e-05	0	0	0	0	0.050803	0.112156	0	0	0	0
ERR2014357	0	0	0	0	0	0	0	0	0	0	0	0	0.00223356	0.00015954	0.00803017	0.0285045	0	0.00010636	0	0.103222	0.0803017	0	0	0	0	0	0	0	0	0	0	0	0	0.000584979	0.00010636	0	0.0424376	0.00015954	0	0	0	0	0	0	0	0	0	0	0.0141459	0.00047862	0	0	0	0.0045203	0.00228674	0.00180812	0	0	0	0	0.000797699	0	0.000531799	0.0029249	0	0	0	0.00015954	0.23931	0	0	0	0	0	0	0	0.00872151	0	0	0	0.0002659	0.196925	0.00015954	0	0.00840243	0.00223356	93.2704	5.88027	0.00037226	0.00037226	0	0	0	0	0.00021272	0	0	0	0	0	0.00244628	0	0	0.00462666	0	0.00010636	0	0.00010636	0.0045203	0	0.00037226	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0275472	0	0.000531799	0.00015954	0.00223356	0.000584979	0	0	0	0	0.00515845	0	0.00143586	0	0	0.00010636	0.00010636	0	0	0.00951921	0	0	0	0	0.00010636	0	0	0	0	0	0	0	0	0	0.000584979	0	0	0.00499892	0	0	0	0	0	0.00021272	0	0.0050521	0.00297808	0	0	0	0	0	0	0	0.00143586	0.000531799	0	0	0	0	0	0	0	0	0	0	0	0.00010636	0	0	0	0	0.00047862	0	0	0	0	0.00856197	0.0142522	0	0	0	0
ERR2014358	0.000265185	0	0	0	0	0.00215936	0	0.000416719	0	0	0	0	0.00236772	0.00649703	0.00304963	2.39271	0.000113651	0.000113651	5.68253e-05	3.88375	0.190554	0	0.000549312	0	0.000132592	0	3.78836e-05	0	0	0.000227301	0.00032201	0	0	0	0	0	0.00327693	0	0.0277118	0	0	0	0	0	0	0	0	9.47089e-05	0.0165172	0.0538515	0.000265185	0	0	0.00117439	0.00115545	0.000189418	3.78836e-05	0	3.78836e-05	0	0.000227301	0.00278444	0.000132592	0.0410847	0.0170097	3.78836e-05	0	0	31.8097	9.47089e-05	0	0	0	0	0.000947089	0	0	0	0	0	0	0.00861851	0	0	0.000549312	0.000170476	0.631614	0.000795555	0.0146988	0	0	0	0	0.000170476	3.78836e-05	0	0	0	0	9.47089e-05	1.07623	0.00032201	0	2.9696	0.00841015	1.18621	0	0.0309888	0.000170476	0	0.60214	0	0	0.000397777	0.000568253	0	0.00185629	3.78836e-05	0.00176159	0.0124258	0	0	0.00528476	0.00617502	0.519743	0	0.0513512	0.00240561	0.010096	0.0494949	0	0.00143958	0	0.00178053	0.507166	0.00731153	12.222	0	0.0978153	1.00554	0.00969819	0	0.00649703	0.0551016	0	0.00020836	0.00687587	0.000473544	0.0263101	0.00318222	0	0	0	7.57671e-05	0.0194153	0.00666751	0.00613714	0.00053037	0.0586627	0	0.00085238	24.4623	5.68253e-05	0	0.000416719	0	0	0.963474	0	7.33539	7.52083	0	0	0	0	0	0	0	0.00431873	0.0128615	0	0.000719788	0	0	0	0	0	0	0	7.57671e-05	0	0.0032201	0	0	0	0	3.78836e-05	0	0	0.000492486	0	0	0	0	0	0	5.68253e-05
ERR2014359	0.000371112	2.74898e-05	0	0	0	0.0114358	0	8.24694e-05	0	0	0.000178684	0	0.00556668	0.00203425	0.00112708	0.00766965	6.87245e-05	2.74898e-05	0	7.6326	0.174038	0	0	0	4.12347e-05	0	0.000206173	0	0	5.49796e-05	5.49796e-05	0	0	0	0	0	0.0036424	0	5.49796e-05	0	0	0	0	0	0	9.62143e-05	0	6.87245e-05	0.00384857	0.00786208	0.000206173	0	0	0.00637763	0.00420594	9.62143e-05	0.000233663	0	0	0	0.000206173	5.49796e-05	0.000481071	0.0076834	0.000522306	0	0	0	84.831	2.74898e-05	0	0	0	0	0.000371112	0	8.24694e-05	0	0	0	0	0.0197652	0	0	0.0006735	0	2.06707	0.00173186	0.0101437	0	0	0	0	0	5.49796e-05	0	0	0	0	0	0.217266	0	0	0.162946	0.0175247	0.0282045	0	0.000137449	0.000178684	0	0.00437088	0	0	0	0	0	0.000522306	0	0	0.00184182	0	0	0.000659755	0.000412347	0.0185419	0	0.00602027	2.74898e-05	0.00230914	0.0175935	0	0.000412347	0	2.74898e-05	0.0420044	0.000659755	1.77933	0	0.00158066	0.0237649	0.000357367	0	0.00399977	0.00749097	0	0.000563541	0	0	0.000975888	0	0	0	0.00153943	0	0.000343622	0	0.000247408	0.000439837	0.00503063	0	0	0.656429	0	6.87245e-05	0	0	0	0.201693	0	0.277647	1.58321	0	0	0	0.000577286	0.000288643	0	2.74898e-05	0.0105698	0.00652883	0	5.49796e-05	0	0	0	0	0	0	0	8.24694e-05	0	0	2.74898e-05	0	0	0	0.000247408	0	0	0	0	0.0429528	0.070154	0	0	0	2.74898e-05
ERR2014360	0.000868274	0	0	0	0	0.00675127	0	8.85994e-05	0	0	0	0	0.000956873	0.0279088	0.000797394	0.00536912	0.000425277	5.31596e-05	0	4.82952	0.203601	0	0	0	0	0	5.31596e-05	0	0	0.000212638	3.54397e-05	0	0	0	0	0	0.00939153	0	0.000124039	0	0	0	0	3.54397e-05	0	3.54397e-05	3.54397e-05	7.08795e-05	0.00125811	0.00340222	0.000248078	0	0	0.0266153	0.00251622	3.54397e-05	7.08795e-05	0	0	0	0.000283518	0.000602476	0.000354397	0.0119432	0	7.08795e-05	0	0	79.2458	3.54397e-05	0	0	0	0	0.00120495	0	0.000194919	0	0	0	0	0.03264	5.31596e-05	0	0.00333134	0	14.1267	0.0124748	0.00178971	0	0	0	0	0	8.85994e-05	0	0	0	0	0	0.0395862	0	0	0.433215	0.00655635	0.143141	0	8.85994e-05	0.000531596	0	0.000779674	7.08795e-05	0	0	0	0	0.000124039	0	0	0.000850554	0	0	0.000496156	0.00269342	0.0115888	0	0.00336678	3.54397e-05	0.00630828	0.0149733	8.85994e-05	0.000106319	0	0	0.017082	0.000194919	0.376104	0	0.00230358	0.00747779	0.000389837	0	0.000832834	0.0024099	0	0.000106319	0	0	0.000283518	0	0	0	0.000354397	0	8.85994e-05	0	5.31596e-05	8.85994e-05	0.000868274	0	0	0.193005	0	3.54397e-05	7.08795e-05	0	0	0.00412873	0	0.00446541	0.126538	0	0	0	7.08795e-05	0.000496156	0	0.000124039	0.0101358	0.00136443	0	0	5.31596e-05	0	0	0	0	0	0	0	0	5.31596e-05	0	0	0	0	3.54397e-05	0	0	0	0	0.0106496	0.0173655	0	0	0	3.54397e-05
ERR2014361	0	0	0	3.33248e-05	3.33248e-05	0.011697	0	0.000299923	0.00119969	0	3.33248e-05	0	0.00321584	0.0244771	0.00134965	0.177005	0	0.0848949	0	12.4821	0.151028	3.33248e-05	0.00206614	0.000383235	0	0	0	0	4.99872e-05	8.3312e-05	3.33248e-05	0	0	6.66496e-05	0	0	0.0469713	3.33248e-05	6.66496e-05	0	0	0	0	0	3.33248e-05	0	0	0.000966419	0.0203448	0.036374	0.000183286	0	0	0.000316585	0.000266598	0.00104973	3.33248e-05	0	0	0.0127134	0.000583184	9.99744e-05	8.3312e-05	0.0441887	0.0467047	0.0234773	0.00138298	0	15.6987	9.99744e-05	0	0	0	0	6.66496e-05	0	0	0	0	0	0	0.0097475	0	0	0.00114971	0	2.23626	0.00338247	0.0183453	0	0	0	0	8.3312e-05	0	0	0	6.66496e-05	0	0.000266598	5.32612	0	0	0.319068	0.0775801	0.0295091	0	0.634187	0.00703153	0	0.103473	0	4.99872e-05	0.000633171	0.00069982	0.00134965	0	0	0.000449885	0.0371738	0	0	0.0269264	0.0840618	0.0225276	0.00189951	1.17422	0.0114137	0.0765804	0.0739644	0.000183286	0.0183786	0.000783132	0.316502	7.51394	0.0178288	0.0809792	0	0.000916432	0.743193	0.0320918	0	0.0109639	0.786665	0.0053153	0.0042989	0	0	0.0166624	0.00278262	0	0	0.00159959	0.000433222	0.003899	6.66496e-05	0.0245437	0.00853115	0.47926	0	0.00634837	1.47299	0	0	0.000216611	0	0	4.15002	0	43.4383	1.6959	0	0	0	0	0	0	0	0.00203281	0.00199949	0	0.0016829	0.00301589	0	0	0	3.33248e-05	0	0	0.000133299	0	0.00321584	0	0	0	0	3.33248e-05	0	6.66496e-05	4.99872e-05	0.000383235	0	3.33248e-05	0	0.000216611	4.99872e-05	0.00041656
ERR2014362	0	0.000146851	0	0	0	0.000881108	0	0	0	0	0	0.000660831	0.0133635	0.000954533	0.00440554	0.0111607	0	0.000220277	0	0.584762	0.1329	0	0	0	0	0	0	0.000220277	0.00102796	0	0.000734256	0	0	0.000293703	0	0	0.0127026	0.00132166	0	0	0	0	0	0	0	0.000146851	0.000146851	0	0.00638803	0.00352443	0.000807682	0	0	0.0159334	0.00778312	0.000734256	0.00536007	0	0	0	0.00308388	0	0.00205592	0.0960407	0.000881108	0	0	0.000146851	8.37823	0.0159334	0	0.000807682	0.000440554	0	0	0	0.000367128	0	0	0.0051398	0.00117481	0.0798871	0.000440554	0.00925163	0.128421	0.00609433	87.1434	0.0754081	0.0312059	0	0.560531	0.000146851	1.80113	0	0.267563	0.000954533	0.000220277	0	0.000146851	0.000587405	0.0121887	0	0.00484609	0.0145383	0.000293703	0	0	0.000293703	0.0057272	0	0.000367128	0	0	0	0	0	0	0	0	0	0	0	0.000954533	0.00183564	0.0188704	0	0.00161536	0.000220277	0.112488	0.0028636	0	0	0	0	0.013804	0	0.0151991	0	0	0	0.000146851	0	0.000293703	0.00609433	0	0	0	0	0.00345101	0	0	0	0	0	0	0	0	0.000146851	0.000146851	0	0	0.000293703	0	0.000293703	0	0	0	0.00110138	0.00102796	0.0283423	0.00734256	0	0	0	0.000587405	0	0	0.000146851	0.0165942	0.00477267	0.00117481	0.00234962	0.000734256	0.00110138	0.000220277	0	0	0.00536007	0.0110873	0.000220277	0	0.00264332	0	0.0638069	0.00190907	0.000807682	0.000146851	0.0323073	0	0	0	0	0.0939114	0.0752613	0.0124824	0.00132166	0
ERR2014363	6.62168e-05	0	0.000904963	0	0	0.00735007	0	0.000927035	0.000309012	0	0.000309012	0	0.0060478	0.0313647	0.00163335	0.201718	0	0.0525541	0.00194236	10.175	17.1517	6.62168e-05	0	0	4.41445e-05	0	6.62168e-05	0	0	0	0.00169956	0	0	0	0	0	0.036949	4.41445e-05	0	0	0	0	0	0	0	0	0	0.00470139	0.0591316	0.137091	8.82891e-05	0	0	0.00139055	0.00125812	4.41445e-05	4.41445e-05	0	0	0	0.000838746	0	0.00161128	0.0823737	0.0503027	0.000441445	4.41445e-05	0	36.1998	0	0	0	0	0	0.000772529	0	0	0	0	0	0	0.00322255	0	0	0.0019865	0	1.39009	0.00233966	0.0298638	0	0	0	0	0.000286939	0.000154506	0	0	0	0	0	3.70615	0	0	0.664066	0.136473	0.112767	0	0.00551807	3.15649	0	0.137599	0	0	0.000176578	0	0.00139055	0	0	0.00132434	0.0625528	0	0	0.00699691	0.0437693	1.38234	0.000154506	3.5914	0.00273696	0.0435707	0.0231538	0.000132434	0.0193574	0	0.713177	0.44597	0.00554014	0.220083	0	0.00152299	0.338567	0.278331	0.00284732	0.0123163	0.0334174	4.41445e-05	0.000750457	0	0	0.00829917	0.000750457	0.00112569	0	0.00161128	0.0169074	0.00697484	0.00200858	0.00423788	0	0.203948	0	0.0014347	6.64192	0	0	0.000154506	0	0	2.6843	0	8.18442	1.41894	0	0	0	0	0	0	0	0.0104623	0.00591537	0	8.82891e-05	0.000154506	0	0	0	0	0	0	0.000838746	0	0.00114776	0	0.000463518	0	0	0.000110361	0	0	0.000176578	4.41445e-05	0.00556221	0.00825503	0	0	0.000132434	0.000375229
