sample	gene count
ERR2014354	88544
ERR2014355	9506
ERR2014356	10096
ERR2014357	14717
ERR2014358	82285
ERR2014359	62627
ERR2014360	47526
ERR2014361	109863
ERR2014362	29061
ERR2014363	106699
ERR2014364	95131
ERR2014365	107055
ERR2014366	16956
ERR2014367	100276
ERR2014368	17270
ERR2014369	31248
ERR2014370	66735
ERR2014371	76452
ERR2014372	75563
ERR2014373	15505
ERR2014374	80654
ERR2014375	63213
ERR2014376	76931
ERR2014377	21559
ERR2014378	76904
ERR2014379	9327
ERR2014380	29587
ERR2014381	21314
ERR2014382	11484
ERR2014383	94391
ERR2014384	9538
ERR2014385	11390
ERR2014386	14370
ERR2014387	7934
ERR2014388	103468
ERR2014389	14222
ERR2014390	55735
ERR2014391	58308
ERR2014392	68796
ERR2014393	80920
