gene	geneCountCategory
V1852142	HGC
V1367011	HGC
V1012818	HGC
V1385524	HGC
V1574099	LGC
V1201618	HGC
V1181469	HGC
V1172048	HGC
V1177462	HGC
V1195882	HGC
V1010370	HGC
V1266145	HGC
V1012379	HGC
V1014517	HGC
V1010320	HGC
V1238174	HGC
V1175472	HGC
V1458745	HGC
V1144210	LGC
V1553663	HGC
V1188463	HGC
V1574668	HGC
V1620445	HGC
V1547956	HGC
V1356896	HGC
V1464610	HGC
V1181162	HGC
V1175702	HGC
V1101641	LGC
V1039311	HGC
V1144133	LGC
V1009707	HGC
V1014074	HGC
V1349681	HGC
V1266125	HGC
V1344846	HGC
V1430573	HGC
V1541236	LGC
V1017894	HGC
V1183570	HGC
V1010605	HGC
V1375437	HGC
V1009698	HGC
V1014932	HGC
V1265954	HGC
V1016891	HGC
V1239784	HGC
V1015867	HGC
V1265557	HGC
V1044113	HGC
V1347839	HGC
V1038290	HGC
V1553636	HGC
V1430882	HGC
V1166870	HGC
V1440338	HGC
V1481366	LGC
V1291185	HGC
V1011483	HGC
V1012925	HGC
V1045812	HGC
V1886409	LGC
V1042049	HGC
V1468021	HGC
V1364433	HGC
V1016291	HGC
V1297356	LGC
V1465824	HGC
V1521364	HGC
V1181200	HGC
V1075411	HGC
V1581223	LGC
V1200739	HGC
V1073455	HGC
V1043350	HGC
V1095854	HGC
V1574411	HGC
V1291186	HGC
V1884213	HGC
V1559864	HGC
V1010716	HGC
V1436641	HGC
V1574584	HGC
V1176250	HGC
V1039764	HGC
V1409395	HGC
V1381099	HGC
V1143984	LGC
V1033302	HGC
V1265662	HGC
V1297375	LGC
V1886416	LGC
V1886605	LGC
V1067144	HGC
V1380402	HGC
V1074069	HGC
V1552772	LGC
V1339706	HGC
V1093074	HGC
V1153972	HGC
V1085663	HGC
V1166828	HGC
V1574627	HGC
V1011016	HGC
V1316499	HGC
V1018464	HGC
V1201619	HGC
V1481392	LGC
V1121567	HGC
V1886538	LGC
V1468031	HGC
V1374960	HGC
V1295918	HGC
V1724779	HGC
V1059001	HGC
V1015868	HGC
V1392011	HGC
V1011009	HGC
V1074313	HGC
V1013250	HGC
V1044382	HGC
V1011014	HGC
V1169695	HGC
V1357367	HGC
V1039802	HGC
V1389769	LGC
V1343276	HGC
V1519450	HGC
V1547871	HGC
V1012820	HGC
V1176013	HGC
V1459319	HGC
V1879985	LGC
V1015866	HGC
V1886464	LGC
V1724752	HGC
V1362379	HGC
V1240761	HGC
V1088148	HGC
V1376276	HGC
V1153964	HGC
V1171816	HGC
V1392272	HGC
V1265582	HGC
V1548997	HGC
V1039101	HGC
V1102145	HGC
V1238012	HGC
V1879847	LGC
V1017590	HGC
V1577896	HGC
V1043994	HGC
V1176862	HGC
V1573360	HGC
V1180259	HGC
V1345089	HGC
V1728013	HGC
V1482495	HGC
V1038507	HGC
V1879918	LGC
V1067673	HGC
V1886558	LGC
V1291369	HGC
V1084381	HGC
V1013990	HGC
V1886965	LGC
V1251462	HGC
V1852109	HGC
V1009873	HGC
V1329936	HGC
V1553865	HGC
V1366884	HGC
V1176338	HGC
V1886517	LGC
V1403556	HGC
V1465017	HGC
V1011952	HGC
V1374569	HGC
V1433284	HGC
V1092088	HGC
V1355234	HGC
V1373874	HGC
V1530689	HGC
V1530442	HGC
V1375279	HGC
V1592800	LGC
V1586803	HGC
V1144304	LGC
V1107529	HGC
V1011012	HGC
V1401247	HGC
V1389384	LGC
V1013989	HGC
V1580786	LGC
V1033375	LGC
V1037967	HGC
V1138803	HGC
V1016890	HGC
V1578813	HGC
V1011015	HGC
V1060343	HGC
V1042541	HGC
V1175115	HGC
V1363976	HGC
V1011011	HGC
V1886398	LGC
V1198254	HGC
V1340164	HGC
V1340709	HGC
V1481436	LGC
V1886629	LGC
V1380652	HGC
V1078022	HGC
V1374878	HGC
V1491685	HGC
V1143837	LGC
V1886584	LGC
V1366656	LGC
V1197080	HGC
V1010371	HGC
V1886399	LGC
V1017849	HGC
V1562543	HGC
V1500439	HGC
V1879848	LGC
V1517484	HGC
V1394393	HGC
V1400939	HGC
V1191063	HGC
V1593064	LGC
V1381169	HGC
V1465413	HGC
V1553580	HGC
V1724838	HGC
V1583797	HGC
V1010826	HGC
V1392216	HGC
V1574450	HGC
V1398731	HGC
V1012601	HGC
V1889488	LGC
V1159530	HGC
V1458722	HGC
V1011950	HGC
V1101083	HGC
V1356740	HGC
V1172384	HGC
V1364188	HGC
V1017440	HGC
V1075033	HGC
V1464287	HGC
V1399043	LGC
V1465889	HGC
V1138312	HGC
V1820497	HGC
V1561820	HGC
V1158598	HGC
V1466175	HGC
V1618419	HGC
V1541210	LGC
V1482487	HGC
V1886461	LGC
V1552713	LGC
V1010170	HGC
V1886712	LGC
V1580955	LGC
V1522026	HGC
V1724651	HGC
V1547999	HGC
V1015123	HGC
V1014326	HGC
V1879856	LGC
V1572880	HGC
V1621556	HGC
V1043422	HGC
V1012782	HGC
V1485691	HGC
V1604823	HGC
V1010897	HGC
V1458459	HGC
V1041179	HGC
V1466186	HGC
V1554058	HGC
V1080812	HGC
V1042531	HGC
V1010210	HGC
V1042408	HGC
V1174830	HGC
V1015185	HGC
V1037377	HGC
V1175780	HGC
V1875176	HGC
V1420755	HGC
V1019923	HGC
V1152183	HGC
V1513759	HGC
V1564264	HGC
V1011013	HGC
V1577061	HGC
V1010898	HGC
V1394549	HGC
V1881261	HGC
V1572527	HGC
V1010603	HGC
V1013797	HGC
V1398523	HGC
V1494140	LGC
V1347436	HGC
V1463704	HGC
V1144281	LGC
V1069215	HGC
V1169826	HGC
V1875168	HGC
V1011951	HGC
V1091760	HGC
V1015184	HGC
V1037682	HGC
V1166804	HGC
V1820402	HGC
V1191139	HGC
V1102240	HGC
V1501870	HGC
V1013794	HGC
V1038532	HGC
V1553587	HGC
V1152427	HGC
V1238024	HGC
V1879849	LGC
V1464388	HGC
V1102242	HGC
V1320051	HGC
V1010362	HGC
V1068836	HGC
V1088192	HGC
V1375317	HGC
V1467466	HGC
V1176354	HGC
V1012921	HGC
V1191447	HGC
V1395075	HGC
V1548238	HGC
V1072266	HGC
V1327808	HGC
V1201514	HGC
V1015865	HGC
V1553746	HGC
V1160507	HGC
V1200413	HGC
V1886598	LGC
V1268242	HGC
V1353182	HGC
V1345181	HGC
V1423312	LGC
V1081813	HGC
V1144023	LGC
V1463662	HGC
V1181596	HGC
V1073961	HGC
V1310551	HGC
V1020418	HGC
V1239646	HGC
V1180989	HGC
V1140935	HGC
V1469298	LGC
V1820421	HGC
V1576098	HGC
V1564708	HGC
V1138580	HGC
V1341295	HGC
V1374695	HGC
V1488962	HGC
V1491718	HGC
V1081021	HGC
V1440366	HGC
V1886580	LGC
V1007951	HGC
V1374264	HGC
V1010162	HGC
V1374311	HGC
V1172782	HGC
V1427948	HGC
V1520185	HGC
V1010322	HGC
V1038297	HGC
V1875149	LGC
V1886513	LGC
V1886400	LGC
V1175826	HGC
V1574191	HGC
V1181233	HGC
V1879999	LGC
V1069833	HGC
V1009869	HGC
V1178384	HGC
V1016421	HGC
V1175369	HGC
V1593022	HGC
V1237561	HGC
V1342924	HGC
V1015734	HGC
V1084754	HGC
V1010707	HGC
V1350994	HGC
V1374801	HGC
V1079141	HGC
V1299086	LGC
V1366482	LGC
V1010324	HGC
V1013326	HGC
V1553673	HGC
V1351583	HGC
V1085032	HGC
V1886737	LGC
V1143990	LGC
V1506464	HGC
V1326836	HGC
V1609073	LGC
V1499048	HGC
V1431657	HGC
V1373951	HGC
V1328066	HGC
V1237636	HGC
V1011765	HGC
V1553606	HGC
V1420967	HGC
V1096366	HGC
V1239886	HGC
V1014590	HGC
V1458543	HGC
V1292575	HGC
V1593004	HGC
V1886303	LGC
V1468407	HGC
V1466356	HGC
V1076095	HGC
V1399193	LGC
V1440373	HGC
V1384537	LGC
V1364807	HGC
V1617969	HGC
V1422497	HGC
V1073738	HGC
V1077152	HGC
V1607555	HGC
V1465212	HGC
V1083585	HGC
V1414120	HGC
V1152674	HGC
V1375820	HGC
V1175640	HGC
V1553602	HGC
V1013988	HGC
V1138842	HGC
V1139649	HGC
V1879897	LGC
V1820490	HGC
V1237898	HGC
V1430382	HGC
V1014514	HGC
V1014328	HGC
V1236668	LGC
V1295084	HGC
V1595286	HGC
V1373915	HGC
V1374236	HGC
V1295801	HGC
V1363297	HGC
V1272241	HGC
V1358567	HGC
V1158726	HGC
V1875142	LGC
V1463036	LGC
V1581212	LGC
V1010331	HGC
V1291094	HGC
V1008596	HGC
V1468552	HGC
V1076687	HGC
V1013494	HGC
V1459186	HGC
V1042705	HGC
V1237505	HGC
V1144017	LGC
V1503145	LGC
V1010990	HGC
V1367134	HGC
V1144196	LGC
V1188019	HGC
V1376488	HGC
V1464300	HGC
V1886446	LGC
V1291194	HGC
V1459209	HGC
V1374529	HGC
V1082885	HGC
V1402156	HGC
V1042766	HGC
V1236942	LGC
V1010861	HGC
V1594748	HGC
V1012846	HGC
V1374615	HGC
V1879950	LGC
V1074834	HGC
V1169343	HGC
V1469297	LGC
V1724603	HGC
V1374743	HGC
V1440341	HGC
V1193588	HGC
V1010901	HGC
V1015285	HGC
V1013149	HGC
V1886647	LGC
V1618128	HGC
V1118976	HGC
V1594601	HGC
V1462084	LGC
V1191216	HGC
V1498933	HGC
V1467230	HGC
V1886440	LGC
V1374597	HGC
V1108111	HGC
V1239889	HGC
V1009875	HGC
V1040139	HGC
V1366998	HGC
V1886609	LGC
V1152905	HGC
V1102449	HGC
V1886719	LGC
V1886512	LGC
V1149253	LGC
V1040663	HGC
V1500383	HGC
V1886482	LGC
V1339861	HGC
V1468026	HGC
V1882884	LGC
V1324413	HGC
V1337176	LGC
V1391817	HGC
V1493245	HGC
V1010817	HGC
V1440378	HGC
V1357233	HGC
V1593049	LGC
V1036687	HGC
V1239696	HGC
V1009864	HGC
V1042441	HGC
V1373836	HGC
V1009697	HGC
V1886153	LGC
V1391823	HGC
V1557302	HGC
V1038350	HGC
V1398959	LGC
V1462087	LGC
V1553528	LGC
V1820378	HGC
V1356684	HGC
V1640263	HGC
V1014995	HGC
V1067311	HGC
V1175641	HGC
V1191801	HGC
V1421861	HGC
V1067672	HGC
V1144065	LGC
V1445164	LGC
V1820423	HGC
V1175846	HGC
V1175708	HGC
V1621228	HGC
V1499465	HGC
V1432103	HGC
V1519499	HGC
V1042761	HGC
V1191972	HGC
V1469363	LGC
V1200468	HGC
V1561626	HGC
V1379164	HGC
V1012697	HGC
V1041712	HGC
V1107839	HGC
V1174440	HGC
V1373917	HGC
V1705067	HGC
V1581271	LGC
V1392006	HGC
V1552830	LGC
V1010818	HGC
V1011409	HGC
V1376706	HGC
V1603901	HGC
V1240249	HGC
V1037868	HGC
V1392169	HGC
V1499093	HGC
V1375318	HGC
V1458783	HGC
V1820409	HGC
V1010325	HGC
V1010604	HGC
V1009500	HGC
V1170101	HGC
V1409362	HGC
V1086903	HGC
V1376982	HGC
V1375385	HGC
V1469327	LGC
V1015737	HGC
V1392302	HGC
V1009496	HGC
V1553529	LGC
V1595331	HGC
V1012853	HGC
V1080826	HGC
V1190680	HGC
V1200619	HGC
V1445181	LGC
V1436037	HGC
V1191452	HGC
V1366629	LGC
V1392944	HGC
V1009501	HGC
V1015468	HGC
V1140098	HGC
V1138616	HGC
V1820401	HGC
V1201512	HGC
V1010705	HGC
V1886654	LGC
V1081499	HGC
V1458358	HGC
V1194775	HGC
V1079173	HGC
V1553584	HGC
V1012778	HGC
V1385405	LGC
V1012698	HGC
V1138859	HGC
V1578774	HGC
V1175528	HGC
V1239754	HGC
V1041711	HGC
V1138974	HGC
V1015178	HGC
V1375214	HGC
V1886473	LGC
V1400067	HGC
V1886386	LGC
V1399511	LGC
V1618429	HGC
V1547357	LGC
V1102938	HGC
V1608313	HGC
V1277310	HGC
V1103826	HGC
V1347169	HGC
V1552804	LGC
V1076325	HGC
V1046755	LGC
V1118483	HGC
V1073219	HGC
V1073737	HGC
V1099710	HGC
V1237514	HGC
V1083494	HGC
V1265198	HGC
V1013878	HGC
V1459717	HGC
V1593758	HGC
V1886699	LGC
V1012941	HGC
V1173647	HGC
V1265556	HGC
V1291030	HGC
V1462461	LGC
V1014201	HGC
V1886410	LGC
V1249839	HGC
V1374534	HGC
V1190729	HGC
V1481297	LGC
V1375515	HGC
V1266304	HGC
V1400421	HGC
V1576209	HGC
V1074522	HGC
V1009865	HGC
V1074700	HGC
V1036638	HGC
V1136980	LGC
V1152387	HGC
V1440842	HGC
V1888234	LGC
V1374009	HGC
V1594566	HGC
V1102386	HGC
V1462500	HGC
V1375458	HGC
V1151454	HGC
V1121000	HGC
V1570490	HGC
V1064179	HGC
V1012374	HGC
V1081400	HGC
V1040864	HGC
V1520692	HGC
V1295628	HGC
V1886979	LGC
V1013500	HGC
V1500737	HGC
V1044903	HGC
V1013880	HGC
V1100374	HGC
V1015679	HGC
V1191127	HGC
V1033775	LGC
V1463838	HGC
V1466643	HGC
V1611926	HGC
V1886602	LGC
V1175617	HGC
V1724799	HGC
V1043880	HGC
V1173563	HGC
V1041477	HGC
V1484621	LGC
V1195980	HGC
V1464316	HGC
V1102722	HGC
V1164826	LGC
V1580921	LGC
V1010710	HGC
V1009867	HGC
V1159123	HGC
V1431442	HGC
V1138313	HGC
V1079897	HGC
V1357955	HGC
V1608789	LGC
V1462497	LGC
V1595009	HGC
V1010361	HGC
V1046752	LGC
V1236712	LGC
V1377234	HGC
V1293700	HGC
V1176083	HGC
V1409306	HGC
V1420733	HGC
V1010610	HGC
V1009868	HGC
V1886072	LGC
V1594996	HGC
V1012116	HGC
V1180903	HGC
V1384481	HGC
V1482592	HGC
V1138253	HGC
V1010825	HGC
V1040586	HGC
V1041124	HGC
V1574174	HGC
V1015869	HGC
V1374860	HGC
V1469287	LGC
V1014849	HGC
V1887155	LGC
V1166992	HGC
V1106664	HGC
V1613141	HGC
V1593009	LGC
V1458610	HGC
V1553600	HGC
V1576661	HGC
V1230277	HGC
V1019551	HGC
V1085061	HGC
V1200563	HGC
V1339870	HGC
V1886184	LGC
V1073610	HGC
V1296100	HGC
V1574805	HGC
V1081240	HGC
V1820412	HGC
V1273957	HGC
V1376414	HGC
V1577531	HGC
V1175470	HGC
V1077866	HGC
V1339711	HGC
V1427721	HGC
V1509142	HGC
V1483949	HGC
V1011953	HGC
V1411416	HGC
V1181936	HGC
V1315966	HGC
V1886507	LGC
V1449524	LGC
V1364113	HGC
V1724620	HGC
V1014934	HGC
V1602678	HGC
V1886502	LGC
V1014820	HGC
V1182193	HGC
V1151414	HGC
V1084455	HGC
V1593684	HGC
V1245732	HGC
V1463738	HGC
V1017232	HGC
V1087127	HGC
V1102445	HGC
V1176176	HGC
V1037458	HGC
V1238678	HGC
V1466585	HGC
V1167329	HGC
V1577002	HGC
V1013876	HGC
V1269711	HGC
V1566080	HGC
V1466276	HGC
V1466362	HGC
V1886635	LGC
V1268223	HGC
V1074383	HGC
V1042360	HGC
V1458993	HGC
V1012926	HGC
V1365398	HGC
V1015735	HGC
V1011955	HGC
V1083362	HGC
V1440841	HGC
V1886673	LGC
V1009871	HGC
V1015678	HGC
V1322633	HGC
V1886283	LGC
V1043613	HGC
V1244607	HGC
V1375931	HGC
V1377502	HGC
V1520249	HGC
V1154539	HGC
V1724694	HGC
V1056471	HGC
V1075480	HGC
V1820381	HGC
V1192824	HGC
V1013366	HGC
V1345608	HGC
V1012821	HGC
V1014203	HGC
V1339799	HGC
V1037222	HGC
V1594736	HGC
V1012550	HGC
V1366763	HGC
V1389869	LGC
V1553698	HGC
