gene	geneCountCategory
V1012818	HGC
V1547956	HGC
V1385524	HGC
V1238174	HGC
V1553663	HGC
V1010370	HGC
V1367011	HGC
V1175702	HGC
V1015867	HGC
V1012379	HGC
V1010320	HGC
V1015868	HGC
V1884213	HGC
V1201618	HGC
V1016891	HGC
V1016291	HGC
V1014517	HGC
V1038290	HGC
V1010716	HGC
V1012820	HGC
V1012925	HGC
V1037377	HGC
V1553636	HGC
V1013250	HGC
V1039311	HGC
V1010605	HGC
V1015866	HGC
V1039764	HGC
V1265582	HGC
V1038350	HGC
V1013990	HGC
V1153964	HGC
V1018464	HGC
V1011952	HGC
V1009707	HGC
V1380402	HGC
V1014074	HGC
V1265557	HGC
V1166870	HGC
V1266145	HGC
V1009698	HGC
V1102145	HGC
V1440338	HGC
V1201619	HGC
V1875168	HGC
V1016890	HGC
V1375437	HGC
V1875176	HGC
V1884198	HGC
V1266125	HGC
V1466175	HGC
V1011016	HGC
V1011009	HGC
V1316499	HGC
V1530442	HGC
V1011014	HGC
V1166828	HGC
V1039101	HGC
V1201514	HGC
V1010826	HGC
V1014932	HGC
V1397237	HGC
V1238012	HGC
V1011483	HGC
V1017894	HGC
V1039802	HGC
V1017590	HGC
V1014328	HGC
V1010603	HGC
V1011015	HGC
V1009873	HGC
V1577896	HGC
V1015865	HGC
V1012601	HGC
V1553673	HGC
V1102240	HGC
V1374878	HGC
V1010897	HGC
V1012782	HGC
V1020418	HGC
V1009869	HGC
V1482566	HGC
V1559864	HGC
V1374569	HGC
V1011951	HGC
V1820497	HGC
V1013989	HGC
V1553587	HGC
V1482495	HGC
V1011950	HGC
V1102722	HGC
V1037878	HGC
V1373836	HGC
V1373951	HGC
V1373874	HGC
V1011011	HGC
V1038297	HGC
V1138580	HGC
V1553746	HGC
V1326836	HGC
V1010898	HGC
V1014514	HGC
V1820402	HGC
V1553580	HGC
V1522026	HGC
V1011012	HGC
V1010368	HGC
V1038532	HGC
V1101083	HGC
V1037967	HGC
V1564708	HGC
V1268242	HGC
V1268223	HGC
V1482487	HGC
V1009865	HGC
V1010362	HGC
V1364433	HGC
V1554058	HGC
V1200739	HGC
V1265662	HGC
V1010371	HGC
V1012846	HGC
V1236668	LGC
V1009868	HGC
V1553599	HGC
V1041179	HGC
V1010170	HGC
V1553606	HGC
V1238024	HGC
V1013797	HGC
V1463704	HGC
V1014820	HGC
