PC	Acidaminococcus_intestini	Acinetobacter_baumannii	Actinobaculum_massiliae	Actinobaculum_schaalii	Actinomyces_coleocanis	Actinomyces_europaeus	Actinomyces_graevenitzii	Actinomyces_neuii	Actinomyces_sp.	Actinomyces_urogenitalis	Aerococcus_urinae	Aerococcus_viridans	Anaerococcus_hydrogenalis	Anaerococcus_lactolyticus	Anaerococcus_prevotii	Anaerococcus_tetradius	Anaerococcus_vaginalis	Arcanobacterium_sp.	Atopobium_parvulum	Atopobium_rimae	Atopobium_vaginae	BVAB1	Bacillus_cereus	Bacteroides_ovatus	Bacteroides_sp.	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bifidobacterium_animalis	Bifidobacterium_breve	Bifidobacterium_dentium	Bifidobacterium_longum	Clostridiales_Family	Clostridium_botulinum	Clostridium_difficile	Clostridium_sp.	Collinsella_tanakaei	Corynebacterium_amycolatum	Corynebacterium_aurimucosum	Corynebacterium_ciconiae	Corynebacterium_genitalium	Corynebacterium_glucuronolyticum	Corynebacterium_lipophiloflavum	Corynebacterium_pseudogenitalium	Corynebacterium_striatum	Corynebacterium_uterequi	Dialister_invisus	Dialister_micraerophilus	Dialister_microaerophilus	Dorea_formicigenerans	Eggerthella_lenta	Enterococcus_faecalis	Enterococcus_faecium	Eremococcus_coleocola	Escherichia_coli	Eubacterium_saburreum	Eubacterium_siraeum	Eubacterium_sp.	Facklamia_hominis	Faecalibacterium_prausnitzii	Filifactor_alocis	Finegoldia_magna	Fusobacterium_gonidiaformans	Fusobacterium_nucleatum	Fusobacterium_sp.	Gardnerella_vaginalis	Gemella_haemolysans	Granulicatella_adiacens	Granulicatella_elegans	Haemophilus_parainfluenzae	Jonquetella_anthropi	Klebsiella_oxytoca	Lachnospiraceae_bacterium	Lactobacillus_acidophilus	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_helveticus	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_johnsonii	Lactobacillus_kefiranofaciens	Lactobacillus_oris	Lactobacillus_pentosus	Lactobacillus_reuteri	Lactobacillus_ruminis	Lactobacillus_sakei	Lactobacillus_salivarius	Lactobacillus_ultunensis	Lactobacillus_vaginalis	Lactococcus_lactis	Leptotrichia_buccalis	Leptotrichia_goodfellowii	Leptotrichia_hofstadii	Leptotrichia_shahii	Leptotrichia_sp.	Leptotrichia_wadei	Mageeibacillus_indolicus	Megasphaera_cerevisiae	Megasphaera_elsdenii	Megasphaera_genomosp.	Megasphaera_micronuciformis	Megasphaera_sp.	Mesorhizobium_sp.	Mobiluncus_curtisii	Mobiluncus_mulieris	Mycoplasma_canis	Mycoplasma_columbinum	Mycoplasma_fermentans	Mycoplasma_gallinarum	Mycoplasma_hominis	Mycoplasma_imitans	Mycoplasma_primatum	Neisseria_gonorrhoeae	Odoribacter_laneus	Odoribacter_splanchnicus	Oribacterium_sp.	Parabacteroides_sp.	Parvimonas_micra	Parvimonas_sp.	Pasteurella_bettyae	Pasteurella_multocida	Peptoniphilus_asaccharolyticus	Peptoniphilus_duerdenii	Peptoniphilus_harei	Peptoniphilus_indolicus	Peptoniphilus_lacrimalis	Peptoniphilus_sp.	Peptostreptococcus_anaerobius	Peptostreptococcus_sp.	Peptostreptococcus_stomatis	Porphyromonas_asaccharolytica	Porphyromonas_levii	Porphyromonas_somerae	Porphyromonas_uenonis	Prevotella_amnii	Prevotella_bergensis	Prevotella_bivia	Prevotella_bryantii	Prevotella_buccae	Prevotella_buccalis	Prevotella_corporis	Prevotella_dentalis	Prevotella_denticola	Prevotella_disiens	Prevotella_histicola	Prevotella_intermedia	Prevotella_maculosa	Prevotella_marshii	Prevotella_melaninogenica	Prevotella_micans	Prevotella_multiformis	Prevotella_multisaccharivorax	Prevotella_nanceiensis	Prevotella_nigrescens	Prevotella_oralis	Prevotella_oris	Prevotella_oulorum	Prevotella_pallens	Prevotella_salivae	Prevotella_sp.	Prevotella_stercorea	Prevotella_tannerae	Prevotella_timonensis	Prevotella_veroralis	Propionibacterium_sp.	Propionimicrobium_lymphophilum	Proteus_mirabilis	Ruminococcus_lactaris	Salmonella_enterica	Sneathia_amnii	Sneathia_sanguinegens	Solobacterium_moorei	Sphingobacterium_spiritivorum	Staphylococcus_aureus	Staphylococcus_caprae	Staphylococcus_epidermidis	Staphylococcus_haemolyticus	Staphylococcus_hominis	Staphylococcus_lugdunensis	Staphylococcus_simulans	Streptobacillus_moniliformis	Streptococcus_agalactiae	Streptococcus_anginosus	Streptococcus_bovis	Streptococcus_constellatus	Streptococcus_dysgalactiae	Streptococcus_ictaluri	Streptococcus_macacae	Streptococcus_mitis	Streptococcus_parasanguinis	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_pseudoporcinus	Streptococcus_pyogenes	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp.	Streptococcus_urinalis	Streptococcus_vestibularis	Sutterella_parvirubra	Tannerella_forsythensis	Treponema_phagedenis	Ureaplasma_parvum	Ureaplasma_urealyticum	Veillonella_atypica	Veillonella_parvula	Veillonella_ratti	Veillonella_sp.
001A	0	0	0	0	0	0	0	2	0	0	0	4	0	4	0	184	0	9	0	0	8777	1733	71	0	0	0	0	3	3	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	147	500	0	0	17	12	6	28	0	0	0	0	0	19	13	0	10	0	235183	0	0	3	0	0	4	0	10065	35059	136037	489	300	5995959	5979	19762	162003	176102	78	101	16	0	17	0	829	16838	356	2	0	0	0	0	0	2	44	0	0	2013	2	272	0	0	3	0	0	13	0	99	0	0	0	0	0	0	0	0	2	14	0	2	4	28	0	8	0	11	70	0	2	0	0	10	5339	0	473	0	0	305	5	0	0	38	0	0	0	0	0	7	0	0	0	0	5	0	0	2	0	234	0	0	363	0	5	2	0	26	0	406	370	0	0	198	2	2	2	0	0	0	0	38	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	2298	4692	4	0	0	0
001B	0	0	0	0	0	0	0	2	0	0	4	0	11	4993	27	1362	0	2	0	0	97	2272	42	0	0	0	0	0	3	0	26	544	45	0	0	0	4	0	0	7	0	0	0	0	0	8	111	165	0	0	9	32	3	105	0	0	0	25	0	0	178	2	2	0	11000	0	0	0	3	0	19	0	88808	3654	11046890	3788	55	9525	38981	44831	525126	8163	126	17	10	2	5	6	52	49797	944	3	8	0	0	0	0	0	33	2	0	3426	7	429	0	12	16	96	0	30	277	8	0	0	0	0	0	14	0	0	0	0	0	8	1473	1563	0	353	0	6	14	0	59	0	0	194	9675	110	736	0	3	949	77	0	20	1337	6	0	0	0	9	8	0	0	0	4	10	3	4	4	0	2818	0	0	3405	0	12	4	9	24	0	645	767	0	0	13	0	0	5	0	5	0	0	61	142	0	0	5	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	3	2	26	2	3	0
002B	0	0	0	0	0	2	0	0	6	0	0	0	653	96	243	555	0	10	0	0	7675	6887	18	0	0	0	0	0	0	3	0	2114	0	2	56	0	0	2	0	0	2	0	0	2	0	0	293	107	41	0	138	44	132	26	0	0	0	96	0	2	333	0	12	0	33351	0	0	0	0	0	6	0	3237	8698	565117	221	33	2763	2298	6305845	129773	1059	0	47	2	0	14	8	23	3119	113	0	0	0	0	0	0	2	242	0	0	3082	0	229	0	22	165	25	6	0	68	0	0	0	0	2	0	0	0	0	0	0	0	0	903	474	0	183	5	312	57	3	14	0	0	73	4624	12	1633	0	0	396	45	2	12	3252	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	337	0	0	1565	0	4	0	0	10	0	314	406	0	0	7	0	3	4	0	0	0	0	45	42	0	0	0	0	2	0	0	6	0	19	0	0	0	0	3	0	0	0	0	1232	2678	4	0	0	0
003A	424	5	2	18	0	0	0	18	0	0	3	0	49	97	462	1371	0	14	0	0	14206	7830	43	0	0	0	0	19	23	30	43	1035	0	3	33	0	0	0	0	0	3	0	0	0	0	7	5239	5249	53	0	155	26	205	24	0	0	0	125	81	0	613	0	9	2	2081753	0	0	0	0	8	0	0	1103	127	35768	77	26	2124	91	7438399	142880	780	5	39	0	0	13	11	30	158	60	0	0	0	0	0	0	0	1706	111	30	269812	49	34683	19	20	261	23	4	0	81	17	0	0	0	2	11	13	0	0	0	0	0	71	61	479	11	191	12	643	2048	0	10	0	0	15	4609	15	303916	0	0	492	115	2	58	2151	0	0	10	2	56	3	0	0	0	0	1573	46	35	5	0	916	0	0	5238	0	2	0	0	15	0	445	251	0	2	32	0	6	0	0	0	0	0	169	375	7	0	243	0	0	0	0	11	0	11	0	0	0	0	48	0	0	0	2	52	193	4	0	71	8
004B	2	3	0	0	0	0	0	23	0	0	0	0	174	71	13	124	0	6	0	0	8400	9760	52	0	0	0	0	0	0	0	0	75	0	7	0	0	0	0	2	0	0	0	0	0	0	0	49	58	60	0	126	235	0	35	0	0	0	37	0	16	360	2	4	0	13441	0	0	0	0	0	0	0	3592	489	42214	285	57	266033	732	6923347	1888060	8852	66	94	2	0	13	27	42	1064	5213	0	0	0	0	0	0	2	665	0	0	2311	0	239	0	23	515	345	2	0	955	2	0	0	0	0	0	0	0	0	0	0	2	0	67	241	0	83	5	365	32	0	0	0	0	16	4852	0	278	0	0	368	14	0	2	11	5	0	0	0	0	6	0	0	0	0	3	0	0	2	0	297	0	0	605	0	2	0	0	21	0	373	316	0	0	24	0	2	0	0	0	0	0	260	29	8	0	11	0	0	0	0	3476	0	5	0	6	0	0	16	0	0	0	2	0	0	8	4	0	0
006A	168	0	0	0	4	0	23	0	11	0	5	0	498	3954	95	6476	0	40	0	0	10961	343612	10	0	470	0	408	10	0	16	33	546	7	0	71	2	2	2	0	3	4	0	0	0	0	117	3019	19035	7	0	71	26	4	31	0	0	0	29	0	7	756	3987	90136	1676	391286	4	0	0	0	2	2	0	61	2	3831	2	0	1285	4	43824	897	71	0	0	0	0	0	0	0	40	0	0	228	22	26	247	106	1558	29865	113	49	921773	816	31247	0	87	6650	0	0	0	8	3614	0	3	0	367	89	20	0	57	339	0	0	112	820	556	2	35727	431	1471	1140	13	6484	2	3	118320	93488	10210	13830	0	0	988053	3187	0	1179	5069	102	3	77	0	1898	3974	142	0	101	18	459	1428	291	310	249	621418	368	125	299569	9	0	14	0	5459	0	997277	181367	0	0	18	0	0	2	0	0	0	0	781	943	0	76	14	0	0	0	0	72	0	12	0	3	0	0	2	0	0	840	4	2	18	4	21	4	10
006B	0	2	0	0	0	0	0	8	0	0	0	0	33	151	9	114	0	11	0	0	6465	3954	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	29	37	0	7	2	2	42	0	0	0	9	0	0	334	0	0	0	17187	0	0	0	0	0	2	0	1587	173	21968	108	36	742646	1104	3746775	16460	24772	31	29	3	0	7	6	107	2358	69	0	0	0	0	0	0	0	175	0	0	2041	0	244	0	24	85	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	24	0	140	0	6	69	0	0	0	0	13	5833	2	168	0	0	303	4	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	312	0	0	528	0	2	0	0	25	0	1074	1026	0	0	43	0	3	0	0	0	0	0	28	28	0	0	0	0	0	0	0	19	0	6	0	0	0	0	6	0	0	0	0	0	7	2	0	0	0
008A	24	0	0	0	0	0	2	0	0	0	0	0	682	1029	263	2332	0	113	0	0	14504	50022	75	0	0	0	3	26	14	60	42	1044	0	0	29	0	0	0	0	0	0	0	2	0	0	26	895	7034	14	0	13	11	109	30	0	0	0	90	0	0	1519	40	206	7	3288902	0	0	0	2	189	0	0	523	11	33735	44	13	1898	77	4784140	18977	639	2	22	0	0	5	7	28	138	28	0	0	7	0	59	8	6	8067	322	215	421047	1169	136127	0	29	272	0	0	0	0	13021	0	0	0	2	6	2	0	0	23	0	0	33	99	307	0	513	0	118	1155	0	56	0	0	239	481289	941	3524	2	0	3638	312	0	295	2413	33	0	0	0	105	271	0	4	0	0	30	105	0	7	377	211516	8	0	34323	0	4	0	0	12828	0	10294	86577	0	0	75	0	0	0	0	0	0	0	93	387	3	56	2	0	2	0	0	0	0	10	0	6	0	0	12	0	0	0	4	1412	3752	2	2	7	17
008B	2	0	23	0	13	0	0	542	0	0	7	4	8633	325	236	3216	0	0	7	16	1062	5892	42	0	0	0	0	76	166	139	373	412	2	0	2	0	0	2	0	0	0	0	7	0	0	49	3125	4257	52	2	11	0	7	23	0	0	0	54	0	0	7886	0	0	0	2548859	528	0	0	28	7	6	0	11604	1066	86422	324	243	4198976	6246	18879	77952	134799	195	652	41	0	16	3	580	16255	916	3	0	0	0	0	9	3	251	0	0	4588	10	284	0	11	15	0	0	12	0	5	0	0	0	16	0	1083	0	508	0	2	6	6	302	2675	0	16465	21	5809	135	0	5	0	2	10	9228	218	1119	0	4	5894	779	0	1483	57959	2	0	0	0	924	8	0	0	0	8	5	4	3	6	0	422	0	3	47676	0	8	2	0	25	2	389	426	8	0	249	0	9	15	0	3	0	0	2308	1185	17	0	21	6	7	100	11	7	5	4101	4	29	0	5	33	0	0	0	3	3	0	312	1506	60	20
009A	265	0	0	0	0	2	20	0	0	0	0	0	3410	6690	393	17942	0	270	0	0	23419	454727	45	0	0	87	3	20	8	41	29	670	0	0	47	0	0	0	0	0	6	0	2	0	0	365	2191	24693	29	0	9	8	86	26	463	16	9	60	27	0	3457	7797	158	0	1296411	2	0	0	0	32	0	0	393	4	14081	35	7	2080	10	3895707	6297	488	0	22	2	0	11	8	17	60	13	2	10	29	9	761	109	51	11215	140	31	323019	1273	87910	0	49	174	0	0	0	0	655	7	0	0	25	52	11	0	0	49	3	0	182	427	5269	110	53689	159	290	5649	0	163	27	0	2445	572911	1329	8699	13	2	71507	809	0	1242	5060	6	363	59	0	302	1210	62	7	0	145	116	1220	48	714	3	291163	163	0	654090	0	0	0	0	7168	0	1208295	856434	0	0	15	0	16	2	0	3	2	0	1348	8252	3	36	124	0	0	0	0	6	0	2	3	0	0	0	12	0	0	0	0	3001	8078	2	6	5	51
