PC	Acidaminococcus_intestini	Acinetobacter_baumannii	Actinobaculum_massiliae	Actinobaculum_schaalii	Actinomyces_coleocanis	Actinomyces_europaeus	Actinomyces_graevenitzii	Actinomyces_neuii	Actinomyces_sp.	Actinomyces_urogenitalis	Aerococcus_urinae	Aerococcus_viridans	Anaerococcus_hydrogenalis	Anaerococcus_lactolyticus	Anaerococcus_prevotii	Anaerococcus_tetradius	Anaerococcus_vaginalis	Arcanobacterium_sp.	Atopobium_parvulum	Atopobium_rimae	Atopobium_vaginae	BVAB1	Bacillus_cereus	Bacteroides_ovatus	Bacteroides_sp.	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bifidobacterium_animalis	Bifidobacterium_breve	Bifidobacterium_dentium	Bifidobacterium_longum	Clostridiales_Family	Clostridium_botulinum	Clostridium_difficile	Clostridium_sp.	Collinsella_tanakaei	Corynebacterium_amycolatum	Corynebacterium_aurimucosum	Corynebacterium_ciconiae	Corynebacterium_genitalium	Corynebacterium_glucuronolyticum	Corynebacterium_lipophiloflavum	Corynebacterium_pseudogenitalium	Corynebacterium_striatum	Corynebacterium_uterequi	Dialister_invisus	Dialister_micraerophilus	Dialister_microaerophilus	Dorea_formicigenerans	Eggerthella_lenta	Enterococcus_faecalis	Enterococcus_faecium	Eremococcus_coleocola	Escherichia_coli	Eubacterium_saburreum	Eubacterium_siraeum	Eubacterium_sp.	Facklamia_hominis	Faecalibacterium_prausnitzii	Filifactor_alocis	Finegoldia_magna	Fusobacterium_gonidiaformans	Fusobacterium_nucleatum	Fusobacterium_sp.	Gardnerella_vaginalis	Gemella_haemolysans	Granulicatella_adiacens	Granulicatella_elegans	Haemophilus_parainfluenzae	Jonquetella_anthropi	Klebsiella_oxytoca	Lachnospiraceae_bacterium	Lactobacillus_acidophilus	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_helveticus	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_johnsonii	Lactobacillus_kefiranofaciens	Lactobacillus_oris	Lactobacillus_pentosus	Lactobacillus_reuteri	Lactobacillus_ruminis	Lactobacillus_sakei	Lactobacillus_salivarius	Lactobacillus_ultunensis	Lactobacillus_vaginalis	Lactococcus_lactis	Leptotrichia_buccalis	Leptotrichia_goodfellowii	Leptotrichia_hofstadii	Leptotrichia_shahii	Leptotrichia_sp.	Leptotrichia_wadei	Mageeibacillus_indolicus	Megasphaera_cerevisiae	Megasphaera_elsdenii	Megasphaera_genomosp.	Megasphaera_micronuciformis	Megasphaera_sp.	Mesorhizobium_sp.	Mobiluncus_curtisii	Mobiluncus_mulieris	Mycoplasma_canis	Mycoplasma_columbinum	Mycoplasma_fermentans	Mycoplasma_gallinarum	Mycoplasma_hominis	Mycoplasma_imitans	Mycoplasma_primatum	Neisseria_gonorrhoeae	Odoribacter_laneus	Odoribacter_splanchnicus	Oribacterium_sp.	Parabacteroides_sp.	Parvimonas_micra	Parvimonas_sp.	Pasteurella_bettyae	Pasteurella_multocida	Peptoniphilus_asaccharolyticus	Peptoniphilus_duerdenii	Peptoniphilus_harei	Peptoniphilus_indolicus	Peptoniphilus_lacrimalis	Peptoniphilus_sp.	Peptostreptococcus_anaerobius	Peptostreptococcus_sp.	Peptostreptococcus_stomatis	Porphyromonas_asaccharolytica	Porphyromonas_levii	Porphyromonas_somerae	Porphyromonas_uenonis	Prevotella_amnii	Prevotella_bergensis	Prevotella_bivia	Prevotella_bryantii	Prevotella_buccae	Prevotella_buccalis	Prevotella_corporis	Prevotella_dentalis	Prevotella_denticola	Prevotella_disiens	Prevotella_histicola	Prevotella_intermedia	Prevotella_maculosa	Prevotella_marshii	Prevotella_melaninogenica	Prevotella_micans	Prevotella_multiformis	Prevotella_multisaccharivorax	Prevotella_nanceiensis	Prevotella_nigrescens	Prevotella_oralis	Prevotella_oris	Prevotella_oulorum	Prevotella_pallens	Prevotella_salivae	Prevotella_sp.	Prevotella_stercorea	Prevotella_tannerae	Prevotella_timonensis	Prevotella_veroralis	Propionibacterium_sp.	Propionimicrobium_lymphophilum	Proteus_mirabilis	Ruminococcus_lactaris	Salmonella_enterica	Sneathia_amnii	Sneathia_sanguinegens	Solobacterium_moorei	Sphingobacterium_spiritivorum	Staphylococcus_aureus	Staphylococcus_caprae	Staphylococcus_epidermidis	Staphylococcus_haemolyticus	Staphylococcus_hominis	Staphylococcus_lugdunensis	Staphylococcus_simulans	Streptobacillus_moniliformis	Streptococcus_agalactiae	Streptococcus_anginosus	Streptococcus_bovis	Streptococcus_constellatus	Streptococcus_dysgalactiae	Streptococcus_ictaluri	Streptococcus_macacae	Streptococcus_mitis	Streptococcus_parasanguinis	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_pseudoporcinus	Streptococcus_pyogenes	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp.	Streptococcus_urinalis	Streptococcus_vestibularis	Sutterella_parvirubra	Tannerella_forsythensis	Treponema_phagedenis	Ureaplasma_parvum	Ureaplasma_urealyticum	Veillonella_atypica	Veillonella_parvula	Veillonella_ratti	Veillonella_sp.
001A	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	38	0	2	0	0	1010	223	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	22	68	0	0	5	2	1	14	0	0	0	0	0	3	4	0	5	0	9822	0	0	1	0	0	2	0	29	1123	757	14	9	2901	39	1256	354	414	1	9	1	0	3	0	5	31	11	1	0	0	0	0	0	1	9	0	0	344	1	56	0	0	1	0	0	1	0	27	0	0	0	0	0	0	0	0	1	2	0	1	1	4	0	3	0	5	1	0	1	0	0	5	659	0	114	0	0	92	2	0	0	15	0	0	0	0	0	3	0	0	0	0	2	0	0	1	0	63	0	0	109	0	2	1	0	9	0	115	99	0	0	64	1	1	1	0	0	0	0	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	203	192	2	0	0	0
001B	0	0	0	0	0	0	0	1	0	0	2	0	4	575	6	257	0	1	0	0	13	297	1	0	0	0	0	0	1	0	7	135	5	0	0	0	1	0	0	1	0	0	0	0	0	2	14	14	0	0	3	2	1	51	0	0	0	10	0	0	52	1	1	0	1903	0	0	0	1	0	4	0	146	19	3636	28	4	534	150	1465	2410	50	1	4	2	1	1	1	3	150	129	1	1	0	0	0	0	0	10	1	0	511	3	71	0	4	2	1	0	1	1	2	0	0	0	0	0	3	0	0	0	0	0	2	282	332	0	97	0	1	5	0	21	0	0	62	886	18	161	0	1	247	9	0	2	292	2	0	0	0	3	2	0	0	0	1	2	1	1	2	0	437	0	0	591	0	6	1	1	5	0	157	173	0	0	5	0	0	1	0	1	0	0	16	50	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	11	1	1	0
002B	0	0	0	0	0	1	0	0	1	0	0	0	136	29	9	26	0	2	0	0	27	184	1	0	0	0	0	0	0	1	0	304	0	1	3	0	0	1	0	0	1	0	0	1	0	0	13	16	1	0	6	6	2	13	0	0	0	8	0	1	36	0	5	0	3212	0	0	0	0	0	2	0	62	815	3256	15	5	315	71	3421	2029	36	0	4	1	0	2	1	3	81	33	0	0	0	0	0	0	1	27	0	0	306	0	58	0	2	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	208	86	0	41	2	28	2	1	7	0	0	33	596	2	351	0	0	121	10	1	4	535	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	103	0	0	369	0	2	0	0	4	0	83	87	0	0	3	0	1	2	0	0	0	0	7	4	0	0	0	0	1	0	0	2	0	3	0	0	0	0	1	0	0	0	0	143	161	2	0	0	0
003A	1	1	1	7	0	0	0	7	0	0	1	0	9	8	3	16	0	4	0	0	54	152	1	0	0	0	0	2	10	4	5	13	0	1	3	0	0	0	0	0	1	0	0	0	0	2	90	156	1	0	4	2	2	12	0	0	0	5	1	0	58	0	4	1	8328	0	0	0	0	2	0	0	22	4	1416	8	2	250	17	3311	2066	27	1	2	0	0	2	2	3	22	18	0	0	0	0	0	0	0	56	6	4	957	3	223	1	3	2	1	1	0	1	3	0	0	0	1	1	1	0	0	0	0	0	4	6	8	1	17	1	8	16	0	1	0	0	7	524	5	1785	0	0	122	16	1	8	59	0	0	2	1	4	1	0	0	0	0	15	6	3	1	0	218	0	0	641	0	1	0	0	5	0	94	60	0	1	14	0	1	0	0	0	0	0	8	13	1	0	1	0	0	0	0	3	0	3	0	0	0	0	3	0	0	0	1	20	42	2	0	2	1
004B	1	1	0	0	0	0	0	1	0	0	0	0	20	24	4	10	0	2	0	0	22	214	1	0	0	0	0	0	0	0	0	22	0	1	0	0	0	0	1	0	0	0	0	0	0	0	10	8	1	0	4	6	0	17	0	0	0	12	0	3	66	1	2	0	1347	0	0	0	0	0	0	0	31	32	699	17	6	2213	30	3052	2786	172	1	10	1	0	2	3	4	25	315	0	0	0	0	0	0	1	23	0	0	360	0	52	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	15	84	0	11	1	2	1	0	0	0	0	6	612	0	77	0	0	108	6	0	1	5	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	85	0	0	173	0	1	0	0	7	0	105	97	0	0	11	0	1	0	0	0	0	0	9	1	1	0	1	0	0	0	0	4	0	1	0	2	0	0	1	0	0	0	1	0	0	3	2	0	0
006A	2	0	0	0	1	0	5	0	2	0	2	0	78	495	12	527	0	16	0	0	1100	1166	1	0	1	0	9	2	0	2	2	85	1	0	5	1	1	1	0	1	1	0	0	0	0	5	78	209	2	0	2	5	1	15	0	0	0	3	0	1	64	15	1161	15	8570	2	0	0	0	1	1	0	5	1	566	1	0	284	1	1890	231	14	0	0	0	0	0	0	0	5	0	0	3	4	5	7	8	11	1440	8	6	2262	25	238	0	6	784	0	0	0	1	297	0	1	0	1	6	3	0	3	12	0	0	17	44	66	1	1195	15	203	24	2	430	1	1	1952	1232	66	252	0	0	3010	137	0	64	121	2	1	3	0	29	9	5	0	3	1	21	25	8	11	2	1788	11	8	2621	1	0	2	0	182	0	1080	1052	0	0	8	0	0	1	0	0	0	0	14	16	0	2	1	0	0	0	0	9	0	4	0	1	0	0	1	0	0	3	1	1	7	2	1	1	1
006B	0	1	0	0	0	0	0	4	0	0	0	0	14	8	2	5	0	3	0	0	23	254	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	1	0	2	1	1	20	0	0	0	4	0	0	7	0	0	0	1223	0	0	0	0	0	1	0	24	1	591	9	3	2535	21	3077	275	216	1	1	1	0	2	1	5	15	2	0	0	0	0	0	0	0	14	0	0	370	0	58	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	0	13	0	2	3	0	0	0	0	6	742	1	50	0	0	104	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	86	0	0	156	0	1	0	0	9	0	234	211	0	0	17	0	1	0	0	0	0	0	8	2	0	0	0	0	0	0	0	5	0	2	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0
008A	3	0	0	0	0	0	1	0	0	0	0	0	44	26	12	304	0	35	0	0	1057	1043	1	0	0	0	1	3	4	10	4	137	0	0	3	0	0	0	0	0	0	0	1	0	0	5	55	164	1	0	2	4	3	14	0	0	0	4	0	0	67	4	61	2	16096	0	0	0	1	3	0	0	24	3	1715	3	1	279	14	3503	1097	31	1	2	0	0	2	2	3	20	7	0	0	1	0	1	1	2	220	10	6	951	67	262	0	3	7	0	0	0	0	524	0	0	0	1	1	1	0	0	4	0	0	5	14	33	0	67	0	13	10	0	10	0	0	75	2186	20	151	1	0	486	33	0	17	333	3	0	0	0	7	7	0	1	0	0	5	3	0	3	8	1540	2	0	1721	0	2	0	0	214	0	712	1001	0	0	29	0	0	0	0	0	0	0	9	10	1	1	1	0	1	0	0	0	0	3	0	1	0	0	2	0	0	0	1	156	169	1	1	2	2
008B	1	0	8	0	1	0	0	134	0	0	2	1	338	40	20	88	0	0	3	1	39	235	1	0	0	0	0	11	23	26	35	41	1	0	1	0	0	1	0	0	0	0	3	0	0	5	81	127	1	1	1	0	2	11	0	0	0	16	0	0	743	0	0	0	9703	90	0	0	8	1	2	0	34	21	1642	15	11	2877	47	1201	490	337	1	35	4	0	3	1	7	41	55	1	0	0	0	0	2	1	18	0	0	343	3	62	0	3	2	0	0	1	0	2	0	0	0	1	0	3	0	1	0	1	1	2	26	386	0	880	5	565	13	0	1	0	1	4	674	22	123	0	1	547	53	0	45	1491	1	0	0	0	50	2	0	0	0	1	2	2	1	1	0	105	0	1	1675	0	4	1	0	9	1	109	97	2	0	72	0	4	5	0	1	0	0	392	247	4	0	8	2	2	20	3	1	1	12	2	10	0	1	11	0	0	0	1	1	0	103	317	2	2
009A	1	0	0	0	0	1	6	0	0	0	0	0	434	637	35	1086	0	81	0	0	1782	1175	1	0	0	6	1	2	3	4	2	66	0	0	5	0	0	0	0	0	2	0	1	0	0	15	82	238	4	0	4	2	2	12	1	5	2	9	1	0	354	14	21	0	14646	1	0	0	0	3	0	0	7	1	542	3	1	367	3	3499	227	22	0	2	1	0	2	1	4	7	2	1	1	2	3	3	8	4	434	5	3	2177	70	273	0	6	28	0	0	0	0	119	1	0	0	1	4	3	0	0	5	1	0	11	54	553	4	1255	6	17	20	0	24	3	0	396	2243	40	250	1	1	2364	54	0	39	500	2	6	1	0	11	9	6	1	0	1	11	10	6	16	1	1624	12	0	3213	0	0	0	0	188	0	1071	1091	0	0	7	0	8	1	0	1	1	0	12	64	1	2	1	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	195	204	1	3	2	1
