PC	Acidaminococcus_intestini	Acinetobacter_baumannii	Actinobaculum_massiliae	Actinobaculum_schaalii	Actinomyces_coleocanis	Actinomyces_europaeus	Actinomyces_graevenitzii	Actinomyces_neuii	Actinomyces_sp.	Actinomyces_urogenitalis	Aerococcus_urinae	Aerococcus_viridans	Anaerococcus_hydrogenalis	Anaerococcus_lactolyticus	Anaerococcus_prevotii	Anaerococcus_tetradius	Anaerococcus_vaginalis	Arcanobacterium_sp.	Atopobium_parvulum	Atopobium_rimae	Atopobium_vaginae	BVAB1	Bacillus_cereus	Bacteroides_ovatus	Bacteroides_sp.	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bifidobacterium_animalis	Bifidobacterium_breve	Bifidobacterium_dentium	Bifidobacterium_longum	Clostridiales_Family	Clostridium_botulinum	Clostridium_difficile	Clostridium_sp.	Collinsella_tanakaei	Corynebacterium_amycolatum	Corynebacterium_aurimucosum	Corynebacterium_ciconiae	Corynebacterium_genitalium	Corynebacterium_glucuronolyticum	Corynebacterium_lipophiloflavum	Corynebacterium_pseudogenitalium	Corynebacterium_striatum	Corynebacterium_uterequi	Dialister_invisus	Dialister_micraerophilus	Dialister_microaerophilus	Dorea_formicigenerans	Eggerthella_lenta	Enterococcus_faecalis	Enterococcus_faecium	Eremococcus_coleocola	Escherichia_coli	Eubacterium_saburreum	Eubacterium_siraeum	Eubacterium_sp.	Facklamia_hominis	Faecalibacterium_prausnitzii	Filifactor_alocis	Finegoldia_magna	Fusobacterium_gonidiaformans	Fusobacterium_nucleatum	Fusobacterium_sp.	Gardnerella_vaginalis	Gemella_haemolysans	Granulicatella_adiacens	Granulicatella_elegans	Haemophilus_parainfluenzae	Jonquetella_anthropi	Klebsiella_oxytoca	Lachnospiraceae_bacterium	Lactobacillus_acidophilus	Lactobacillus_coleohominis	Lactobacillus_crispatus	Lactobacillus_delbrueckii	Lactobacillus_fermentum	Lactobacillus_gasseri	Lactobacillus_helveticus	Lactobacillus_iners	Lactobacillus_jensenii	Lactobacillus_johnsonii	Lactobacillus_kefiranofaciens	Lactobacillus_oris	Lactobacillus_pentosus	Lactobacillus_reuteri	Lactobacillus_ruminis	Lactobacillus_sakei	Lactobacillus_salivarius	Lactobacillus_ultunensis	Lactobacillus_vaginalis	Lactococcus_lactis	Leptotrichia_buccalis	Leptotrichia_goodfellowii	Leptotrichia_hofstadii	Leptotrichia_shahii	Leptotrichia_sp.	Leptotrichia_wadei	Mageeibacillus_indolicus	Megasphaera_cerevisiae	Megasphaera_elsdenii	Megasphaera_genomosp.	Megasphaera_micronuciformis	Megasphaera_sp.	Mesorhizobium_sp.	Mobiluncus_curtisii	Mobiluncus_mulieris	Mycoplasma_canis	Mycoplasma_columbinum	Mycoplasma_fermentans	Mycoplasma_gallinarum	Mycoplasma_hominis	Mycoplasma_imitans	Mycoplasma_primatum	Neisseria_gonorrhoeae	Odoribacter_laneus	Odoribacter_splanchnicus	Oribacterium_sp.	Parabacteroides_sp.	Parvimonas_micra	Parvimonas_sp.	Pasteurella_bettyae	Pasteurella_multocida	Peptoniphilus_asaccharolyticus	Peptoniphilus_duerdenii	Peptoniphilus_harei	Peptoniphilus_indolicus	Peptoniphilus_lacrimalis	Peptoniphilus_sp.	Peptostreptococcus_anaerobius	Peptostreptococcus_sp.	Peptostreptococcus_stomatis	Porphyromonas_asaccharolytica	Porphyromonas_levii	Porphyromonas_somerae	Porphyromonas_uenonis	Prevotella_amnii	Prevotella_bergensis	Prevotella_bivia	Prevotella_bryantii	Prevotella_buccae	Prevotella_buccalis	Prevotella_corporis	Prevotella_dentalis	Prevotella_denticola	Prevotella_disiens	Prevotella_histicola	Prevotella_intermedia	Prevotella_maculosa	Prevotella_marshii	Prevotella_melaninogenica	Prevotella_micans	Prevotella_multiformis	Prevotella_multisaccharivorax	Prevotella_nanceiensis	Prevotella_nigrescens	Prevotella_oralis	Prevotella_oris	Prevotella_oulorum	Prevotella_pallens	Prevotella_salivae	Prevotella_sp.	Prevotella_stercorea	Prevotella_tannerae	Prevotella_timonensis	Prevotella_veroralis	Propionibacterium_sp.	Propionimicrobium_lymphophilum	Proteus_mirabilis	Ruminococcus_lactaris	Salmonella_enterica	Sneathia_amnii	Sneathia_sanguinegens	Solobacterium_moorei	Sphingobacterium_spiritivorum	Staphylococcus_aureus	Staphylococcus_caprae	Staphylococcus_epidermidis	Staphylococcus_haemolyticus	Staphylococcus_hominis	Staphylococcus_lugdunensis	Staphylococcus_simulans	Streptobacillus_moniliformis	Streptococcus_agalactiae	Streptococcus_anginosus	Streptococcus_bovis	Streptococcus_constellatus	Streptococcus_dysgalactiae	Streptococcus_ictaluri	Streptococcus_macacae	Streptococcus_mitis	Streptococcus_parasanguinis	Streptococcus_pneumoniae	Streptococcus_pseudopneumoniae	Streptococcus_pseudoporcinus	Streptococcus_pyogenes	Streptococcus_salivarius	Streptococcus_sanguinis	Streptococcus_sp.	Streptococcus_urinalis	Streptococcus_vestibularis	Sutterella_parvirubra	Tannerella_forsythensis	Treponema_phagedenis	Ureaplasma_parvum	Ureaplasma_urealyticum	Veillonella_atypica	Veillonella_parvula	Veillonella_ratti	Veillonella_sp.
001A	0	0	0	0	0	0	0	2.93077e-05	0	0	0	5.86153e-05	0	5.86153e-05	0	0.0026963	0	0.000131884	0	0	0.128617	0.0253951	0.00104042	0	0	0	0	4.39615e-05	4.39615e-05	0	2.93077e-05	0	0	0	4.39615e-05	0	0	0	0	0	0	0	2.93077e-05	0	0	0	0.00215411	0.00732692	0	0	0.000249115	0.000175846	8.7923e-05	0.000410307	0	0	0	0	0	0.000278423	0.0001905	0	0.000146538	0	3.44633	0	0	4.39615e-05	0	0	5.86153e-05	0	0.147491	0.513749	1.99346	0.00716572	0.00439615	87.8638	0.0876153	0.289589	2.37396	2.58057	0.001143	0.00148004	0.000234461	0	0.000249115	0	0.012148	0.246741	0.00521676	2.93077e-05	0	0	0	0	0	2.93077e-05	0.000644769	0	0	0.0294982	2.93077e-05	0.00398584	0	0	4.39615e-05	0	0	0.0001905	0	0.00145073	0	0	0	0	0	0	0	0	2.93077e-05	0.000205154	0	2.93077e-05	5.86153e-05	0.000410307	0	0.000117231	0	0.000161192	0.00102577	0	2.93077e-05	0	0	0.000146538	0.0782368	0	0.00693126	0	0	0.00446942	7.32692e-05	0	0	0.000556846	0	0	0	0	0	0.000102577	0	0	0	0	7.32692e-05	0	0	2.93077e-05	0	0.003429	0	0	0.00531934	0	7.32692e-05	2.93077e-05	0	0.000381	0	0.00594946	0.00542192	0	0	0.00290146	2.93077e-05	2.93077e-05	2.93077e-05	0	0	0	0	0.000556846	0	0	0	0	0	0	0	0	8.7923e-05	0	0	0	0	0	0	0	0	2.93077e-05	0	0	0.0336745	0.0687558	5.86153e-05	0	0	0
001B	0	0	0	0	0	0	0	1.6848e-05	0	0	3.3696e-05	0	9.26641e-05	0.0420611	0.000227448	0.0114735	0	1.6848e-05	0	0	0.000817129	0.0191394	0.000353809	0	0	0	0	0	2.5272e-05	0	0.000219024	0.00458266	0.000379081	0	0	0	3.3696e-05	0	0	5.89681e-05	0	0	0	0	0	6.73921e-05	0.000935065	0.00138996	0	0	7.58161e-05	0.000269568	2.5272e-05	0.000884521	0	0	0	0.0002106	0	0	0.00149947	1.6848e-05	1.6848e-05	0	0.0926641	0	0	0	2.5272e-05	0	0.000160056	0	0.74812	0.0307813	93.0591	0.0319102	0.000463321	0.0802387	0.328376	0.377657	4.42367	0.0687652	0.00106143	0.000143208	8.42401e-05	1.6848e-05	4.21201e-05	5.05441e-05	0.000438049	0.419491	0.00795227	2.5272e-05	6.73921e-05	0	0	0	0	0	0.000277992	1.6848e-05	0	0.0288607	5.89681e-05	0.0036139	0	0.000101088	0.000134784	0.000808705	0	0.00025272	0.00233345	6.73921e-05	0	0	0	0	0	0.000117936	0	0	0	0	0	6.73921e-05	0.0124086	0.0131667	0	0.00297368	0	5.05441e-05	0.000117936	0	0.000497017	0	0	0.00163426	0.0815023	0.000926641	0.00620007	0	2.5272e-05	0.00799439	0.000648649	0	0.00016848	0.0112629	5.05441e-05	0	0	0	7.58161e-05	6.73921e-05	0	0	0	3.3696e-05	8.42401e-05	2.5272e-05	3.3696e-05	3.3696e-05	0	0.0237389	0	0	0.0286838	0	0.000101088	3.3696e-05	7.58161e-05	0.000202176	0	0.00543349	0.00646122	0	0	0.000109512	0	0	4.21201e-05	0	4.21201e-05	0	0	0.000513865	0.00119621	0	0	4.21201e-05	0	0	0	0	5.05441e-05	0	1.6848e-05	0	0	0	0	0	0	0	0	0	2.5272e-05	1.6848e-05	0.000219024	1.6848e-05	2.5272e-05	0
002B	0	0	0	0	0	2.81777e-05	0	0	8.45331e-05	0	0	0	0.00920002	0.00135253	0.00342359	0.00781932	0	0.000140889	0	0	0.108132	0.09703	0.000253599	0	0	0	0	0	0	4.22666e-05	0	0.0297838	0	2.81777e-05	0.000788976	0	0	2.81777e-05	0	0	2.81777e-05	0	0	2.81777e-05	0	0	0.00412804	0.00150751	0.000577643	0	0.00194426	0.00061991	0.00185973	0.00036631	0	0	0	0.00135253	0	2.81777e-05	0.00469159	0	0.000169066	0	0.469877	0	0	0	0	0	8.45331e-05	0	0.0456056	0.122545	7.96185	0.00311364	0.000464932	0.0389275	0.0323762	88.8421	1.82835	0.0149201	0	0.000662176	2.81777e-05	0	0.000197244	0.000112711	0.000324044	0.0439431	0.00159204	0	0	0	0	0	0	2.81777e-05	0.0034095	0	0	0.0434219	0	0.00322635	0	0.000309955	0.00232466	0.000352221	8.45331e-05	0	0.000958042	0	0	0	0	2.81777e-05	0	0	0	0	0	0	0	0	0.0127222	0.00667812	0	0.00257826	7.04443e-05	0.00439572	0.000803065	4.22666e-05	0.000197244	0	0	0.00102849	0.0651469	0.000169066	0.0230071	0	0	0.00557919	0.000633999	2.81777e-05	0.000169066	0.045817	4.22666e-05	0	0	0	5.63554e-05	0	0	0	0	0	0	0	0	0	0	0.00474794	0	0	0.0220491	0	5.63554e-05	0	0	0.000140889	0	0.0044239	0.00572008	0	0	9.8622e-05	0	4.22666e-05	5.63554e-05	0	0	0	0	0.000633999	0.000591732	0	0	0	0	2.81777e-05	0	0	8.45331e-05	0	0.000267688	0	0	0	0	4.22666e-05	0	0	0	0	0.0173575	0.03773	5.63554e-05	0	0	0
003A	0.00408772	4.82042e-05	1.92817e-05	0.000173535	0	0	0	0.000173535	0	0	2.89225e-05	0	0.000472401	0.000935161	0.00445407	0.0132176	0	0.000134972	0	0	0.136958	0.0754878	0.000414556	0	0	0	0	0.000183176	0.000221739	0.000289225	0.000414556	0.00997827	0	2.89225e-05	0.000318148	0	0	0	0	0	2.89225e-05	0	0	0	0	6.74859e-05	0.0505083	0.0506048	0.000510964	0	0.00149433	0.000250662	0.00197637	0.00023138	0	0	0	0.0012051	0.000780908	0	0.00590983	0	8.67675e-05	1.92817e-05	20.0698	0	0	0	0	7.71267e-05	0	0	0.0106338	0.00122439	0.344833	0.000742344	0.000250662	0.0204771	0.000877316	71.7124	1.37748	0.00751985	4.82042e-05	0.000375993	0	0	0.000125331	0.000106049	0.000289225	0.00152325	0.00057845	0	0	0	0	0	0	0	0.0164473	0.00107013	0.000289225	2.60121	0.000472401	0.334373	0.000183176	0.000192817	0.00251626	0.000221739	3.85633e-05	0	0.000780908	0.000163894	0	0	0	1.92817e-05	0.000106049	0.000125331	0	0	0	0	0	0.000684499	0.000588091	0.00461796	0.000106049	0.0018414	0.00011569	0.00619906	0.0197444	0	9.64084e-05	0	0	0.000144613	0.0444346	0.000144613	2.93	0	0	0.00474329	0.0011087	1.92817e-05	0.000559169	0.0207374	0	0	9.64084e-05	1.92817e-05	0.000539887	2.89225e-05	0	0	0	0	0.015165	0.000443479	0.000337429	4.82042e-05	0	0.00883101	0	0	0.0504987	0	1.92817e-05	0	0	0.000144613	0	0.00429017	0.00241985	0	1.92817e-05	0.000308507	0	5.7845e-05	0	0	0	0	0	0.0016293	0.00361531	6.74859e-05	0	0.00234272	0	0	0	0	0.000106049	0	0.000106049	0	0	0	0	0.00046276	0	0	0	1.92817e-05	0.000501324	0.00186068	3.85633e-05	0	0.000684499	7.71267e-05
004B	2.17623e-05	3.26435e-05	0	0	0	0	0	0.000250267	0	0	0	0	0.00189332	0.000772563	0.000141455	0.00134926	0	6.5287e-05	0	0	0.0914018	0.1062	0.000565821	0	0	0	0	0	0	0	0	0.000816087	0	7.61682e-05	0	0	0	0	2.17623e-05	0	0	0	0	0	0	0	0.000533177	0.000631108	0.00065287	0	0.00137103	0.00255707	0	0.000380841	0	0	0	0.000402603	0	0.000174099	0.00391722	2.17623e-05	4.35247e-05	0	0.146254	0	0	0	0	0	0	0	0.0390851	0.00532089	0.459337	0.00310113	0.000620226	2.89475	0.00796501	75.3341	20.5443	0.0963201	0.000718157	0.00102283	2.17623e-05	0	0.000141455	0.000293791	0.000457009	0.0115776	0.0567235	0	0	0	0	0	0	2.17623e-05	0.00723597	0	0	0.0251464	0	0.0026006	0	0.000250267	0.0056038	0.003754	2.17623e-05	0	0.0103915	2.17623e-05	0	0	0	0	0	0	0	0	0	0	2.17623e-05	0	0.000729038	0.00262236	0	0.000903137	5.44058e-05	0.00397162	0.000348197	0	0	0	0	0.000174099	0.0527954	0	0.00302496	0	0	0.00400427	0.000152336	0	2.17623e-05	0.000119693	5.44058e-05	0	0	0	0	6.5287e-05	0	0	0	0	3.26435e-05	0	0	2.17623e-05	0	0.00323171	0	0	0.0065831	0	2.17623e-05	0	0	0.000228504	0	0.00405867	0.00343845	0	0	0.000261148	0	2.17623e-05	0	0	0	0	0	0.0028291	0.000315554	8.70493e-05	0	0.000119693	0	0	0	0	0.0378229	0	5.44058e-05	0	6.5287e-05	0	0	0.000174099	0	0	0	2.17623e-05	0	0	8.70493e-05	4.35247e-05	0	0
006A	0.00315641	0	0	0	7.51525e-05	0	0.000432127	0	0.000206669	0	9.39407e-05	0	0.00935649	0.0742883	0.00178487	0.121672	0	0.000751525	0	0	0.205937	6.45583	0.000187881	0	0.00883042	0	0.00766556	0.000187881	0	0.00030061	0.000620008	0.0102583	0.000131517	0	0.00133396	3.75763e-05	3.75763e-05	3.75763e-05	0	5.63644e-05	7.51525e-05	0	0	0	0	0.00219821	0.0567214	0.357632	0.000131517	0	0.00133396	0.000488492	7.51525e-05	0.000582432	0	0	0	0.000544856	0	0.000131517	0.0142038	0.0749083	1.69349	0.0314889	7.35153	7.51525e-05	0	0	0	3.75763e-05	3.75763e-05	0	0.00114608	3.75763e-05	0.0719773	3.75763e-05	0	0.0241428	7.51525e-05	0.823371	0.016853	0.00133396	0	0	0	0	0	0	0	0.000751525	0	0	0.00428369	0.000413339	0.000488492	0.00464067	0.00199154	0.0292719	0.561108	0.00212306	0.000920619	17.3184	0.0153311	0.587073	0	0.00163457	0.124941	0	0	0	0.000150305	0.0679003	0	5.63644e-05	0	0.00689525	0.00167214	0.000375763	0	0.00107092	0.00636918	0	0	0.00210427	0.0154063	0.0104462	3.75763e-05	0.671244	0.00809769	0.0276373	0.0214185	0.000244246	0.121822	3.75763e-05	5.63644e-05	2.22301	1.75647	0.191827	0.25984	0	0	18.5637	0.0598778	0	0.0221512	0.0952371	0.00191639	5.63644e-05	0.00144669	0	0.0356599	0.074664	0.00266792	0	0.0018976	0.000338186	0.00862375	0.0268295	0.00546735	0.00582432	0.00467825	11.6753	0.00691403	0.00234852	5.62834	0.000169093	0	0.000263034	0	0.102564	0	18.737	3.40755	0	0	0.000338186	0	0	3.75763e-05	0	0	0	0	0.0146735	0.0177172	0	0.0014279	0.000263034	0	0	0	0	0.00135275	0	0.000225458	0	5.63644e-05	0	0	3.75763e-05	0	0	0.015782	7.51525e-05	3.75763e-05	0.000338186	7.51525e-05	0.000394551	7.51525e-05	0.000187881
006B	0	4.34883e-05	0	0	0	0	0	0.000173953	0	0	0	0	0.000717557	0.00328337	0.000195697	0.00247883	0	0.000239186	0	0	0.140576	0.0859764	0.000217442	0	0	0	0	0	0	0	4.34883e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000456627	0.00063058	0.000804534	0	0.000152209	4.34883e-05	4.34883e-05	0.000913254	0	0	0	0.000195697	0	0	0.00726255	0	0	0	0.373717	0	0	0	0	0	4.34883e-05	0	0.034508	0.00376174	0.477675	0.00234837	0.000782789	16.1482	0.0240055	81.4704	0.357909	0.538646	0.000674069	0.00063058	6.52325e-05	0	0.000152209	0.000130465	0.00232662	0.0512727	0.00150035	0	0	0	0	0	0	0	0.00380523	0	0	0.0443798	0	0.00530557	0	0.00052186	0.00184825	0	0	4.34883e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000391395	0.00052186	0	0.00304418	0	0.000130465	0.00150035	0	0	0	0	0.000282674	0.126834	4.34883e-05	0.00365302	0	0	0.00658848	8.69766e-05	0	4.34883e-05	8.69766e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	4.34883e-05	0	0.00678417	0	0	0.0114809	0	4.34883e-05	0	0	0.000543604	0	0.0233532	0.0223095	0	0	0.000934998	0	6.52325e-05	0	0	0	0	0	0.000608836	0.000608836	0	0	0	0	0	0	0	0.000413139	0	0.000130465	0	0	0	0	0.000130465	0	0	0	0	0	0.000152209	4.34883e-05	0	0	0
008A	0.000248775	0	0	0	0	0	2.07312e-05	0	0	0	0	0	0.00706935	0.0106662	0.00272616	0.0241726	0	0.00117131	0	0	0.150343	0.518509	0.000777421	0	0	0	3.10968e-05	0.000269506	0.000145119	0.000621937	0.000435356	0.0108217	0	0	0.000300603	0	0	0	0	0	0	0	2.07312e-05	0	0	0.000269506	0.00927723	0.0729117	0.000145119	0	0.000134753	0.000114022	0.00112985	0.000310968	0	0	0	0.000932905	0	0	0.0157454	0.000414625	0.00213532	7.25593e-05	34.0915	0	0	0	2.07312e-05	0.0019591	0	0	0.00542122	0.000114022	0.349684	0.000456087	0.000134753	0.0196739	0.000798152	49.5906	0.196708	0.00662363	2.07312e-05	0.000228044	0	0	5.18281e-05	7.25593e-05	0.000290237	0.00143046	0.000290237	0	0	7.25593e-05	0	0.000611571	8.29249e-05	6.21937e-05	0.0836194	0.00333773	0.00222861	4.36441	0.0121174	1.41104	0	0.000300603	0.00281945	0	0	0	0	0.134971	0	0	0	2.07312e-05	6.21937e-05	2.07312e-05	0	0	0.000238409	0	0	0.000342065	0.0010262	0.00318224	0	0.00531756	0	0.00122314	0.0119723	0	0.000580474	0	0	0.00247738	4.98886	0.00975404	0.0365284	2.07312e-05	0	0.0377101	0.00323407	0	0.00305786	0.0250122	0.000342065	0	0	0	0.00108839	0.00280908	0	4.14625e-05	0	0	0.000310968	0.00108839	0	7.25593e-05	0.00390784	2.19249	8.29249e-05	0	0.355779	0	4.14625e-05	0	0	0.13297	0	0.106704	0.897424	0	0	0.000777421	0	0	0	0	0	0	0	0.000964002	0.00401149	3.10968e-05	0.000580474	2.07312e-05	0	2.07312e-05	0	0	0	0	0.000103656	0	6.21937e-05	0	0	0.000124387	0	0	0	4.14625e-05	0.0146362	0.0388918	2.07312e-05	2.07312e-05	7.25593e-05	0.000176215
008B	2.73593e-05	0	0.000314632	0	0.000177836	0	0	0.00741438	0	0	9.57576e-05	5.47186e-05	0.118097	0.00444589	0.0032284	0.0439938	0	0	9.57576e-05	0.000218875	0.0145278	0.0806006	0.000574546	0	0	0	0	0.00103965	0.00227082	0.00190147	0.00510251	0.00563602	2.73593e-05	0	2.73593e-05	0	0	2.73593e-05	0	0	0	0	9.57576e-05	0	0	0.000670303	0.0427489	0.0582343	0.000711342	2.73593e-05	0.000150476	0	9.57576e-05	0.000314632	0	0	0	0.000738702	0	0	0.107878	0	0	0	34.8675	0.00722286	0	0	0.000383031	9.57576e-05	8.2078e-05	0	0.158739	0.0145825	1.18222	0.00443221	0.00332416	57.4406	0.0854432	0.258258	1.06636	1.844	0.00266753	0.00891914	0.000560866	0	0.000218875	4.1039e-05	0.0079342	0.222363	0.0125306	4.1039e-05	0	0	0	0	0.000123117	4.1039e-05	0.0034336	0	0	0.0627623	0.000136797	0.00388502	0	0.000150476	0.000205195	0	0	0.000164156	0	6.83983e-05	0	0	0	0.000218875	0	0.0148151	0	0.00694927	0	2.73593e-05	8.2078e-05	8.2078e-05	0.00413126	0.0365931	0	0.225236	0.000287273	0.0794652	0.00184675	0	6.83983e-05	0	2.73593e-05	0.000136797	0.126236	0.00298217	0.0153075	0	5.47186e-05	0.0806279	0.0106565	0	0.0202869	0.79286	2.73593e-05	0	0	0	0.01264	0.000109437	0	0	0	0.000109437	6.83983e-05	5.47186e-05	4.1039e-05	8.2078e-05	0	0.00577282	0	4.1039e-05	0.652192	0	0.000109437	2.73593e-05	0	0.000341992	2.73593e-05	0.00532139	0.00582754	0.000109437	0	0.00340624	0	0.000123117	0.000205195	0	4.1039e-05	0	0	0.0315727	0.0162104	0.000232554	0	0.000287273	8.2078e-05	9.57576e-05	0.00136797	0.000150476	9.57576e-05	6.83983e-05	0.0561003	5.47186e-05	0.00039671	0	6.83983e-05	0.000451429	0	0	0	4.1039e-05	4.1039e-05	0	0.00426805	0.0206016	0.00082078	0.000273593
009A	0.0026603	0	0	0	0	2.00778e-05	0.000200778	0	0	0	0	0	0.0342326	0.0671601	0.00394528	0.180118	0	0.0027105	0	0	0.235101	4.56495	0.00045175	0	0	0.000873383	3.01166e-05	0.000200778	8.0311e-05	0.000411594	0.000291128	0.00672605	0	0	0.000471827	0	0	0	0	0	6.02333e-05	0	2.00778e-05	0	0	0.00366419	0.0219952	0.24789	0.000291128	0	9.03499e-05	8.0311e-05	0.000863344	0.000261011	0.004648	0.000160622	9.03499e-05	0.000602333	0.00027105	0	0.0347044	0.0782731	0.00158614	0	13.0145	2.00778e-05	0	0	0	0.000321244	0	0	0.00394528	4.01555e-05	0.141357	0.000351361	7.02722e-05	0.0208809	0.000100389	39.1085	0.0632148	0.00489897	0	0.000220855	2.00778e-05	0	0.000110428	8.0311e-05	0.000170661	0.000602333	0.000130505	2.00778e-05	0.000100389	0.000291128	9.03499e-05	0.00763959	0.00109424	0.000511983	0.112586	0.00140544	0.000311205	3.24275	0.0127795	0.882518	0	0.000491905	0.00174677	0	0	0	0	0.00657547	7.02722e-05	0	0	0.000250972	0.000522022	0.000110428	0	0	0.000491905	3.01166e-05	0	0.00182708	0.0042866	0.0528949	0.00110428	0.538977	0.00159618	0.00291128	0.0567096	0	0.00163634	0.00027105	0	0.0245451	5.75138	0.0133417	0.0873282	0.000130505	2.00778e-05	0.71785	0.00812145	0	0.0124683	0.0507967	6.02333e-05	0.00364411	0.000592294	0	0.00303174	0.012147	0.000622411	7.02722e-05	0	0.00145564	0.00116451	0.0122474	0.000481866	0.00716776	3.01166e-05	2.92295	0.00163634	0	6.56633	0	0	0	0	0.0719587	0	12.1299	8.59764	0	0	0.000150583	0	0.000160622	2.00778e-05	0	3.01166e-05	2.00778e-05	0	0.0135324	0.0828408	3.01166e-05	0.0003614	0.00124482	0	0	0	0	6.02333e-05	0	2.00778e-05	3.01166e-05	0	0	0	0.000120467	0	0	0	0	0.0301267	0.0810941	2.00778e-05	6.02333e-05	5.01944e-05	0.000511983
