""	"014B"	"013A"	"009A"	"008B"	"008A"	"018B"	"017B"	"016B"	"013B"	"012B"	"012A"	"010A"	"006A"	"003A"	"006B"	"004B"	"002B"	"020B"	"001B"	"001A"	"010B"
"conditions"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"BV"	"N"	"N"	"N"	"N"	"N"	"N"	"N"
"GHB"	"-3.619277378"	"-6.237668571"	"-4.185313015"	"-6.422519942"	"-3.412955553"	"-5.978376446"	"-4.401266972"	"-4.310756269"	"-6.461187924"	"-5.435506413"	"-3.993594427"	"-6.18043235"	"-11.1015656"	"-6.003237818"	"-10.77042362"	"-10.92988987"	"-10.96723059"	"-11.90917248"	"-10.64315808"	"-11.01081606"	"-10.80503171"
"tyramine"	"-5.976707643"	"-6.653479833"	"-5.343828629"	"-4.512422266"	"-9.711956575"	"-4.01755803"	"-2.67881993"	"-3.425707065"	"-6.699441306"	"-1.976129365"	"-3.564162329"	"-1.721819105"	"-10.14475726"	"-9.659681204"	"-9.813615281"	"-9.973081531"	"-10.01042225"	"-10.95236414"	"-9.68634974"	"-10.05400772"	"-9.848223371"
"pipecolic acid"	"-7.389099766"	"-10.0540555"	"-8.66134963"	"-17.61266982"	"-8.368897726"	"-7.11456044"	"-6.949350898"	"-17.75414506"	"-17.801049"	"-8.211751837"	"-7.069333003"	"-7.49250364"	"-11.44889976"	"-9.981106763"	"-17.59329488"	"-17.75276113"	"-17.79010185"	"-18.73204374"	"-17.46602934"	"-17.83368732"	"-17.62790297"
"2-hydroxyisocaproic acid"	"-6.572229572"	"-9.291684056"	"-7.413803158"	"-8.414883453"	"-7.50903358"	"-7.042430631"	"-6.063953675"	"-6.6480916"	"-6.514952446"	"-6.496393597"	"-6.021482779"	"-6.761484045"	"-8.715419943"	"-12.27985606"	"-12.43379014"	"-12.59325639"	"-9.308669007"	"-13.57253899"	"-12.3065246"	"-12.67418258"	"-12.46839823"
"unknown 3"	"-9.827365396"	"-16.82881216"	"-8.492451261"	"-8.549974727"	"-10.9601198"	"-15.79251893"	"-15.84090547"	"-9.925602242"	"-15.51603084"	"-8.972102742"	"-8.847029652"	"-9.143778495"	"-10.26247389"	"-15.15434264"	"-15.30827672"	"-15.46774296"	"-15.50508368"	"-16.44702557"	"-15.18101117"	"-15.54866915"	"-15.3428848"
"cadaverine"	"-10.72930909"	"-6.278059397"	"-7.372880654"	"-10.48465766"	"-10.36362401"	"-5.484913564"	"-2.295825089"	"-4.597252539"	"-10.67303684"	"-2.337590627"	"-7.188955911"	"-0.524467728"	"-5.773905558"	"-10.31134864"	"-10.46528272"	"-10.62474897"	"-10.66208968"	"-11.60403157"	"-10.33801718"	"-10.70567515"	"-10.49989081"
"5-aminovaleric acid"	"-10.48335731"	"-8.094661069"	"-7.047190243"	"-10.23870588"	"-10.11767223"	"-7.26108903"	"-10.75195969"	"-10.38018112"	"-10.42708506"	"-4.912689295"	"-7.203623832"	"-5.340474414"	"-7.228544826"	"-10.06539686"	"-10.21933094"	"-10.37879719"	"-10.4161379"	"-11.3580798"	"-10.0920654"	"-10.45972338"	"-10.25393903"
"maltose"	"0.961475326"	"-1.384647043"	"0.149928725"	"-0.050331293"	"0.768418102"	"1.777723273"	"1.339620476"	"1.648303583"	"-7.821199831"	"1.423694239"	"0.84066922"	"0.849731275"	"-7.944587691"	"-7.459511634"	"-7.61344571"	"-7.77291196"	"-7.810252674"	"1.120879501"	"-7.48618017"	"-7.853838149"	"-7.6480538"
"phenylalanine"	"-12.75515936"	"-14.01166843"	"-12.91673784"	"-12.51050793"	"-12.38947428"	"-12.97537521"	"-13.02376174"	"-12.65198317"	"-12.69888711"	"-12.99199633"	"-13.95565495"	"-13.07120236"	"-12.82227497"	"-12.33719891"	"-5.20156049"	"-7.215346221"	"-12.68793995"	"-8.005412335"	"-12.36386745"	"-12.73152543"	"-5.996036372"
"2-hydroxyglutaric acid"	"-3.835161959"	"-7.398634257"	"-7.200383896"	"-11.91421147"	"-3.032799543"	"-3.340018907"	"-2.926503088"	"-1.419583215"	"-12.10259065"	"-6.508156902"	"-6.32369802"	"-6.516113425"	"-12.22597851"	"-11.74090246"	"-11.89483653"	"-12.05430278"	"-12.0916435"	"-13.03358539"	"-11.76757099"	"-12.13522897"	"-11.92944462"
"glucose"	"0.065762428"	"-2.111725002"	"-0.926144074"	"-1.368959975"	"-0.897406666"	"0.917236853"	"-0.548943544"	"0.722036556"	"-2.732439335"	"0.823637905"	"0.072399551"	"1.497899097"	"-8.436761964"	"-3.56228759"	"-3.286079112"	"-3.312234027"	"-0.252997012"	"-3.409447156"	"-7.978354442"	"-5.024084327"	"-8.140228073"
"sugar 1"	"-10.39701063"	"-16.52233062"	"-9.103609595"	"-9.647784381"	"-8.935607525"	"-9.80274183"	"-7.852675528"	"-9.213735431"	"-9.416071109"	"-9.66785356"	"-9.818160505"	"-8.395206109"	"-15.33293716"	"-14.84786111"	"-15.00179518"	"-9.440125443"	"-15.19860215"	"-8.634024179"	"-14.87452964"	"-15.24218762"	"-15.03640327"
"uracil"	"-12.93963431"	"-9.350544715"	"-9.779284687"	"-8.250286089"	"-12.57394922"	"-6.744318868"	"-6.364660708"	"-7.434285458"	"-12.88336205"	"-7.320420096"	"-8.852923154"	"-5.492605328"	"-13.00674991"	"-12.52167385"	"-12.67560793"	"-12.83507418"	"-12.87241489"	"-7.954991103"	"-12.54834239"	"-6.609496266"	"-12.71021602"
"phenyl lactate"	"-7.537437243"	"-8.779809368"	"-7.844228856"	"-7.663037455"	"-6.913332048"	"-8.553714037"	"-6.562525699"	"-5.786762654"	"-7.765963347"	"-7.006082405"	"-7.970148115"	"-14.38011817"	"-10.63848275"	"-13.64611472"	"-9.537712205"	"-13.95951504"	"-8.034960142"	"-14.93879765"	"-8.576020211"	"-7.558821534"	"-8.65717259"
"serine"	"-5.954976461"	"-8.810675688"	"-5.637072874"	"-4.357760108"	"-14.59727993"	"-5.469816838"	"-6.459709231"	"-5.013497128"	"-6.328475414"	"-5.769368889"	"-4.284824504"	"-10.93550511"	"-15.03008062"	"-14.54500456"	"-3.264936661"	"-4.864748539"	"-4.208592859"	"-4.341391108"	"-4.42302128"	"-4.455840025"	"-3.401370202"
"glycine"	"-3.476295223"	"-3.784338685"	"-3.689090182"	"-3.127018065"	"-3.960024421"	"-5.318169194"	"-2.549778734"	"-3.790390994"	"-3.901360921"	"-5.886152542"	"-5.610950199"	"-6.438370128"	"-9.511370828"	"-4.97464438"	"-3.437475431"	"-4.609605936"	"-3.651078406"	"-2.606991735"	"-2.252384378"	"-3.925812305"	"-3.10832692"
"unknown 5"	"-9.605187858"	"-11.75722224"	"-7.640891825"	"-6.681083681"	"-11.27610737"	"-9.356739594"	"-10.37918268"	"-9.529033547"	"-9.416481825"	"-9.662223294"	"-10.73766435"	"-9.749310602"	"-10.0849824"	"-9.150869879"	"-8.447030119"	"-8.443229704"	"-9.52069606"	"-9.618986559"	"-8.825062055"	"-9.724511876"	"-8.666355642"
"phosphate"	"-0.363764397"	"-2.652427149"	"-0.747643182"	"-0.027991935"	"-1.555116038"	"0.451338564"	"-0.232731737"	"0.726824748"	"0.650006032"	"0.386700245"	"-0.839529373"	"1.188830929"	"-1.65198117"	"-4.434421425"	"-1.374967187"	"0.349289842"	"-0.138810994"	"0.817494545"	"-2.841984148"	"1.179311761"	"-2.29538552"
"succinate"	"-10.05739266"	"-2.377478103"	"-6.897043047"	"-3.040906519"	"-2.73343129"	"0.060150435"	"0.790126658"	"0.396535346"	"-5.894535457"	"1.60121041"	"0.645121678"	"1.450384669"	"-0.573096932"	"-4.469622644"	"-4.997450222"	"-4.154330756"	"-3.562394763"	"-2.642165784"	"-2.336649697"	"-1.62145903"	"-2.702206573"
"aspartic acid"	"-9.787982994"	"-11.04449206"	"-9.949561471"	"-4.688401658"	"-9.422297914"	"-5.104236811"	"-10.05658537"	"-5.435449068"	"-5.466130348"	"-10.02481996"	"-10.98847858"	"-10.104026"	"-9.855098601"	"-9.370022543"	"-3.879922954"	"-4.981349664"	"-3.859579984"	"-10.66270547"	"-3.15422156"	"-4.883506851"	"-3.583931859"
"erythrotetrofuranose"	"-9.992776287"	"-11.79925296"	"-9.360314514"	"-10.20577706"	"-8.800122054"	"-10.19278562"	"-10.94364958"	"-10.37836153"	"-9.937870183"	"-10.27070282"	"-11.03773084"	"-9.982864565"	"-11.25374999"	"-9.868356175"	"-10.11153036"	"-10.30877084"	"-10.51112193"	"-11.13447442"	"-10.02178822"	"-11.01370717"	"-10.21865887"
"fructose"	"-6.531955493"	"-7.456867386"	"-8.335627335"	"-14.16411406"	"-14.04308041"	"-5.840479142"	"-8.518337342"	"-5.823928565"	"-14.35249324"	"-7.494134414"	"-7.042297791"	"-5.413290036"	"-14.4758811"	"-13.99080504"	"-10.82281102"	"-14.30420537"	"-14.34154608"	"-9.226244199"	"-9.319291118"	"-14.38513155"	"-8.916066332"
"unknown 2"	"-5.95117348"	"-13.93995871"	"-6.792555775"	"-6.2208019"	"-12.31776456"	"-4.706366337"	"-8.433051767"	"-4.297682948"	"-5.638673736"	"-6.03041619"	"-5.304568728"	"-5.015103872"	"-7.876290608"	"-12.26548919"	"-6.406176694"	"-7.983892855"	"-6.623139565"	"-10.23624402"	"-7.129356776"	"-7.267934613"	"-5.929708635"
"ribose 1"	"-5.465477717"	"-5.710762076"	"-5.280247148"	"-5.757796048"	"-5.891373178"	"-3.893871405"	"-4.309084604"	"-4.419009618"	"-4.863871528"	"-4.897907489"	"-4.885079729"	"-3.866471727"	"-10.16444504"	"-9.679368984"	"-4.637066018"	"-4.952939123"	"-4.478509171"	"-3.212002422"	"-9.70603752"	"-4.193233518"	"-6.545983056"
"galactopyranoside"	"-12.02235273"	"-13.2788618"	"-7.163116525"	"-6.011554908"	"-6.227939528"	"-6.372104632"	"-6.061267976"	"-11.91917653"	"-7.259860254"	"-12.2591897"	"-6.46123653"	"-12.33839573"	"-12.08946834"	"-11.60439228"	"-8.432828028"	"-6.704385038"	"-5.397795101"	"-6.545118253"	"-8.309132719"	"-7.842432753"	"-7.88074082"
"threonine"	"-6.410659159"	"-9.359056937"	"-5.835661987"	"-4.695989345"	"-12.50476076"	"-5.364785506"	"-6.159571619"	"-5.283269846"	"-6.406828325"	"-6.338117786"	"-5.527655969"	"-5.530701967"	"-12.93756144"	"-12.45248539"	"-4.200427614"	"-5.180531544"	"-4.543487722"	"-7.176377803"	"-2.902148755"	"-4.116699076"	"-3.619732227"
"urea"	"-10.52498266"	"-4.175143544"	"-10.68656114"	"-6.958403133"	"-4.852242652"	"-2.957856336"	"-1.861447107"	"-4.579689481"	"-2.227461774"	"-4.599460917"	"-11.72547825"	"-1.6419185"	"-10.59209827"	"-10.10702221"	"-1.748626294"	"-1.264350927"	"-10.45776325"	"-1.432903815"	"-5.035704534"	"-10.50134873"	"-2.871221087"
