	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K00001	96	1006	148	26	973	3	28	30	6	16	102	2	265	31	4	17	1	10	15	12	5	4	103	1155	1	433	37	193
K00003	640	1090	41	1198	50	440	54	1158	1258	685	651	540	340	623	978	559	921	1043	54	1300	2247	1238	99	18	321	250	353	267
K00005	1	1	1	1	1	4	1	2	27	21	1	5	2	6	3	6	3	5	58	2	2	4	11	1	1	1	4	1
K00009	2	900	70	1	2	4	2	172	3	16	95	3	2000	1	1	6	1	4	1	4	5	1	370	0	9	78	587	235
K00010	1	1	3	1	1	22	1	5	3	22	1	5	2	9	33	10	10	7	1	3	34	10	5	1	4	2	1	1
K00012	2	8	4	39	3	309	2	75	12	368	2	644	2	144	322	213	1	389	27	49	839	338	10	2	262	1	83	1
K00013	1	2	3	1	1	3	2	1	1	1	3	1	1	2	1	1	1	1	2	1	3	1	36	1	1	1	1	1
K00014	41	27	17	467	61	657	9	955	562	1139	14	1291	24	725	1103	674	394	1294	89	738	2133	1159	51	117	630	9	312	5
K00015	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	25	0	0	0	0	0
K00016	19205	22139	48170	47239	43702	3206	29141	34317	21212	18557	16183	3161	10813	37696	26785	22720	5381	28167	828	64141	31081	12514	65935	3611	28122	32706	37463	26540
K00018	2	5	4	83	2	89	35	185	64	397	2	988	3	56	403	371	4	778	136	112	1653	671	56	1	493	3	110	4
K00020	207	1	3	1	3	2	20	1	62	1	1	3	1	1	1	1	2	3	1	1	2	5	1	2	4	4	5	1
K00024	27	70	64	540	22	9023	37	3767	444	6124	19	24717	26	5369	10130	6225	40	13918	1015	3492	44504	14903	112	23	18650	17	3324	11
K00027	6	71	32	260	194	343	4	267	43	149	4	135	541	184	320	91	492	169	16	286	437	312	190	997	97	26	446	94
K00029	2	6	5	222	4	236	3	745	28	1051	4	3121	4	115	824	566	4	1394	207	437	3740	2317	33	2	2054	1	237	1
K00031	1	4	5	451	1	2	1	1	1	3	2	2	9	2	3	2	1	2	54	3	4	2	172	2	2	1	2	1
K00033	2717	7295	7889	5267	7774	583	4517	5127	2846	3519	2790	454	2298	4442	2834	3207	1062	4257	65	6605	2688	833	9762	1732	1027	3890	3143	6484
K00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
K00036	2258	5653	2519	2554	3056	50	1749	1755	1717	900	1107	349	1711	1257	1130	1077	18	1361	32	2179	1635	1170	2873	1355	677	3308	1171	7990
K00040	12	4	13	1	1	3	1	3	1	18	1	1	1	4	1	1	21	1	2	2	1	3	1	1	2	1	1	2
K00041	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K00042	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
K00046	2	1	1	2	1	44	1	331	10	242	1	208	2	77	197	225	3	747	139	222	1509	383	2	1	113	1	122	1
K00048	195	4	3	3	1	16	1	139	1070	19	2	41	1	139	655	11	1	118	13	532	1946	1092	80	3	5	1	393	1
K00052	1	1	1	11	1	19	3	191	2	486	1	8	1	18	1	280	539	160	2	35	51	47	24	1	6	1	2	1
K00053	7	6	10	49	5	109	6	6879	8	139	4	36	6	81	1849	440	6309	13263	64	229	1029	114	132	4	37	2	51	3
K00054	3073	2112	2878	1069	4483	502	1341	493	1698	1022	1991	142	981	873	543	298	11	392	66	519	559	382	3366	1972	212	899	566	3132
K00057	6548	8985	5979	7990	6783	2673	3756	4654	4549	5462	5951	6363	3838	5562	3732	3382	152	4002	323	6368	7719	2815	6220	1914	1636	4716	2945	6174
K00058	31	907	106	1814	193	8062	37	3682	452	4286	389	18606	323	11325	9023	6349	4896	8043	138	5153	23085	8435	313	27	991	655	4312	766
K00059	35	44	54	1250	27	3902	52	2821	240	7687	25	14836	39	3158	6986	18404	2894	30103	531	2549	27356	12234	550	48	7545	21	1549	38
K00060	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K00065	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	1	0	1	3
K00067	427	5	7	25	48	633	352	82	451	593	12	3071	4	1209	164	405	20	459	214	73	1574	285	26	180	204	12	64	9
K00068	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K00073	1	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00074	132	174	70	2476	312	3507	45	2957	336	1252	57	2979	45	3571	9734	7309	14882	3011	75	12989	4833	2086	111	71	394	27	986	18
K00075	3346	7299	4761	5283	4396	2213	2667	4606	2585	4996	2850	2560	2518	4380	3320	2542	1827	4556	162	6727	6028	3111	5195	754	2166	1930	2135	2512
K00076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0
K00077	74	18	22	580	11	1097	5	3336	656	1938	7	561	11	963	1046	657	649	1737	183	886	2667	1474	43	11	230	3	230	4
K00087	23	2	0	0	1	5	1	2	3	9	0	2	1	16	1	1	11	2	0	1	4	1	37	0	2	0	0	0
K00088	3528	7861	7759	10335	14225	3691	3402	10921	10400	5057	3772	5940	3546	5489	7895	4989	2201	9283	452	6818	12332	6284	3502	1431	6088	2163	3937	2943
K00090	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
K00096	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K00097	2	6	2	20	2	358	3	45	10	107	1	598	2	72	124	158	4	331	24	45	686	231	13	3	364	3	85	1
K00099	8	14	9	446	7	744	7	813	30	817	5	2261	5	280	882	788	1012	1536	80	804	2951	1524	77	7	1148	3	503	3
K00100	12	15	3	676	4	452	2	1111	18	709	6	215	4	752	1027	346	1431	903	5	1131	1169	753	7	2	252	2	215	1
K00101	1	2615	96	233	200	255	2	438	7	242	758	268	940	370	235	531	813	945	6	591	1225	467	149	1098	31	567	184	993
K00104	84	3743	546	9788	510	3776	105	19567	117	7635	4773	4057	1815	8903	20235	12664	20836	17510	162	21271	18632	9019	3383	89	2798	1220	7049	2927
K00105	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	25	0	0	0	5	0	0	0	0	0
K00108	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K00111	22	53	26	1517	309	1448	344	3994	31	1295	64	1309	1119	2054	1785	1272	2763	1438	162	6921	5081	1530	11706	22	1425	3	3479	6
K00112	1	6	8	452	2	107	2	425	6	170	3	684	3	1255	145	211	1	196	79	800	1227	302	11	1	402	1	232	1
K00113	1	3	3	264	1	3	1	330	1	143	0	784	1	33	103	154	0	162	36	682	1085	329	4	0	441	0	269	0
K00116	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	3	0	0	0	0	0
K00117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K00123	1	1	2	1	2	33	1	13	7	39	1	39	2	9	7	16	2	20	2	12	34	12	4	1	1	1	1	1
K00124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
K00127	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0
K00128	19	15	10	601	8	816	5	1060	67	1216	7	3017	8	1867	1391	195	1012	418	48	971	1141	1090	123	8	334	3	363	3
K00130	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
K00131	0	1	1	0	1	486	1	6	1	584	0	52	1	464	63	81	0	102	155	32	120	9	2	3	1	2	163	1
K00133	1341	1763	107	954	72	4162	122	2797	1380	10031	626	5231	43	5079	2249	2635	1315	5025	290	1822	7176	3802	312	17	2219	1089	2396	1770
K00134	39163	229446	88463	105934	87059	57657	45676	61155	49834	105994	79045	157807	70086	139914	66579	59953	3133	82564	8261	126668	142282	63325	130605	29938	132998	343693	204776	379913
K00135	0	0	0	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
K00137	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00138	0	0	1	0	1	1	0	1	4	5	1	5	0	7	3	1	0	2	1	0	6	2	0	1	0	0	0	0
K00140	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	4	0	1	1	0	0	0
K00145	0	6	1	0	1	46	1	4	57	44	0	65	0	159	10	6	0	1	1	3	18	9	7	0	1	1	21	1
K00147	53	9	12	710	8	445	8	649	607	640	8	384	3	378	1032	365	562	921	98	610	1609	961	81	9	323	6	211	10
K00150	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K00156	0	0	0	0	1	2	0	0	1	2	1	6	0	4	0	0	0	1	1	1	1	0	98	0	0	0	0	0
K00158	17551	19625	3264	1218	14349	19	3173	123	3925	21	6755	23	5829	30	26	27	26	32	44	34	32	21	6515	13294	18	9970	6813	10965
K00161	9	18	7	36	32	2971	11	227	147	12428	89	871	81	4312	355	552	4	150	96	257	1370	692	25	14	26	62	1331	78
K00162	8	11	11	103	40	2122	13	214	140	9444	89	689	48	3585	306	400	6	164	56	192	779	543	23	15	28	116	1449	80
K00163	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	1	0	0	0	0	0
K00164	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K00166	0	0	0	2	0	1	1	1	2	0	2	0	1217	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0
K00167	0	0	0	0	0	2	0	0	2	0	0	0	1237	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0
K00169	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K00170	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K00172	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0
K00179	0	0	0	7	0	25	0	21	0	6	0	5	0	8	3	4	15	8	0	17	15	2	0	0	1	0	4	0
K00180	0	0	0	15	0	45	0	60	0	25	0	15	0	8	6	9	48	13	0	42	89	9	0	0	2	0	0	0
K00208	10	24	34	104	10	1159	11	515	74	1124	9	3263	179	429	782	1498	8	3683	241	251	3452	2069	31	98	3811	6	453	6
K00215	58	1537	90	1082	9	2810	18	1961	63	2495	575	6015	27	1573	2501	1747	2115	3815	303	1762	6096	3550	340	12	1688	841	705	1459
K00219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00226	0	2	0	0	0	14	0	0	0	2	0	4	0	0	0	0	0	0	16	0	0	0	0	0	10	7	7	8
K00228	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00231	2	5	6	13	2	20	4	120	16	309	2	800	3	66	109	28	2	784	17	123	1138	1166	130	1	333	1	39	1
K00239	49	27	26	2470	13	1942	10	1446	524	2428	8	8270	32	906	2408	2914	12	4958	857	2710	13665	6994	252	14	4172	6	1538	7
K00240	31	17	18	629	11	808	6	814	249	1093	8	4708	15	378	1140	1353	10	2539	181	912	5203	3427	175	7	6065	9	1413	9
K00241	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	46	0	0	2	1	0	2	1	1	1	1
K00242	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00244	9051	10578	1114	1147	4071	138	815	979	2451	848	4468	73	5082	581	280	456	7	897	18	792	344	77	1790	4166	212	3643	1768	8269
K00245	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K00246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0
K00247	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
K00248	12	77	31	2261	21	3932	14	4655	155	2257	8	2400	13	3591	7118	3954	8145	4369	18	6396	7124	2510	34	15	1517	2	2565	5
K00254	67	5	29	1972	5	27	7	5228	612	171	4	1022	4	191	1687	394	3	865	23	2976	3864	2360	145	12	448	1	42	1
K00257	437	982	439	27874	463	17945	422	43550	587	27810	376	8717	437	30661	27205	11035	74558	42259	955	56235	69630	27237	637	370	9295	7	14035	12
K00259	3	1	1	1	1	4	2	2	9	11	1	4	1837	3	2	1	3	2	1	1	5	1	3	6	1	1	1	1
K00260	21	102	14	10	22	2638	6	38	899	1804	4	2767	633	5898	364	150	19	80	3	3	348	253	62	5	72	1	537	1
K00262	63	93	86	780	38	10000	54	2255	1367	3638	33	46000	41	27769	20007	10733	119	15060	199	8385	63299	24090	266	36	2826	17	4196	13
K00263	0	0	0	0	0	1	0	0	0	0	0	1	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00265	0	1	0	16	0	6	0	131	4	25	1	4	0	18	1	46	101	175	6	33	85	28	78	1	34	2	2	1
K00266	14	24	18	431	12	852	11	1155	98	790	8	1446	10	576	1308	654	1169	1577	53	854	2912	1127	73	10	252	5	416	5
K00275	1	0	0	0	0	73	0	2	0	1	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
K00278	5	10	5	175	6	559	14	814	44	1245	2	6477	4	1463	2720	1622	8	3119	52	711	5674	2593	15	3	1911	2	306	2
K00281	0	1	0	0	0	23	1	0	0	1	1	11	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
