Taxon	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S	total	color
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_iners	48122	72636	5824441	7010583	6443740	31644	3609929	4358320	45919	3402138	135914	37811	30634	3365522	1785541	2835893	18850	3216381	21107	6075232	1936719	358541	7333449	27571	1451388	433295	2114697	90066	62116083	steelblue3
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_crispatus	15846	5468767	282641	12793	13279	9590	5791	16363	21374	5281	3004813	4863	2259133	6133	2818	3928	1968	6929	4520	6953	4673	2237	491043	26060	3403	3000699	584674	4108232	19374804	skyblue1
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_jensenii	241774	526453	1189860	888435	2931077	20038	702178	736315	105300	693905	108763	26278	48591	955320	770955	819532	4502	937318	6800	1342005	360064	87246	2291223	3141233	715	167458	35159	189734	19328231	#cfebff
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_gasseri	2567558	6231	2024	1489	121068	1962	287471	1960	1656644	2570	4568	4195	2353	3220	2125	2050	1334	1621	1362	2634	1712	870	4018	29452	40	1680	149	484	4712844	#1C4466
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_johnsonii	36756	6795	2065	826	3592	1026	7210	939	33385	2616	4150	1545	2886	2111	289	662	54	1388	44	2485	980	420	1667	7361	114	382	465	557	122770	#1C4466
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	3543554	2952375	220250	81632	279484	10146	406405	84886	2798594	61504	2046988	18936	1280881	53712	28680	37543	4464	57633	6640	70526	32296	10670	296545	198475	25825	1375683	231938	1666061	17882326	#0066CC
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella	157914	13167	25450	1450658	6993	115338	6894	1370395	1709558	531291	4596	831366	5919	279488	1321329	311410	4162	1050207	9279	1054575	3043807	2190378	73010	9383	892741	433	211396	393	16681530	indianred1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	11531	25899	19682	279859	12101	1048045	9950	583834	125258	1348517	10747	5100477	9434	536871	1610886	1637917	8877	2710442	338469	682256	6439039	3190636	51591	9147	2333983	1907	437102	1459	28575916	mediumpurple1
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium	8797	464	1077	2758	728	10963	1371	17598	5900	17819	310	12787	1798	7575	9366	3516	32715	7661	332	7878	9408	4769	9551	185	17563	54	1285	18	194246	ivory2
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera	7915	14386	7486	1083473	8778	1150283	7307	1878051	9843	901918	6237	370102	6660	864843	1602680	561910	2545184	1325991	11829	1586030	1996393	1050968	9437	6333	454340	362	684291	359	18153389	olivedrab3
Unknown;Other;Other;Other;Other;Other	4478	0	0	0	0	949223	123391	736356	49391	832210	61707	2146005	97898	1711387	134090	215724	29935	417363	69788	467170	499478	209716	198576	88971	250725	10612	502974	11579	9818747	#FFED6F
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia	14983	17176	1678	1254	2173	1582762	3273	45835	5479	2136934	6781	218136	11875	1210174	170544	283438	806	254290	1645	99925	472650	108841	1976	2349	10555	191	643535	268	7309526	pink
Bacteria;Other;Other;Other;Other;Other	89703	193544	117969	106998	119123	101668	99119	111134	99617	127098	87497	105803	91286	122238	102102	91376	58201	142151	152793	175758	144718	94950	191171	83133	4754	1140	5024	367	2820435	mediumorchid3
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister	4307	2938	816	28569	472	54928	487	20267	22399	58297	987	89893	1166	64458	30721	15826	38952	31159	7649	25078	90874	51022	3604	276	25627	51	21898	14	692735	royalblue4
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella	18054	36844	17397	15332	19187	21935	15259	18983	22932	24119	16425	27138	18765	29624	17773	15196	13131	24770	31783	26982	26661	17457	168436	16414	83	24	84	9	660797	tan1
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified	1434	2700	583	3824	769	30767	505	6832	2725	30346	2284	197415	2347	103010	3184	3908	2527	7620	751	6240	11133	3491	1225	2636	115	16	884	13	429284	aquamarine3
