#header here
#OTU ID	002B	009A	020B	003A	016B	023A	010B	010A	016A	004A	008B	005B	008A	011A	015A	018B	005A	001A	012B	013A	001B	017B	003B	019B	012A	002A	009B	014B	017A	014A	006A	007B	018A	019A	015B	011B	007A	013B	004B	006B	021B	taxonomy
0	12881	5668	0	8603	42053	46	8	81	0	6	0	8589	7136	2951	4	912	3333	11	2485	1217	20	3437	2153	401	11779	5338	365	34103	234	8109	38	1	91	11766	3	1536	0	0	11907	14836	29044	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_iners
1	575	4024	6	6897	18893	0	10	2013	0	8369	3149	12	8846	8694	6	16030	688	1842	6291	3118	10	22650	1	24491	5562	5979	3	34775	1530	9	610	0	0	115	1	2257	5549	1	1	1	0	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis;seq_77
2	1	2908	0	0	3685	0	5	2169	0	901	0	0	1387	2237	1	3877	224	261	7418	1220	0	3875	0	6659	1769	339	3	4432	894	0	1886	0	0	23	4	3687	1442	15959	0	1	0	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium;vaginae
3	1	6250	1	1	2	0	2	15798	0	0	0	1	2708	4	0	0	1	0	2	0	0	0	0	0	11270	0	1	0	1730	0	10371	1	0	0	0	0	1	5	0	2	0	Bacteria;Firmicutes;Clostridia;Clostridiales;unclassified_BVAB1;unclassified_BVAB1;BVAB1
4	840	0	0	7	0	15753	20130	1	3488	0	0	1	3	0	13993	0	80	2	0	1	10897	0	6255	0	0	379	7494	0	1	1967	0	9272	15886	235	0	41	0	0	0	1	2084	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_crispatus
5	0	2101	0	2928	6392	0	4	2833	1	2942	0	0	3284	2534	0	1704	1	1	1636	1166	0	5046	0	5973	3143	2	0	5557	310	0	2040	0	0	0	2	769	1672	4256	0	0	0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Megasphaera;genomosp.type_1str.28L
6	53	0	39414	39	2	227	0	0	0	0	0	0	16	0	1500	0	41	0	0	0	242	0	0	1	0	51	1	0	0	0	0	38	0	4	0	0	0	0	1689	1	108	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_jensenii
7	0	1030	0	0	586	1	2	545	0	888	54	0	564	815	0	2374	45	0	887	312	0	1259	0	1679	1871	232	0	2558	138	0	522	0	0	0	0	339	808	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium;rimae
8	0	3089	0	0	40	0	0	77	0	4535	0	0	6	0	1	17	838	0	195	450	0	224	0	0	2962	9	0	415	150	4	3388	0	0	0	0	118	2279	0	0	0	0	Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Leptotrichiaceae;Sneathia;unclassified
9	56	1529	1	283	703	1	0	418	0	153	289	5	309	1477	0	3781	222	0	2534	813	186	3479	0	252	4112	4	4	2894	1920	0	716	0	0	0	0	207	325	140	2	0	2	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;unclassified
10	0	841	0	0	130	0	1	343	0	445	0	0	67	1311	0	124	0	0	162	1039	0	1472	0	1917	252	0	0	387	972	1	405	0	0	0	0	30	0	0	0	1	0	Bacteria;Fusobacteria;Fusobacteria;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens
11	0	648	1	0	619	0	2	511	0	633	0	0	87	932	0	420	562	1	729	190	0	1514	0	917	1119	0	1	486	110	0	643	0	0	0	0	194	255	1	0	2	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_IncertaeSedisXI;Parvimonas;micra
12	36	2353	0	6	0	0	3	728	0	1465	213	0	89	4247	0	1890	0	0	2170	116	132	2137	0	1	4372	9	2	1281	908	2	2670	1	0	0	2	769	2226	5	7	2	5	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;timonensis
13	0	105	0	0	314	0	2	1935	0	397	0	0	59	1	2	5853	0	0	1017	3201	0	6810	0	0	0	0	0	1535	1587	0	0	0	0	0	0	397	0	1	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;amnii
14	26	1476	1	1	3367	0	7	36	0	81	1800	2	580	391	0	218	951	734	1302	32	1	2055	1	376	2140	1080	0	9509	6	2	2024	1	0	3	3	1796	281	0	0	0	0	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis;seq_73
15	0	2455	0	0	29	0	0	1	0	0	0	0	2	0	2	1	809	755	4	570	0	0	0	0	7769	0	0	2725	0	0	9	0	0	0	0	1	0	0	0	0	1	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;vaginalis;seq_70
16	2	0	109	0	0	5	1	1	3	0	2125	0	0	0	586	0	0	6435	1	0	6	0	1	0	0	4	1	0	0	2	0	1	0	2	0	0	0	0	748	1553	2	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus_gasseri/johnsonii
17	0	176	0	0	895	0	1	103	0	283	0	0	237	1	0	751	0	0	445	492	0	275	0	1079	290	0	0	357	110	0	185	0	0	0	0	284	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;unclassified_BVAB2;unclassified_BVAB2;BVAB2
18	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	402	0	0	5185	0	0	938	0	0	0	0	0	0	0	0	0	0	Bacteria;TM7;unclassified;unclassified;unclassified;TM7_genera_incertae_sedis;unclassified
