gene	count	length
V1728013	367290	441
V1574482	234829	288
V1177462	130377	282
V1162241	72621	1290
V1430591	49899	795
V1393646	38745	285
V1086186	32529	1842
V1567909	31512	246
V1334911	27408	921
V1301930	26042	459
V1392011	22194	237
V1881898	21935	738
V1013253	21046	1200
V1356479	20841	1803
V1574816	18771	1347
V1394389	16714	1239
V1153304	16657	297
V1009516	15848	1296
V1602882	15573	1512
V1143164	15072	204
V1576072	14875	285
V1328802	14817	933
V1612833	14331	705
V1239646	14209	1503
V1239069	13807	657
V1555046	13772	228
V1524304	13228	150
V1015704	12893	2376
V1151846	12455	4041
V1723757	12336	562
V1040547	12078	942
V1042310	11305	684
V1381548	11112	1599
V1000122	11111	1191
V1140472	10830	471
V1723592	10642	663
V1009512	10438	1053
V1431607	10081	441
V1037079	9980	621
V1409431	9820	690
V1465164	9700	1212
V1687741	9578	1344
V1265517	9559	1143
V1234581	9509	543
V1295447	9372	1290
V1386117	9289	876
V1362787	9288	363
V1013250	9100	222
V1016650	8927	543
V1436826	8776	1506
V1037868	8594	768
V1038361	8473	1230
V1301559	8430	414
V1329121	8367	1797
V1011667	8361	468
V1348573	8127	738
V1168807	8111	240
V1107502	8024	1029
V1612596	8008	1572
V1383841	7872	618
V1076325	7739	759
V1421861	7667	555
V1585736	7612	435
V1020161	7452	816
V1168094	7362	585
V1430373	7348	420
V1000546	7294	1215
V1086898	7180	1332
V1123844	7170	1335
V1464571	7147	1452
V1724122	7112	453
V1044739	7105	216
V1445377	7105	2130
V1157772	7077	762
V1301690	7030	537
V1836823	7024	375
V1195096	7015	870
V1884207	6909	1410
V1364867	6878	120
V1498789	6801	414
V1009625	6779	471
V1436495	6748	426
V1011230	6725	621
V1384044	6661	834
V1550406	6650	561
V1037518	6627	381
V1358422	6619	594
V1337358	6594	1176
V1036253	6576	1203
V1007262	6574	558
V1819269	6565	1221
V1554285	6542	534
V1687755	6537	384
V1291853	6490	252
V1000639	6475	1017
V1237509	6475	1695
V1554160	6328	678
V1351200	6215	405
V1687756	6201	1341
V1198668	6076	1899
V1553951	6050	162
V1482934	6030	2625
V1620435	5988	285
V1171816	5916	153
V1000534	5911	720
V1462086	5864	312
V1052203	5863	2832
V1312248	5818	1374
V1166828	5792	285
V1383974	5770	1017
V1145315	5756	996
V1054643	5745	7344
V1442703	5739	414
V1000836	5688	279
V1398731	5683	159
V1037335	5673	210
V1723469	5658	591
V1073967	5654	564
V1554270	5638	372
V1000549	5589	2274
V1167759	5568	1491
