	Systematic.name	cluster	cluster.size	coord
Purine nucleoside phosphorylase (EC 2.4.2.1)	Purine nucleoside phosphorylase (EC 2.4.2.1)	1	326	0.0278325791563778
Pyruvate carboxyl transferase (EC 6.4.1.1)	Pyruvate carboxyl transferase (EC 6.4.1.1)	1	326	0.0311600850784175
Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	1	326	0.0314655142685949
Benzoyl-CoA reductase subunit BadD (EC 1.3.99.15)	Benzoyl-CoA reductase subunit BadD (EC 1.3.99.15)	1	326	0.0344267366128994
Benzoyl-CoA reductase subunit BadE (EC 1.3.99.15)	Benzoyl-CoA reductase subunit BadE (EC 1.3.99.15)	1	326	0.0323965980026014
Butyryl-CoA dehydrogenase (EC 1.3.99.2)	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	1	326	0.0273538114064602
Electron transfer flavoprotein, alpha subunit	Electron transfer flavoprotein, alpha subunit	1	326	0.0314456942079007
Nucleoside triphosphate pyrophosphohydrolase MazG	Nucleoside triphosphate pyrophosphohydrolase MazG	1	326	0.0272037287661213
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.-)	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.-)	1	326	0.0272671217306443
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	1	326	0.0283448950632602
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	1	326	0.0305338306683122
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	1	326	0.0247250385746399
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	1	326	0.0325828752450632
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	1	326	0.0317060797342521
3-dehydroquinate synthase (EC 4.2.3.4)	3-dehydroquinate synthase (EC 4.2.3.4)	1	326	0.026517993034243
3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)	3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)	1	326	0.0315408275888035
3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)	1	326	0.0323749023538185
4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	1	326	0.0325090025937774
4-hydroxybenzoyl-CoA thioesterase family active site	4-hydroxybenzoyl-CoA thioesterase family active site	1	326	0.0326816026889904
5-nucleotidase SurE (EC 3.1.3.5)	5-nucleotidase SurE (EC 3.1.3.5)	1	326	0.0277382069647473
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	1	326	0.0313975039428347
Alpha-amylase (EC 3.2.1.1)	Alpha-amylase (EC 3.2.1.1)	1	326	0.0320075838118609
Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	Alpha-ribazole-5'-phosphate phosphatase (EC 3.1.3.73)	1	326	0.0273818753208135
Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	Aminoacyl-histidine dipeptidase (Peptidase D) (EC 3.4.13.3)	1	326	0.0345318965123263
Anaerobic nitric oxide reductase flavorubredoxin	Anaerobic nitric oxide reductase flavorubredoxin	1	326	0.0303892210484026
Aspartate carbamoyltransferase regulatory chain (PyrI)	Aspartate carbamoyltransferase regulatory chain (PyrI)	1	326	0.0276900671673242
ATP-dependent protease La (EC 3.4.21.53) Type I	ATP-dependent protease La (EC 3.4.21.53) Type I	1	326	0.0304612525770829
Biopolymer transport protein ExbD/TolR	Biopolymer transport protein ExbD/TolR	1	326	0.0340944204118588
Biotin-protein ligase (EC 6.3.4.15)	Biotin-protein ligase (EC 6.3.4.15)	1	326	0.0255954695042935
Carboxynorspermidine dehydrogenase, putative (EC 1.1.1.-)	Carboxynorspermidine dehydrogenase, putative (EC 1.1.1.-)	1	326	0.0335644756461835
Chorismate synthase (EC 4.2.3.5)	Chorismate synthase (EC 4.2.3.5)	1	326	0.0271857201033405
Cytochrome c-type biogenesis protein ResA	Cytochrome c-type biogenesis protein ResA	1	326	0.0324536206017745
Deoxyribose-phosphate aldolase (EC 4.1.2.4)	Deoxyribose-phosphate aldolase (EC 4.1.2.4)	1	326	0.0288250497679214
DNA-binding protein HU	DNA-binding protein HU	1	326	0.0353496733959454
Ferric siderophore transport system, periplasmic binding protein TonB	Ferric siderophore transport system, periplasmic binding protein TonB	1	326	0.0347852018088155
Ferric uptake regulation protein FUR	Ferric uptake regulation protein FUR	1	326	0.0271819444260345
FKBP-type peptidyl-prolyl cis-trans isomerase fklB (EC 5.2.1.8)	FKBP-type peptidyl-prolyl cis-trans isomerase fklB (EC 5.2.1.8)	1	326	0.0341050934958954
FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)	1	326	0.0299413893334401
Glutaminyl-tRNA synthetase (EC 6.1.1.18)	Glutaminyl-tRNA synthetase (EC 6.1.1.18)	1	326	0.0315653290594396
Glutamyl-tRNA synthetase (EC 6.1.1.17)	Glutamyl-tRNA synthetase (EC 6.1.1.17)	1	326	0.031645859293596
Glutathione peroxidase (EC 1.11.1.9)	Glutathione peroxidase (EC 1.11.1.9)	1	326	0.0339246216011448
