gene	count	length
V1074313	155203	228
V1572176	107650	183
V1067936	86026	2265
V1000546	71637	1215
V1066646	68739	1341
V1247424	62902	936
V1339799	62615	822
V1013092	59732	2253
V1016072	55505	1569
V1194993	52355	2274
V1577228	49621	1896
V1236403	46722	129
V1000545	46287	1350
V1000639	45917	1017
V1016074	44040	1284
V1585178	43829	1041
V1504200	43670	1902
V1008495	42914	2253
V1464571	41656	1452
V1000122	40936	1191
V1000549	39450	2274
V1421051	36601	1329
V1000640	36012	1215
V1016073	35935	987
V1604062	34372	990
V1290764	33955	2121
V1000004	33393	939
V1463773	32799	1236
V1012818	31391	1146
V1266110	30184	3378
V1504617	29475	3228
V1000116	29070	1770
V1421347	28501	957
V1000548	28183	663
V1345818	27931	1629
V1000886	26736	1290
V1200593	26011	1335
V1189108	25998	366
V1500383	25960	1317
V1010364	25921	1425
V1568319	25756	633
V1093074	25657	510
V1083372	25616	1656
V1190266	25392	1617
V1194965	25319	1800
V1430275	24816	1515
V1011087	24506	1812
V1067558	24378	1020
V1420630	23512	816
V1143274	23479	1368
V1576144	23386	1308
V1912442	23303	996
V1001368	23074	990
V1369262	22674	1353
V1067559	22662	1254
V1065438	22094	1620
V1574099	21736	798
V1464170	21464	1515
V1267384	21431	1911
V1553877	21353	807
V1000487	21233	915
V1041445	20589	366
V1066640	20517	1230
V1235913	20434	1551
V1420620	20230	2385
V1000527	19951	2091
V1000842	19895	753
V1541158	19834	582
V1294607	19470	306
V1065923	18890	1398
V1000305	18704	1287
V1394860	18623	438
V1577340	18599	1074
V1144133	18539	426
V1851980	18533	1823
V1557734	18437	1302
V1000841	18249	570
V1504616	18036	1911
V1036606	17969	501
V1158426	17802	810
V1346782	17581	1626
V1000547	17215	1104
V1430573	17165	360
V1195882	17151	870
V1000018	17128	675
V1339929	17091	981
V1000943	17070	426
V1000596	16684	1635
V1851961	16671	2178
V1886719	16601	753
V1393615	16510	1734
V1006020	16459	837
V1073967	16347	564
V1000641	15918	756
V1265423	15829	660
V1164548	15759	3666
V1000642	15727	1299
V1033869	15715	537
V1066925	15539	2259
V1013090	15476	993
V1237635	15434	1389
V1491685	15425	1116
V1067937	15320	732
V1181275	15190	9150
V1345442	15023	2652
V1066648	14588	3939
V1000017	14403	438
V1000021	14392	630
V1033803	14170	960
V1322633	14051	105
V1000079	13966	2448
V1356102	13942	1191
V1481435	13853	1740
V1043485	13802	309
V1421438	13749	843
V1099396	13733	1224
V1380123	13601	855
V1000534	13513	720
V1067099	13493	984
V1431607	13390	441
V1357366	13302	1173
V1067061	13285	1788
V1000171	13099	1752
V1066910	12849	1548
V1547327	12772	2220
V1381099	12738	741
V1064214	12673	459
V1000008	12611	651
V1067088	12457	864
V1507021	12454	1353
V1273194	12436	1503
V1566034	12390	1191
V1524769	12380	2676
V1482595	12316	621
V1268218	12310	1563
V1201618	12229	2289
V1340131	12159	774
V1067454	12125	1887
V1046766	11980	9891
V1012671	11955	1380
V1445321	11925	5901
V1345817	11916	270
V1464057	11875	2211
V1464061	11870	2016
V1836823	11845	375
V1167440	11803	1344
V1464058	11725	2184
V1068288	11661	2619
V1014074	11638	2289
V1851967	11625	1083
V1541236	11620	678
V1011086	11417	999
V1583520	11334	2082
V1491714	11251	1425
V1392216	10966	1011
V1391945	10939	936
V1886517	10939	576
V1149854	10895	366
V1168352	10813	477
V1883290	10789	2748
V1375425	10741	1464
V1380851	10676	789
V1504360	10670	2523
V1588398	10647	381
V1066613	10618	912
V1553939	10591	1071
V1037687	10540	1632
V1201556	10501	3837
V1364867	10489	120
V1010072	10485	1101
V1145959	10389	747
V1143984	10235	573
V1066641	10234	2070
V1033902	10233	447
V1042479	10220	1020
V1306539	10194	552
V1068297	10107	1371
V1066917	10030	2718
V1356383	9995	897
V1436641	9961	2274
V1040877	9957	1614
V1346922	9957	1440
V1852084	9946	366
V1000005	9842	390
V1554033	9796	279
V1574166	9723	1215
V1440651	9607	1278
V1065433	9574	1338
V1011088	9571	1143
V1143275	9543	2379
V1482601	9529	2610
V1000007	9504	252
V1352031	9465	195
V1067037	9463	1017
V1065535	9448	1464
V1552772	9439	1770
V1013127	9427	1218
V1295007	9411	2709
V1547317	9390	2259
V1886416	9292	1017
V1067114	9283	1686
V1195014	9278	1347
V1099403	9270	1590
V1010370	9194	2184
V1358422	9176	594
V1427838	9089	99
V1414152	9070	777
V1580955	9044	588
V1373597	9033	2601
V1549500	9009	951
V1581637	8992	351
V1200739	8974	930
V1464364	8913	1026
V1042355	8838	987
V1482513	8809	2103
V1504607	8789	852
V1356603	8782	1437
V1000519	8744	1638
V1560688	8730	2004
V1066171	8720	1098
V1295099	8720	1380
V1580898	8701	516
V1070026	8652	2526
V1042097	8634	1200
V1006727	8546	1188
V1066614	8519	966
V1482600	8485	1941
V1887021	8458	1341
V1000845	8454	1341
V1346640	8410	1248
V1007060	8397	1011
V1345647	8334	873
V1295196	8330	1386
V1422203	8245	462
V1445683	8238	948
V1553666	8223	1374
V1010069	8214	1395
V1481324	8172	1434
V1065536	8135	1425
V1592992	8082	1509
V1357096	8054	1305
V1552804	8034	1335
V1233016	8005	1404
V1000840	7975	954
V1074835	7970	1629
V1014673	7938	1458
V1513559	7919	456
V1432496	7903	108
V1000326	7901	1932
V1111738	7871	321
V1000040	7867	2190
V1067560	7768	747
V1174639	7763	156
V1000011	7739	360
V1564971	7734	1137
V1481366	7730	930
V1297356	7720	630
V1000518	7700	807
V1467466	7700	192
V1386220	7694	2121
V1070282	7673	1932
V1177462	7511	282
V1886605	7479	903
V1346547	7454	1173
V1000638	7417	1068
V1233560	7385	987
V1066642	7356	537
V1066927	7351	2667
V1067581	7343	1686
