gene	geneProduct
V1547417	Putative endo-beta-N-acetylglucosaminidase precursor
V1013092	Formate acetyltransferase
V1000004	DNA-directed RNA polymerase subunit alpha
V1016072	DNA replication initiation protein gpA
V1836803	Beta-N-acetylhexosaminidase precursor
V1000546	Maltose/maltodextrin-binding protein precursor
V1000122	Elongation factor Tu
V1016074	capsid protein
V1046766	C protein alpha-antigen precursor
V1464571	Elongation factor Tu-B
V1852109	gram-positive signal peptide%2C YSIRK family
V1006735	gram-positive signal peptide%2C YSIRK family
V1016073	minor spike protein
V1150346	hypothetical protein
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1000943	50S ribosomal protein L11
V1265423	hypothetical protein
V1000018	hypothetical protein
V1000549	Maltose phosphorylase
V1000527	Vegetative protein 19
V1073967	50S ribosomal protein L10
V1431607	50S ribosomal protein L21
V1000017	50S ribosomal protein L16
V1013090	Fructose-bisphosphate aldolase
V1481433	hypothetical protein
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1008596	hypothetical protein
V1000640	Phosphoglycerate kinase
V1357141	hypothetical protein
V1000021	50S ribosomal protein L3
V1394807	Elongation factor Tu
V1000116	Pyruvate kinase
V1000545	Maltose transport system permease protein MalF
V1000487	Fructose-bisphosphate aldolase
V1067936	Formate acetyltransferase
V1000008	Adenylate kinase
V1541158	major spike protein
V1000642	Enolase
V1201618	Formate acetyltransferase
V1037687	Stress protein H5
V1000548	Beta-phosphoglucomutase
V1154539	Glyceraldehyde-3-phosphate dehydrogenase
V1010364	Outer membrane protein alpha precursor
V1006020	50S ribosomal protein L2
V1195882	Fructose-bisphosphate aldolase
V1385524	hypothetical protein
V1011087	Heat shock protein 70
V1852084	50S ribosomal protein L23
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1010069	ATP synthase subunit beta%2C sodium ion specific
V1000305	Enolase
V1367500	Outer membrane porin F precursor
V1912442	6-phosphofructokinase
V1000840	F-ATPase gamma subunit
V1000842	F-ATPase subunit 6
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1000005	30S ribosomal protein S11
V1001368	EIIAB-Man
V1000841	F-type ATPase subunit delta
V1000080	hypothetical protein
V1574099	PTS system mannose-specific EIIC component
V1445138	hypothetical protein
V1036606	F-type ATPase subunit b
V1066646	Maltose/maltodextrin-binding protein precursor
V1358470	Formate acetyltransferase 1
V1310212	Beta-N-acetylhexosaminidase precursor
V1317731	hypothetical protein
V1580898	hypothetical protein
V1000007	Translation initiation factor IF-1
V1012671	V-type sodium pump subunit B
V1000129	Tyrosine phosphorylated protein A
V1051831	Phosphoenolpyruvate carboxykinase [ATP]
V1464847	hypothetical protein
V1010067	ATP synthase subunit alpha%2C sodium ion specific
V1007060	Glyceraldehyde-3-phosphate dehydrogenase
V1000011	50S ribosomal protein L18
V1039094	hypothetical protein
V1852083	50S ribosomal protein L5
V1306539	50S ribosomal protein L13
V1141150	Enolase
V1547956	hypothetical protein
V1064214	external scaffolding protein
V1099396	Cyclodextrin-binding protein precursor
V1000013	30S ribosomal protein S8
V1265292	hypothetical protein
V1010370	Ferrous iron transport protein B
V1000003	hypothetical protein
V1594514	ATP synthase subunit beta%2C sodium ion specific
V1552777	Translation initiation factor IF-2
V1140670	ATP synthase subunit alpha%2C sodium ion specific
V1267384	Procyclic acidic repetitive protein (PARP)
V1581223	Helix-destabilizing protein
V1074835	hypothetical protein
V1070848	putative NADH oxidase
V1050687	hypothetical protein
V1000014	50S ribosomal protein L14
V1000528	30S ribosomal protein S7
V1000079	DNA gyrase subunit A
V1491714	30S ribosomal protein S1
V1108928	ATP synthase subunit beta%2C sodium ion specific
V1014080	Elongation factor G
V1014074	Formate acetyltransferase
V1073455	Phosphoenolpyruvate carboxykinase [ATP]
V1008929	Glyceraldehyde-3-phosphate dehydrogenase A
V1375517	Outer membrane porin F precursor
V1011086	Heat-inducible transcription repressor HrcA
V1481366	30S ribosomal protein S1
V1011843	Elongation factor Tu
V1158426	PTS system mannose-specific EIIC component
V1145959	Formate acetyltransferase 1
V1155393	Vegetative protein 19
V1014358	Pyruvate kinase I
V1138974	Heat shock protein 70
V1340115	Lactose phosphotransferase system repressor
V1099189	30S ribosomal protein S2
V1852133	Translation initiation factor IF-3
V1000143	Elongation factor Ts
V1197020	Formate acetyltransferase 1
V1010605	Heat shock protein 70
V1836804	Lysine--tRNA ligase
V1887021	Trigger factor
V1000012	50S ribosomal protein L6
V1052940	hypothetical protein
V1000944	50S ribosomal protein L1
V1175702	hypothetical protein
V1503164	Serine-rich repeat protein GspB
V1607555	Beta-N-acetylhexosaminidase precursor
V1074069	hypothetical protein
V1067673	Elongation factor Tu
V1008595	co-chaperonin GroES
V1000171	Oligopeptide-binding protein AppA precursor
V1013969	Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit alpha
V1075411	Vegetative protein 19
V1201700	hypothetical protein
V1015469	Electron transfer flavoprotein large subunit
V1200593	Multiple sugar-binding protein precursor
V1010034	Flavodoxin
V1139691	preprotein translocase subunit SecY
V1266125	Formate acetyltransferase
V1238174	Vegetative protein 300
V1000570	Rod shape-determining protein MreB
V1000547	Trehalose import ATP-binding protein SugC
V1144133	hypothetical protein
V1012672	V-type sodium ATPase catalytic subunit A
V1012333	Enolase
V1006727	30S ribosomal protein S1
V1585494	hypothetical protein
V1085663	co-chaperonin GroES
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1394176	PTS system galactitol-specific EIIC component
V1099054	putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW precursor
V1047883	RlpA-like protein precursor
V1156712	Haemagglutinin
V1139821	V-type ATP synthase subunit I
V1012379	Flavodoxin
V1015220	30S ribosomal protein S2
