Gene	category	Annotation	COGID
V1034630	P	DNA protection during starvation protein	COG0783
V1448552	S	NA	0XUM5
V1423289	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1000639	G	Glyceraldehyde-3-phosphate dehydrogenase	COG0057
V1464571	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1882989	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1000122	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)	COG0050
V1577228	O	Acts as a chaperone (By similarity)	COG0443
V1000642	G	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)	COG0148
V1503141	M	Inherit from COG: Cell wall binding repeat 2-containing protein	COG2247
V1000638	K	regulatoR	COG2390
V1872766	F	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides (By similarity)	COG0209
V1851961	O	ATP-dependent clp protease, ATP-binding subunit	COG0542
V1136203	O	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)	COG0533
V1203355	O	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity)	COG0484
V1000534	G	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate (By similarity)	COG0588
V1339929	C	L-lactate dehydrogenase	COG0039
V1136222	O	Heat shock protein	COG0071
V1000596	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)	COG0459
V1000487	G	Aldolase	COG0191
