gene	count	length
V1046751	385043	1299
V1836803	161346	1284
V1000546	143527	1215
V1000545	98549	1350
V1000639	90807	1017
V1362340	79954	7902
V1044382	78537	429
V1578275	77081	1341
V1093074	76668	510
V1016072	75623	1569
V1464571	73247	1452
V1000122	70161	1191
V1577228	68841	1896
V1012818	66988	1146
V1310212	65930	1236
V1000549	63492	2274
V1000116	61080	1770
V1016074	60326	1284
V1430275	57760	1515
V1423289	53260	1266
V1000004	52502	939
V1912442	50391	996
V1016073	48839	987
V1464170	46515	1515
V1851967	45052	1083
V1265423	41547	660
V1851961	41243	2178
V1000640	40881	1215
V1464284	40412	1134
V1001368	40227	990
V1201618	39795	2289
V1000841	37630	570
V1576144	37486	1308
V1000548	37154	663
V1043485	37130	309
V1177462	36919	282
V1000527	36728	2091
V1000642	36338	1299
V1367011	35380	150
V1000886	35182	1290
V1574099	35068	798
V1144133	35060	426
V1000018	33993	675
V1164548	33625	3666
V1037687	32085	1632
V1158426	31551	810
V1430573	31251	360
V1036606	31235	501
V1339929	30114	981
V1085663	29973	447
V1620445	29927	381
V1000596	29491	1635
V1167440	28912	1344
V1000547	28858	1104
V1067144	28347	1623
V1033721	27952	1614
V1356383	27845	897
V1000305	27606	1287
V1000519	27382	1638
V1431607	27206	441
V1541158	26831	582
V1198530	26645	1473
V1000840	26231	954
V1203355	25953	1143
V1073967	25901	564
V1033869	25729	537
V1000842	25696	753
V1000943	25189	426
V1295109	24587	1578
V1340115	24073	798
V1295229	23797	96
V1000487	23578	915
V1000017	23413	438
V1000518	23106	807
V1084381	22461	2592
V1607555	22460	900
V1000641	22446	756
V1265557	22379	1425
V1000008	22198	651
V1006735	22076	1347
V1015469	21971	1017
V1010320	21797	1434
V1391945	21731	936
V1306539	21718	552
V1552772	21648	1770
V1138803	21425	1914
V1195882	21352	870
V1493841	20952	996
V1886416	20632	1017
V1852142	20559	1302
V1074069	20506	1629
V1014074	20477	2289
V1882989	20266	7992
V1000171	20253	1752
V1482595	19994	621
V1481435	19918	1740
V1006736	19899	1020
V1033803	19754	960
V1358422	19629	594
V1000079	19412	2448
V1006727	19234	1188
V1392216	19142	1011
V1851977	18872	930
V1000534	18775	720
V1014517	18631	1407
V1000040	18532	2190
V1420584	18454	492
V1503142	18417	2511
V1000021	18059	630
V1482513	17964	2103
V1340164	17897	747
V1836823	17896	375
V1522030	17838	948
V1879950	17767	882
V1266125	17745	2265
V1000627	17702	1632
V1144210	17656	402
V1886517	17353	576
V1000134	17248	549
V1101641	17204	597
V1033902	17081	447
V1064214	16987	459
V1553528	16539	828
V1436641	16426	2274
V1385524	16413	1176
V1503141	16308	9558
V1366884	16269	276
V1012379	16225	414
V1000638	16067	1068
V1000845	15945	1341
V1042355	15860	987
V1295196	15666	1386
V1852085	15567	2775
V1006020	15523	837
V1000181	15513	930
V1541236	15390	678
V1010364	15298	1425
V1375437	15168	1656
V1886405	15167	2478
V1000080	15148	297
V1594784	15046	915
V1169826	14941	2679
V1886336	14933	282
V1175702	14856	627
V1000184	14780	1218
V1368901	14774	927
V1481324	14763	1434
V1069215	14762	1914
V1580898	14733	516
V1879848	14710	324
V1374406	14602	810
V1381099	14602	741
V1009698	14496	564
V1852066	14492	4281
V1851982	14465	1587
V1000551	14460	1749
V1010605	14266	1854
V1889488	14224	333
V1009707	14082	1338
V1000143	13930	879
V1423331	13738	2805
V1879847	13705	330
V1597201	13565	795
V1430517	13546	1413
V1000944	13544	693
V1886605	13375	903
V1013795	13245	1020
V1143377	13243	1899
V1852084	13074	366
V1138767	12913	1794
V1238174	12779	567
V1879849	12641	195
V1469467	12605	441
V1364467	12595	852
V1000821	12558	1101
V1151454	12558	2709
V1010370	12474	2184
V1000844	12267	1230
V1297356	12100	630
V1552804	12027	1335
V1394389	11951	1239
V1886629	11855	888
V1580955	11854	588
V1036425	11796	558
V1000499	11727	1440
V1000003	11647	384
V1509590	11601	126
V1340131	11572	774
V1852083	11485	588
V1884213	11456	3552
V1559864	11438	1614
V1413201	11402	2775
V1238012	11359	723
V1143984	11271	573
V1541135	11111	1668
V1552777	10991	3591
V1501870	10907	507
V1337647	10839	543
V1075411	10822	933
V1547338	10720	291
V1000630	10648	2400
V1000475	10644	279
V1000011	10608	360
V1068836	10598	2055
V1000594	10593	3192
V1364867	10554	120
V1851964	10538	510
V1851966	10523	8442
V1728013	10509	441
V1013250	10451	222
V1080812	10412	2115
V1836804	10395	1512
V1000528	10361	471
V1014932	10350	1569
V1000014	10324	369
V1038350	10292	897
V1886635	10207	849
V1000564	10170	1263
V1036980	10164	1644
V1592992	10062	1509
V1000012	10058	531
V1012052	9977	1170
V1000013	9945	399
V1171078	9801	717
V1364877	9774	441
V1000109	9759	1314
V1553663	9705	2079
V1012820	9696	1287
V1144748	9653	573
V1483966	9637	1959
V1163596	9593	7965
V1000129	9590	1899
V1499093	9567	195
V1036164	9504	1626
V1299127	9473	2154
V1851995	9456	954
V1886409	9386	618
V1553636	9376	1332
V1884198	9357	1245
