gene	geneProduct
V1046751	gram-positive signal peptide%2C YSIRK family
V1836803	Beta-N-acetylhexosaminidase precursor
V1000546	Maltose/maltodextrin-binding protein precursor
V1000545	Maltose transport system permease protein MalF
V1000639	Glyceraldehyde-3-phosphate dehydrogenase
V1362340	Putative Ig domain protein
V1044382	Spore protein SP21
V1016072	DNA replication initiation protein gpA
V1464571	Elongation factor Tu-B
V1000122	Elongation factor Tu
V1012818	Acyl-CoA dehydrogenase%2C short-chain specific
V1310212	Beta-N-acetylhexosaminidase precursor
V1000549	Maltose phosphorylase
V1000116	Pyruvate kinase
V1016074	capsid protein
V1000004	DNA-directed RNA polymerase subunit alpha
V1912442	6-phosphofructokinase
V1016073	minor spike protein
V1851967	Heat-inducible transcription repressor HrcA
V1265423	hypothetical protein
V1851961	ATP-dependent Clp protease ATP-binding subunit ClpE
V1000640	Phosphoglycerate kinase
V1001368	EIIAB-Man
V1201618	Formate acetyltransferase
V1000841	F-type ATPase subunit delta
V1000548	Beta-phosphoglucomutase
V1000527	Vegetative protein 19
V1000642	Enolase
V1000886	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1574099	PTS system mannose-specific EIIC component
V1144133	hypothetical protein
V1000018	hypothetical protein
V1037687	Stress protein H5
V1158426	PTS system mannose-specific EIIC component
V1036606	F-type ATPase subunit b
V1339929	L-lactate dehydrogenase
V1085663	co-chaperonin GroES
V1000596	Stress protein H5
V1167440	6-phospho-alpha-glucosidase 1
V1000547	Trehalose import ATP-binding protein SugC
V1067144	hypothetical protein
V1000305	Enolase
V1000519	PTS system maltose-specific EIICB component
V1431607	50S ribosomal protein L21
V1541158	major spike protein
V1198530	PTS system galactitol-specific EIIC component
V1000840	F-ATPase gamma subunit
V1203355	Chaperone protein DnaJ
V1073967	50S ribosomal protein L10
V1000842	F-ATPase subunit 6
V1000943	50S ribosomal protein L11
V1295109	Thiol-activated cytolysin
V1340115	Lactose phosphotransferase system repressor
V1000487	Fructose-bisphosphate aldolase
V1000017	50S ribosomal protein L16
V1000518	Glv operon regulatory protein
V1084381	Chaperone protein ClpB 1
V1607555	Beta-N-acetylhexosaminidase precursor
V1000641	Triosephosphate isomerase
V1265557	Outer membrane protein alpha precursor
V1000008	Adenylate kinase
V1006735	gram-positive signal peptide%2C YSIRK family
V1015469	Electron transfer flavoprotein large subunit
V1010320	putative FAD-linked oxidoreductase
V1391945	product=Deoxyuridine 5'-triphosphate nucleotidohydrolase
V1306539	50S ribosomal protein L13
V1552772	Pyruvate kinase
V1138803	Heat shock protein 70
V1195882	Fructose-bisphosphate aldolase
V1493841	Beta-N-acetylhexosaminidase precursor
V1852142	gram-positive signal peptide%2C YSIRK family
V1074069	hypothetical protein
V1014074	Formate acetyltransferase
V1000171	Oligopeptide-binding protein AppA precursor
V1006736	Beta-N-acetylhexosaminidase precursor
V1000079	DNA gyrase subunit A
V1006727	30S ribosomal protein S1
V1392216	Stress protein H5
V1851977	Lipopolysaccharide export system ATP-binding protein LptB
V1000534	2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
V1014517	pyrroloquinoline quinone biosynthesis protein PqqE
V1000040	Anaerobic ribonucleoside-triphosphate reductase
V1503142	hypothetical protein
V1000021	50S ribosomal protein L3
V1836823	hypothetical protein
V1522030	Beta-N-acetylhexosaminidase precursor
V1266125	Formate acetyltransferase
V1000627	Ribonuclease Y
V1000134	HSP-70 cofactor
V1064214	external scaffolding protein
V1553528	Beta-N-acetylhexosaminidase precursor
V1385524	hypothetical protein
V1503141	LPXTG cell wall anchor domain protein
V1366884	co-chaperonin GroES
V1012379	Flavodoxin
V1000638	Central glycolytic genes regulator
V1000845	Glucose-6-phosphate isomerase
V1042355	EIIAB-Man
V1295196	Cell division protein FtsA
V1852085	Magnesium-transporting ATPase%2C P-type 1
V1006020	50S ribosomal protein L2
V1000181	Energy-coupling factor transporter ATP-binding protein EcfA2
V1010364	Outer membrane protein alpha precursor
V1000080	hypothetical protein
V1594784	Diacylglycerol kinase
V1169826	Chaperone protein ClpB 1
V1886336	Phosphocarrier protein HPr
V1175702	hypothetical protein
V1000184	Bacteriophage peptidoglycan hydrolase
V1368901	Maltose/maltodextrin-binding protein precursor
V1069215	Heat shock protein 70
V1580898	hypothetical protein
V1381099	F-ATPase gamma subunit
V1009698	Alkyl hydroperoxide reductase subunit C
V1852066	hypothetical protein
V1851982	putative ABC transporter ATP-binding protein YheS
V1000551	Intracellular maltogenic amylase
V1010605	Heat shock protein 70
V1009707	putative NADH oxidase
V1000143	Elongation factor Ts
V1423331	Magnesium-transporting ATPase%2C P-type 1
V1430517	PTS system galactitol-specific EIIC component
V1000944	50S ribosomal protein L1
V1013795	Nucleoside triphosphate pyrophosphohydrolase
V1143377	EIIABC-Fru
V1852084	50S ribosomal protein L23
V1138767	Fimbrial subunit type 1 precursor
V1238174	Vegetative protein 300
V1000821	Lyzozyme M1 (1%2C4-beta-N-acetylmuramidase)
V1151454	Chaperone protein ClpB 1
V1010370	Ferrous iron transport protein B
V1000844	ABC-2 family transporter protein
V1394389	Cyclodextrin-binding protein precursor
V1580955	Heat shock protein 70
V1036425	hypothetical protein
V1000499	Glutamyl-tRNA(Gln) amidotransferase subunit A
V1000003	hypothetical protein
V1852083	50S ribosomal protein L5
V1884213	Pyruvate-flavodoxin oxidoreductase
V1413201	hypothetical protein
V1552777	Translation initiation factor IF-2
V1075411	Vegetative protein 19
V1000630	preprotein translocase subunit SecA
V1000475	hypothetical protein
V1000011	50S ribosomal protein L18
V1068836	High temperature protein G
V1000594	Carbamoyl-phosphate synthase large chain
V1851964	hypothetical protein
V1851966	Internalin-J precursor
V1013250	Cold shock protein CspC
V1080812	High temperature protein G
V1836804	Lysine--tRNA ligase
V1000528	30S ribosomal protein S7
V1014932	Oligopeptide-binding protein AppA precursor
V1000014	50S ribosomal protein L14
V1038350	putative 3-hydroxybutyryl-CoA dehydrogenase
V1000564	Cell division protein FtsZ
V1036980	Acetate CoA-transferase YdiF
V1000012	50S ribosomal protein L6
V1012052	Putative tagatose-6-phosphate ketose/aldose isomerase
V1000013	30S ribosomal protein S8
V1171078	Uracil phosphoribosyltransferase
V1364877	F-ATPase epsilon subunit
V1000109	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
V1012820	(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha
V1483966	phage head morphogenesis protein%2C SPP1 gp7 family
V1163596	Internalin-J precursor
V1000129	Tyrosine phosphorylated protein A
V1499093	co-chaperonin GroES
V1036164	Stress protein H5
V1299127	Penicillin-binding protein B
V1851995	Ribosomal RNA small subunit methyltransferase H
V1884198	Acetyl-CoA acetyltransferase
V1000108	ATP-dependent protease subunit HslV
V1491714	30S ribosomal protein S1
V1239597	Dark-response protein 21
V1887021	Trigger factor
V1085154	hypothetical protein
V1852094	Adenylosuccinate lyase
V1884207	Maltose transport system permease protein MalF
V1851978	sn-glycerol-3-phosphate-binding periplasmic protein UgpB precursor
V1362785	maltose ABC transporter periplasmic protein
V1037512	hypothetical protein
V1851960	product=hypothetical protein
V1153964	Acyl-CoA dehydrogenase%2C short-chain specific
V1400264	putative DnaQ family exonuclease/DinG family helicase
V1060343	F-type ATPase subunit delta
V1059001	Phosphoenolpyruvate-protein phosphotransferase
V1852109	gram-positive signal peptide%2C YSIRK family
V1012925	Phosphate acetyltransferase
V1070888	Thiol-activated cytolysin
V1339706	PTS system mannose-specific EIIC component
V1574088	hypothetical protein
V1000005	30S ribosomal protein S11
V1218477	Prolyl oligopeptidase family protein
V1000144	Vegetative protein 209
V1001394	Telomeric repeat-binding factor 2
V1000570	Rod shape-determining protein MreB
V1000603	Putative Holliday junction resolvase
V1009873	Rubredoxin-oxygen oxidoreductase
V1010716	hypothetical protein
V1017544	Elongation factor Tu
V1000326	Threonine--tRNA ligase
V1166924	Heat shock protein 70
V1852133	Translation initiation factor IF-3
V1547956	hypothetical protein
V1237835	Glutathione transport system permease protein GsiC
V1000075	Ribonuclease P protein component
V1036256	Maltodextrin-binding protein
V1000001	30S ribosomal protein S9
V1381169	DNA-directed RNA polymerase subunit beta
V1400074	ATP-dependent protease ATPase subunit ClpY
V1000007	Translation initiation factor IF-1
V1012602	Acetate kinase
V1064200	Alpha-glycerophosphate oxidase
V1012053	Fructose-specific phosphotransferase enzyme IIB component
V1581223	Helix-destabilizing protein
V1064534	DNA-directed RNA polymerase subunit beta
V1037377	Rubrerythrin
V1016291	pyridoxamine 5'-phosphate oxidase%2C FMN-binding family
V1000117	Ribonuclease Z
V1367240	flagellar basal body-associated protein FliL
V1000885	Ribonuclease J 1
V1000082	Replicative DNA helicase
V1612021	Cell division protein SepF
V1162881	Phosphoglucomutase
V1000466	Galactose-6-phosphate isomerase subunit LacA
V1836800	Protein involved in sex pheromone biosynthesis
V1852039	RNAP delta factor
V1469282	Glutathione transport system permease protein GsiC
V1000323	Tagatose-6-phosphate kinase
V1073455	Phosphoenolpyruvate carboxykinase [ATP]
V1852121	Thioredoxin reductase
V1067673	Elongation factor Tu
V1043994	Elongation factor Ts
V1000168	Isoleucine--tRNA ligase
V1001468	Leucine--tRNA ligase
V1481366	30S ribosomal protein S1
V1036259	4-alpha-glucanotransferase
V1016891	Helix-destabilizing protein
V1036177	Fimbrial subunit type 1 precursor
V1420563	DNA gyrase subunit B
V1034595	putative endopeptidase precursor
V1076330	Helix-destabilizing protein
V1000835	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
V1000604	hypothetical protein
V1367057	DNA-directed RNA polymerase subunit beta'
V1836820	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
V1198628	hypothetical protein
V1012819	(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta
V1000172	Stage 0 sporulation protein KC
V1362379	hypothetical protein
V1394176	PTS system galactitol-specific EIIC component
V1046752	Beta-N-acetylhexosaminidase precursor
V1553529	Beta-N-acetylhexosaminidase precursor
V1006021	hypothetical protein
V1384350	30S ribosomal protein S7
V1166870	Outer membrane protein alpha precursor
V1011483	DNA protection during starvation protein
V1580786	PTS system mannose-specific EIIC component
