Gene	KEGG_pathwayID	Annotation
V1013090	map00710	Carbon fixation in photosynthetic organisms
V1067936	map00650	Butanoate metabolism
V1788382	map05100	Bacterial invasion of epithelial cells
V1007084	map03010	Ribosome
V1066646	map02030	Bacterial chemotaxis
V1235967	map02040	Flagellar assembly
V1237635	map04626	Plant-pathogen interaction
V1007060	map05010	Alzheimer's disease
V1013092	map00650	Butanoate metabolism
V1200593	map02010	ABC transporters
V1066925	map02010	ABC transporters
V1074835	map05010	Alzheimer's disease
V1012333	map03018	RNA degradation
V1067558	map05010	Alzheimer's disease
V1065438	map05152	Tuberculosis
V1066648	map03020	RNA polymerase
V1065869	map05100	Bacterial invasion of epithelial cells
V1393635	map04626	Plant-pathogen interaction
V1066640	map04626	Plant-pathogen interaction
V1553939	map03010	Ribosome
V1341867	map03010	Ribosome
V1067099	map00680	Methane metabolism
V1067559	map00710	Carbon fixation in photosynthetic organisms
V1612758	map04626	Plant-pathogen interaction
V1065536	map04930	Type II diabetes mellitus
V1069093	map00903	Limonene and pinene degradation
V1557734	map03018	RNA degradation
V1560688	map00190	Oxidative phosphorylation
V1066664	map02040	Flagellar assembly
V1235913	map00195	Photosynthesis
V1201556	map03020	RNA polymerase
V1067955	map03010	Ribosome
V1190192	map02030	Bacterial chemotaxis
V1067061	map00970	Aminoacyl-tRNA biosynthesis
V1295411	map00900	Terpenoid backbone biosynthesis
V1190195	map04626	Plant-pathogen interaction
V1067114	map00450	Selenocompound metabolism
V1067088	map00710	Carbon fixation in photosynthetic organisms
V1042097	map04626	Plant-pathogen interaction
V1237629	map04626	Plant-pathogen interaction
V1436794	map02030	Bacterial chemotaxis
V1014360	map00680	Methane metabolism
V1159100	map05152	Tuberculosis
V1067801	map04964	Proximal tubule bicarbonate reclamation
V1420994	map04626	Plant-pathogen interaction
V1065923	map00195	Photosynthesis
V1268218	map04626	Plant-pathogen interaction
V1516671	map03010	Ribosome
V1065938	map03440	Homologous recombination
V1067579	map02040	Flagellar assembly
V1190266	map02040	Flagellar assembly
V1103096	map00900	Terpenoid backbone biosynthesis
V1068288	map00650	Butanoate metabolism
V1007076	map02030	Bacterial chemotaxis
V1065580	map03020	RNA polymerase
V1015220	map03010	Ribosome
V1357096	map02030	Bacterial chemotaxis
V1349964	map05010	Alzheimer's disease
V1068964	map04112	Cell cycle - Caulobacter
V1066655	map02040	Flagellar assembly
V1380123	map00195	Photosynthesis
V1010451	map02030	Bacterial chemotaxis
V1066642	map03010	Ribosome
V1067348	map05152	Tuberculosis
V1574166	map04626	Plant-pathogen interaction
V1007844	map00650	Butanoate metabolism
V1067454	map05152	Tuberculosis
V1181936	map00650	Butanoate metabolism
V1067921	map00970	Aminoacyl-tRNA biosynthesis
V1421438	map05010	Alzheimer's disease
V1068294	map00240	Pyrimidine metabolism
V1559772	map03018	RNA degradation
V1066643	map03010	Ribosome
V1065939	map03010	Ribosome
V1375309	map05152	Tuberculosis
V1065326	map02030	Bacterial chemotaxis
V1067581	map02040	Flagellar assembly
V1066917	map00970	Aminoacyl-tRNA biosynthesis
