Gene	KEGG_module_number	Annotation
V1204502	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1338863	M00002	Glycolysis, core module involving three-carbon compounds
V1872766	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033557	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1033079	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1032617	M00222	Phosphate transport system
V1032631	M00197	Putative fructooligosaccharide transport system
V1033549	M00346	Formaldehyde assimilation, serine pathway
V1033096	M00183	RNA polymerase, bacteria
V1765286	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1033500	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1032513	M00179	Ribosome, archaea
V1032814	M00179	Ribosome, archaea
V1033097	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1032815	M00178	Ribosome, bacteria
V1885172	M00164	ATP synthase
V1032825	M00335	Sec (secretion) system
V1033558	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1872734	M00179	Ribosome, archaea
V1032826	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1033428	M00276	PTS system, mannose-specific II component
V1150427	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1033091	M00179	Ribosome, archaea
V1882237	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1046995	M00164	ATP synthase
V1032341	M00164	ATP synthase
V1032630	M00197	Putative fructooligosaccharide transport system
V1032616	M00222	Phosphate transport system
V1032615	M00222	Phosphate transport system
V1046991	M00164	ATP synthase
V1046993	M00164	ATP synthase
V1032632	M00197	Putative fructooligosaccharide transport system
V1032750	M00179	Ribosome, archaea
V1047181	M00207	Putative multiple sugar transport system
V1032818	M00179	Ribosome, archaea
V1032342	M00164	ATP synthase
V1884576	M00164	ATP synthase
V1032614	M00222	Phosphate transport system
V1032563	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1552772	M00002	Glycolysis, core module involving three-carbon compounds
V1424927	M00179	Ribosome, archaea
V1032829	M00178	Ribosome, bacteria
V1032620	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033332	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
V1883097	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1884566	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1032601	M00268	PTS system, alpha-glucoside-specific II component
V1032984	M00179	Ribosome, archaea
V1755587	M00179	Ribosome, archaea
V1884638	M00002	Glycolysis, core module involving three-carbon compounds
V1552800	M00178	Ribosome, bacteria
V1884555	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1883121	M00164	ATP synthase
V1032807	M00179	Ribosome, archaea
V1033085	M00258	Putative ABC transport system
V1032819	M00179	Ribosome, archaea
V1033331	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
V1033559	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1033346	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1046994	M00164	ATP synthase
V1032808	M00178	Ribosome, bacteria
V1033098	M00051	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
V1032820	M00179	Ribosome, archaea
V1338860	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1806575	M00125	Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD
V1047172	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1032575	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1047061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1887313	M00178	Ribosome, bacteria
V1033426	M00276	PTS system, mannose-specific II component
V1216924	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033413	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1047060	M00239	Peptides/nickel transport system
V1033302	M00335	Sec (secretion) system
V1034213	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1684155	M00183	RNA polymerase, bacteria
V1032715	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033427	M00276	PTS system, mannose-specific II component
V1032407	M00362	Nucleotide sugar biosynthesis, prokaryotes
V1883385	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033034	M00178	Ribosome, bacteria
V1884560	M00178	Ribosome, bacteria
V1032822	M00179	Ribosome, archaea
V1891261	M00183	RNA polymerase, bacteria
V1033782	M00002	Glycolysis, core module involving three-carbon compounds
V1684154	M00183	RNA polymerase, bacteria
V1032218	M00223	Phosphonate transport system
V1032824	M00179	Ribosome, archaea
V1796838	M00376	3-Hydroxypropionate bi-cycle
V1032979	M00178	Ribosome, bacteria
V1033902	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1034179	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1203697	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1884563	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1032809	M00179	Ribosome, archaea
V1032315	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1033414	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1032821	M00179	Ribosome, archaea
V1684153	M00179	Ribosome, archaea
V1032713	M00179	Ribosome, archaea
V1684156	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1206514	M00005	PRPP biosynthesis, ribose 5P => PRPP
V1033126	M00223	Phosphonate transport system
V1032571	M00376	3-Hydroxypropionate bi-cycle
V1882359	M00179	Ribosome, archaea
V1032381	M00374	Dicarboxylate-hydroxybutyrate cycle
V1033614	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1796878	M00223	Phosphonate transport system
V1032333	M00179	Ribosome, archaea
V1237175	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1033213	M00366	C10-C20 isoprenoid biosynthesis, plants
V1033416	M00050	Guanine ribonucleotide biosynthesis IMP => GDP,GTP
V1034200	M00258	Putative ABC transport system
V1032641	M00260	DNA polymerase III complex, bacteria
V1032811	M00179	Ribosome, archaea
V1032633	M00197	Putative fructooligosaccharide transport system
