Gene	KEGG_module_number	Annotation
V1066646	M00197	Putative fructooligosaccharide transport system
V1200593	M00197	Putative fructooligosaccharide transport system
V1066925	M00239	Peptides/nickel transport system
V1013090	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1067558	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1066648	M00183	RNA polymerase, bacteria
V1341867	M00179	Ribosome, archaea
V1557734	M00346	Formaldehyde assimilation, serine pathway
V1235913	M00164	ATP synthase
V1065536	M00002	Glycolysis, core module involving three-carbon compounds
V1067088	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1011847	M00222	Phosphate transport system
V1067955	M00179	Ribosome, archaea
V1553939	M00178	Ribosome, bacteria
V1436794	M00197	Putative fructooligosaccharide transport system
V1154539	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1007084	M00178	Ribosome, bacteria
V1201556	M00183	RNA polymerase, bacteria
V1065923	M00164	ATP synthase
V1010451	M00197	Putative fructooligosaccharide transport system
V1295411	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1007060	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1066917	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1139685	M00178	Ribosome, bacteria
V1074835	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1067061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1067559	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1068294	M00053	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP
V1008929	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1066613	M00276	PTS system, mannose-specific II component
V1380123	M00164	ATP synthase
V1012333	M00346	Formaldehyde assimilation, serine pathway
V1017150	M00178	Ribosome, bacteria
V1301930	M00178	Ribosome, bacteria
V1065580	M00183	RNA polymerase, bacteria
V1421438	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1203298	M00197	Putative fructooligosaccharide transport system
V1051831	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1010431	M00178	Ribosome, bacteria
V1066649	M00178	Ribosome, bacteria
V1344061	M00239	Peptides/nickel transport system
V1009516	M00346	Formaldehyde assimilation, serine pathway
V1201510	M00178	Ribosome, bacteria
V1065576	M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
V1687741	M00197	Putative fructooligosaccharide transport system
V1066642	M00179	Ribosome, archaea
V1067466	M00335	Sec (secretion) system
V1553877	M00276	PTS system, mannose-specific II component
V1295007	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1066643	M00179	Ribosome, archaea
V1229971	M00179	Ribosome, archaea
V1190263	M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
V1008589	M00178	Ribosome, bacteria
V1066927	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
V1200633	M00222	Phosphate transport system
V1065515	M00335	Sec (secretion) system
V1067450	M00178	Ribosome, bacteria
V1067921	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1010293	M00178	Ribosome, bacteria
V1110058	M00179	Ribosome, archaea
V1102799	M00239	Peptides/nickel transport system
V1012211	M00178	Ribosome, bacteria
V1069093	M00135	GABA biosynthesis, eukaryotes, putrescine => GABA
V1103096	M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway
V1362785	M00197	Putative fructooligosaccharide transport system
V1067111	M00258	Putative ABC transport system
V1464364	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1334911	M00179	Ribosome, archaea
V1066921	M00239	Peptides/nickel transport system
V1006672	M00178	Ribosome, bacteria
V1065939	M00178	Ribosome, bacteria
V1067560	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1141223	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1065349	M00178	Ribosome, bacteria
V1065446	M00178	Ribosome, bacteria
V1067072	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1066150	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1181710	M00121	Heme biosynthesis, glutamate => protoheme/siroheme
V1265517	M00206	Cellobiose transport system
V1723757	M00178	Ribosome, bacteria
V1140341	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1008255	M00179	Ribosome, archaea
V1200373	M00197	Putative fructooligosaccharide transport system
V1067905	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1009368	M00083	Fatty acid biosynthesis, elongation
V1141150	M00346	Formaldehyde assimilation, serine pathway
V1103115	M00197	Putative fructooligosaccharide transport system
