Gene	KEGG_module_number	Annotation
V1066646	M00197	Putative fructooligosaccharide transport system
V1073455	M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
V1200593	M00197	Putative fructooligosaccharide transport system
V1392272	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1421438	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1075033	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1067559	M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
V1235913	M00164	ATP synthase
V1067558	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1557734	M00346	Formaldehyde assimilation, serine pathway
V1138842	M00178	Ribosome, bacteria
V1072266	M00346	Formaldehyde assimilation, serine pathway
V1553877	M00276	PTS system, mannose-specific II component
V1065923	M00164	ATP synthase
V1066648	M00183	RNA polymerase, bacteria
V1079141	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
V1067061	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1152427	M00374	Dicarboxylate-hydroxybutyrate cycle
V1081813	M00164	ATP synthase
V1380123	M00164	ATP synthase
V1077152	M00179	Ribosome, archaea
V1067088	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1499048	M00183	RNA polymerase, bacteria
V1066613	M00276	PTS system, mannose-specific II component
V1066925	M00239	Peptides/nickel transport system
V1073738	M00179	Ribosome, archaea
V1201556	M00183	RNA polymerase, bacteria
V1272241	M00179	Ribosome, archaea
V1138313	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1081021	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1080453	M00335	Sec (secretion) system
V1152905	M00164	ATP synthase
V1139649	M00183	RNA polymerase, bacteria
V1067099	M00345	Formaldehyde assimilation, ribulose monophosphate pathway
V1073798	M00124	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P
V1553939	M00178	Ribosome, bacteria
V1295007	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1577002	M00179	Ribosome, archaea
V1073737	M00179	Ribosome, archaea
V1066927	M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
V1065536	M00002	Glycolysis, core module involving three-carbon compounds
V1464364	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1066614	M00276	PTS system, mannose-specific II component
V1085162	M00020	Serine biosynthesis, glycerate-3P => serine
V1080826	M00179	Ribosome, archaea
V1368958	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
V1075480	M00114	Ascorbate biosynthesis, plants, glucose-6P => ascorbate
V1277310	M00335	Sec (secretion) system
V1368901	M00197	Putative fructooligosaccharide transport system
V1140098	M00164	ATP synthase
V1076810	M00178	Ribosome, bacteria
V1083710	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1613141	M00179	Ribosome, archaea
V1082180	M00376	3-Hydroxypropionate bi-cycle
V1066917	M00360	Aminoacyl-tRNA biosynthesis, prokaryotes
V1076928	M00178	Ribosome, bacteria
V1082561	M00178	Ribosome, bacteria
V1138253	M00376	3-Hydroxypropionate bi-cycle
V1067560	M00003	Gluconeogenesis, oxaloacetate => fructose-6P
