	Systematic.name	cluster	cluster.size
gi|256843755|ref|NZ_GG698761.1|:226432-227106	gi|256843755|ref|NZ_GG698761.1|:226432-227106	1	1008
gi|423318302|ref|NZ_JH932288.1|:50907-54662	gi|423318302|ref|NZ_JH932288.1|:50907-54662	1	1008
gi|295691862|ref|NC_014106.1|:c1943717-1942419	gi|295691862|ref|NC_014106.1|:c1943717-1942419	1	1008
gi|295691862|ref|NC_014106.1|:270617-271852	gi|295691862|ref|NC_014106.1|:270617-271852	1	1008
gi|295691862|ref|NC_014106.1|:c1665004-1663805	gi|295691862|ref|NC_014106.1|:c1665004-1663805	1	1008
gi|312984231|ref|NZ_GL531748.1|:c6973-5933	gi|312984231|ref|NZ_GL531748.1|:c6973-5933	1	1008
gi|295691862|ref|NC_014106.1|:1997169-1999907	gi|295691862|ref|NC_014106.1|:1997169-1999907	1	1008
gi|256842701|ref|NZ_GG698760.1|:194216-197017	gi|256842701|ref|NZ_GG698760.1|:194216-197017	1	1008
gi|295691862|ref|NC_014106.1|:536739-537659	gi|295691862|ref|NC_014106.1|:536739-537659	1	1008
gi|312984348|ref|NZ_GL531752.1|:c14472-12472	gi|312984348|ref|NZ_GL531752.1|:c14472-12472	1	1008
gi|295691862|ref|NC_014106.1|:395910-397835	gi|295691862|ref|NC_014106.1|:395910-397835	1	1008
gi|312977809|ref|NZ_GL531739.1|:c42373-40118	gi|312977809|ref|NZ_GL531739.1|:c42373-40118	1	1008
gi|312977560|ref|NZ_GL531738.1|:c175490-174927	gi|312977560|ref|NZ_GL531738.1|:c175490-174927	1	1008
gi|295691862|ref|NC_014106.1|:c1378241-1375053	gi|295691862|ref|NC_014106.1|:c1378241-1375053	1	1008
gi|295691862|ref|NC_014106.1|:769246-769752	gi|295691862|ref|NC_014106.1|:769246-769752	1	1008
gi|295691862|ref|NC_014106.1|:c1503821-1502772	gi|295691862|ref|NC_014106.1|:c1503821-1502772	1	1008
gi|295691862|ref|NC_014106.1|:318237-318542	gi|295691862|ref|NC_014106.1|:318237-318542	1	1008
gi|295691862|ref|NC_014106.1|:c1270492-1269908	gi|295691862|ref|NC_014106.1|:c1270492-1269908	1	1008
gi|295691862|ref|NC_014106.1|:c1906391-1905033	gi|295691862|ref|NC_014106.1|:c1906391-1905033	1	1008
gi|295691862|ref|NC_014106.1|:957680-958591	gi|295691862|ref|NC_014106.1|:957680-958591	1	1008
