Gene	KEGG_pathwayID	Annotation
V1000546	map02030	Bacterial chemotaxis
V1000122	map04626	Plant-pathogen interaction
V1000004	map03020	RNA polymerase
V1012818	map00650	Butanoate metabolism
V1000549	map00500	Starch and sucrose metabolism
V1001368	map02060	Phosphotransferase system (PTS)
V1464571	map04626	Plant-pathogen interaction
V1576144	map03070	Bacterial secretion system
V1574099	map02060	Phosphotransferase system (PTS)
V1000171	map02010	ABC transporters
V1201618	map00650	Butanoate metabolism
V1000545	map02010	ABC transporters
V1000639	map05010	Alzheimer's disease
V1181469	map03018	RNA degradation
V1000018	map03010	Ribosome
V1000943	map03010	Ribosome
V1000548	map00500	Starch and sucrose metabolism
V1037687	map05152	Tuberculosis
V1164548	map03020	RNA polymerase
V1158426	map02060	Phosphotransferase system (PTS)
V1043485	map03010	Ribosome
V1172048	map02030	Bacterial chemotaxis
V1344061	map02010	ABC transporters
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1000116	map04930	Type II diabetes mellitus
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1073967	map03010	Ribosome
V1430275	map00195	Photosynthesis
V1724685	map02010	ABC transporters
V1431607	map03010	Ribosome
V1464170	map00195	Photosynthesis
V1000017	map03010	Ribosome
V1176226	map00650	Butanoate metabolism
V1181282	map00500	Starch and sucrose metabolism
V1000008	map00230	Purine metabolism
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1266145	map00270	Cysteine and methionine metabolism
V1577228	map05152	Tuberculosis
V1000305	map03018	RNA degradation
V1000021	map03010	Ribosome
V1010320	map00630	Glyoxylate and dicarboxylate metabolism
V1238174	map03010	Ribosome
V1912442	map00680	Methane metabolism
V1175472	map03070	Bacterial secretion system
V1000642	map03018	RNA degradation
V1482595	map03010	Ribosome
V1295109	map04621	NOD-like receptor signaling pathway
V1033869	map04626	Plant-pathogen interaction
V1580898	map03010	Ribosome
V1000840	map00195	Photosynthesis
V1181512	map03010	Ribosome
V1000841	map00195	Photosynthesis
V1144210	map03010	Ribosome
V1481435	map02060	Phosphotransferase system (PTS)
V1000547	map02010	ABC transporters
V1042355	map02060	Phosphotransferase system (PTS)
V1036606	map00195	Photosynthesis
V1000842	map00195	Photosynthesis
V1356896	map04626	Plant-pathogen interaction
V1391945	map02060	Phosphotransferase system (PTS)
V1006020	map03010	Ribosome
V1000080	map03010	Ribosome
