Gene	KEGG_pathwayID	Annotation
V1000546	map02030	Bacterial chemotaxis
V1000122	map04626	Plant-pathogen interaction
V1073455	map00710	Carbon fixation in photosynthetic organisms
V1000171	map02010	ABC transporters
V1001368	map02060	Phosphotransferase system (PTS)
V1012818	map00650	Butanoate metabolism
V1464571	map04626	Plant-pathogen interaction
V1000545	map02010	ABC transporters
V1574099	map02060	Phosphotransferase system (PTS)
V1000549	map00500	Starch and sucrose metabolism
V1000004	map03020	RNA polymerase
V1485691	map04626	Plant-pathogen interaction
V1000487	map00710	Carbon fixation in photosynthetic organisms
V1069833	map02010	ABC transporters
V1506464	map04626	Plant-pathogen interaction
V1000116	map04930	Type II diabetes mellitus
V1000639	map05010	Alzheimer's disease
V1158426	map02060	Phosphotransferase system (PTS)
V1000640	map00710	Carbon fixation in photosynthetic organisms
V1075033	map05010	Alzheimer's disease
V1195882	map00710	Carbon fixation in photosynthetic organisms
V1000548	map00500	Starch and sucrose metabolism
V1392272	map00710	Carbon fixation in photosynthetic organisms
V1201618	map00650	Butanoate metabolism
V1072266	map03018	RNA degradation
V1093074	map02030	Bacterial chemotaxis
V1266145	map00270	Cysteine and methionine metabolism
V1006727	map03010	Ribosome
V1010320	map00630	Glyoxylate and dicarboxylate metabolism
V1344061	map02010	ABC transporters
V1576144	map03070	Bacterial secretion system
V1912442	map00680	Methane metabolism
V1500439	map04626	Plant-pathogen interaction
V1010209	map00970	Aminoacyl-tRNA biosynthesis
V1000305	map03018	RNA degradation
V1033869	map04626	Plant-pathogen interaction
V1144133	map02010	ABC transporters
V1042355	map02060	Phosphotransferase system (PTS)
V1464170	map00195	Photosynthesis
V1037687	map05152	Tuberculosis
V1000534	map00680	Methane metabolism
V1000943	map03010	Ribosome
V1430573	map02010	ABC transporters
V1138842	map03010	Ribosome
V1077152	map03010	Ribosome
V1430275	map00195	Photosynthesis
V1879928	map02060	Phosphotransferase system (PTS)
V1292575	map04626	Plant-pathogen interaction
V1138616	map04910	Insulin signaling pathway
V1000547	map02010	ABC transporters
V1036606	map00195	Photosynthesis
V1238174	map03010	Ribosome
V1000168	map00970	Aminoacyl-tRNA biosynthesis
V1074069	map05152	Tuberculosis
V1081813	map00195	Photosynthesis
V1000841	map00195	Photosynthesis
V1000018	map03010	Ribosome
V1499048	map03020	RNA polymerase
V1576661	map00910	Nitrogen metabolism
