	Systematic.name	cluster	cluster.size
gi|259048376|ref|NZ_GG700802.1|:96599-97288	gi|259048376|ref|NZ_GG700802.1|:96599-97288	1	535
gi|319430703|ref|NZ_GL622333.1|:c1102375-1101899	gi|319430703|ref|NZ_GL622333.1|:c1102375-1101899	1	535
gi|319430703|ref|NZ_GL622333.1|:c17260-16829	gi|319430703|ref|NZ_GL622333.1|:c17260-16829	1	535
gi|319430703|ref|NZ_GL622333.1|:c1061484-1061218	gi|319430703|ref|NZ_GL622333.1|:c1061484-1061218	1	535
gi|319430703|ref|NZ_GL622333.1|:c1059350-1058820	gi|319430703|ref|NZ_GL622333.1|:c1059350-1058820	1	535
gi|309808726|ref|NZ_AEHQ01000082.1|:c52547-50820	gi|309808726|ref|NZ_AEHQ01000082.1|:c52547-50820	1	535
gi|319430703|ref|NZ_GL622333.1|:511679-512431	gi|319430703|ref|NZ_GL622333.1|:511679-512431	1	535
gi|319430703|ref|NZ_GL622333.1|:c247771-246893	gi|319430703|ref|NZ_GL622333.1|:c247771-246893	1	535
gi|319430703|ref|NZ_GL622333.1|:c728243-726861	gi|319430703|ref|NZ_GL622333.1|:c728243-726861	1	535
gi|319430703|ref|NZ_GL622333.1|:c201711-200905	gi|319430703|ref|NZ_GL622333.1|:c201711-200905	1	535
gi|309807724|ref|NZ_AEHQ01000034.1|:c18203-17439	gi|309807724|ref|NZ_AEHQ01000034.1|:c18203-17439	1	535
gi|319430703|ref|NZ_GL622333.1|:c258209-256860	gi|319430703|ref|NZ_GL622333.1|:c258209-256860	1	535
gi|309806244|ref|NZ_AEHP01000023.1|:c22445-21639	gi|309806244|ref|NZ_AEHP01000023.1|:c22445-21639	1	535
gi|309806380|ref|NZ_AEHP01000024.1|:10183-10965	gi|309806380|ref|NZ_AEHP01000024.1|:10183-10965	1	535
gi|319430703|ref|NZ_GL622333.1|:c725717-724881	gi|319430703|ref|NZ_GL622333.1|:c725717-724881	1	535
gi|319430703|ref|NZ_GL622333.1|:c1055921-1055271	gi|319430703|ref|NZ_GL622333.1|:c1055921-1055271	1	535
gi|312871694|ref|NZ_AEKK01000021.1|:72997-74934	gi|312871694|ref|NZ_AEKK01000021.1|:72997-74934	1	535
gi|319430703|ref|NZ_GL622333.1|:c283932-283138	gi|319430703|ref|NZ_GL622333.1|:c283932-283138	1	535
gi|309804826|ref|NZ_AEHO01000010.1|:50238-51305	gi|309804826|ref|NZ_AEHO01000010.1|:50238-51305	1	535
gi|312873553|ref|NZ_AEKI01000011.1|:36787-37782	gi|312873553|ref|NZ_AEKI01000011.1|:36787-37782	1	535
